Wavelength (nm),Blank1,F564,F565,F576,F577,F570,F571,F600,F568,F569,F582,F603,F603b
706.5,0.001355,0.000568,0.001337,0.00012,-0.002316,0.000996,0.000777,-0.000426,-0.000675,-0.001834,0.002279,0.000846,0.000731
706,0.002771,0.001276,0.002133,0.000318,-0.000862,-0.000131,0.002377,-0.000289,0.000044,-0.00142,-0.000131,0.001817,0.002747
705.5,0.000832,0.001535,0.000157,-0.000214,-0.000631,-0.000148,0.000002,0.000472,0.001389,-0.000428,0.002344,0.002125,0.003086
705,-0.000886,0.001314,-0.000465,-0.000977,-0.000461,0.000017,-0.000133,0.000268,-0.000856,-0.0015,0.000754,0.000379,0.002023
704.5,0.000722,0.001162,0.001431,0.001466,0.000667,0.00139,0.001146,0.00023,0.000741,-0.000747,0.001456,0.00107,0.000572
704,0.000547,0.002529,0.001352,0.000487,-0.000615,0.000009,0.000803,-0.001554,-0.000185,-0.000274,0.002218,0.002108,0.001798
703.5,-0.001912,-0.000145,-0.001563,0.002251,0.001212,-0.000736,-0.000521,0.001839,-0.002085,-0.001305,-0.000185,0.000615,-0.000012
703,0.001839,0.00244,0.001659,0.001139,0.001673,0.00136,0.001555,-0.001441,0.000066,0.000012,0.002794,0.000367,0.001087
702.5,0.001776,0.000654,0.000313,0.000099,0.000766,-0.00097,-0.000802,0.000001,-0.000271,-0.001867,0.001935,0.000308,0.000811
702,-0.000572,0.001025,0.000736,0.001581,0.000275,-0.003308,0.000683,0.000013,0.000008,-0.000185,-0.000535,-0.000129,-0.000372
701.5,0.001262,0.000995,0.000417,0.001697,-0.000451,0.000507,0.002278,-0.000284,0.001087,-0.000338,0.000155,-0.000569,0.000616
701,-0.000486,-0.001045,0.000575,-0.00018,-0.001832,0.000878,0.000348,0.000171,-0.002148,-0.002174,0.001652,0.000934,0.000889
700.5,0.0008,0.001132,-0.000201,0.000874,-0.000529,-0.000881,0.000862,-0.00047,-0.001525,-0.000445,0.002399,0.000914,0.002231
700,0.000383,0.001382,0.00075,-0.000419,0.000001,0.002389,0.00189,-0.002003,0.000857,-0.000497,-0.000674,-0.000195,0.000882
699.5,0.000368,0.000073,-0.000317,0.001564,0.001788,0.00064,0.001407,0.000915,0.000475,-0.000081,-0.001678,-0.000771,-0.000489
699,-0.000064,0.000814,0.000925,0.000541,-0.000328,0.000736,0.001092,0.000496,-0.000097,-0.000596,0.000764,0.000099,0.002493
698.5,-0.0006,0.000017,0.00048,0.002333,0.001062,0.000774,0.001505,-0.000474,-0.000323,-0.000903,0.000002,-0.0005,0.000357
698,0.000056,0.000634,0.000182,0.00123,0.001228,0.000124,0.00009,-0.000014,0.000726,-0.000694,0.001474,0.000799,0.001422
697.5,0.000171,0.000393,0.000413,0.00081,0.000013,0.000544,0.001221,0.000697,0.000598,-0.000868,0.000586,-0.000516,0.001042
697,0.00054,0.000765,0.001068,0.000125,-0.000002,-0.000878,0.000393,-0.000104,-0.000189,-0.001626,0.001269,0.000903,0.00139
696.5,0.001021,0.000339,0.001739,0.001388,0.000183,0.000536,0.000534,0.0007,0.000499,-0.000132,-0.000614,-0.000484,-0.000643
696,-0.001731,0.000871,0.000975,0.000547,-0.000472,-0.000602,-0.000235,0.00033,0.000389,-0.001625,0.000596,0.000482,0.003112
695.5,0.00096,-0.000097,0.000809,0.000924,0.000363,0.000154,0.001775,0.002694,0.00108,0.000279,0.000519,-0.000657,0.000288
695,-0.001653,-0.000105,0.000352,-0.000253,-0.001224,-0.00107,0.000204,-0.002134,-0.000112,-0.000683,0.001629,0.000882,0.001229
694.5,-0.001071,0.000302,-0.000817,0.002598,0.000611,0.002158,0.00082,-0.000049,0.00123,-0.000253,0.000078,0.000564,0.000573
694,0.000217,-0.001442,-0.001164,0.000928,-0.000834,0.002394,0.001579,0.001784,0.000268,-0.001295,0.000024,-0.00018,0.000424
693.5,-0.000849,-0.001079,0.000198,0.001311,0.000733,-0.00147,0.000691,0.000772,0.000146,-0.001323,-0.000656,-0.001144,-0.000413
693,-0.000832,0.000141,0.000027,0.000553,0.000297,-0.001254,0.000837,-0.001491,0.001634,0.001534,-0.000195,-0.00173,-0.000669
692.5,0.000714,-0.000671,0.000876,0.000856,-0.000255,0.000313,0.001799,0.000113,-0.000041,-0.000834,0.000879,0.000451,0.001499
692,-0.000488,0.000176,-0.000077,0.000677,-0.000221,-0.000075,0.000627,0.001536,-0.001674,-0.000867,0.000754,0.000246,0.001684
691.5,-0.000693,-0.000555,-0.000204,0.001224,0.000671,0.000712,-0.000074,0.000507,0.000366,-0.000155,0.001351,0.000543,0.000717
691,0.000461,0.000949,-0.000293,0.001242,0.000323,-0.001591,0.000444,-0.001819,-0.000814,-0.001274,0.00218,0.000991,0.00102
690.5,0.000322,0.000868,0.000784,0.00069,-0.000668,0.000094,0.000169,0.000474,0.000032,-0.000976,0.000398,-0.000926,-0.000011
690,0.000841,0.000343,-0.000547,0.000966,0.00002,-0.000586,0.000929,0.001773,-0.001494,-0.001234,0.000717,0.001363,0.001757
689.5,-0.00008,0.000158,-0.000275,0.001846,0.0001,-0.000167,-0.001298,0.000487,0.000468,-0.000149,-0.000354,-0.000824,0.000196
689,-0.000688,0.000409,-0.000155,0.001065,0.00013,-0.000097,0.001057,0.001112,0.000688,-0.000013,0.000589,-0.002009,0.00062
688.5,-0.000267,-0.000609,-0.000343,0.000315,0.00048,0.00134,0.002456,0.00102,-0.00031,-0.000831,0.000869,-0.000469,0.000816
688,0.000505,0.001959,0.000755,0.00117,0.000132,-0.000343,0.001464,-0.000342,0.001006,-0.000035,0.000853,0.000187,0.001428
687.5,0.000313,0.001145,0.000143,0.0007,0.000327,0.000309,0.00025,-0.001498,0.00077,-0.000327,-0.000052,-0.000156,0.000951
687,-0.000226,0.000158,-0.000648,0.001101,-0.000287,0.00085,0.0015,0.001998,-0.000224,-0.000526,0.000617,-0.000223,0.001039
686.5,0.000309,0.00017,-0.000216,0.001189,-0.000149,0.00002,0.000869,-0.000645,0.00103,0.000093,0.000977,0.000392,0.00094
686,-0.000166,-0.000097,-0.000589,0.001988,0.000628,0.00036,0.000959,-0.001542,-0.00039,-0.0013,-0.000573,-0.000777,-0.000262
685.5,0.000368,0.000735,-0.000631,0.001658,0.001628,-0.000125,0.000414,0.000312,0.000132,-0.000801,0.000051,0.00005,0.001599
685,0.000649,0.000381,0.000848,0.000704,0.000515,0.00043,0.001199,-0.000648,-0.000746,-0.000656,0.000168,-0.000844,-0.00005
684.5,0.001341,0.00097,0.000501,0.001215,-0.000387,0.000956,0.001473,-0.000667,-0.000554,-0.001293,-0.000179,-0.000156,0.001444
684,-0.000154,-0.000142,0.000261,0.001916,-0.000173,-0.000284,0.001236,-0.001302,-0.000652,-0.000704,0.000913,0.000242,0.000335
683.5,-0.000495,0.000364,-0.000155,0.000156,0.000253,-0.00027,0.000444,-0.000647,-0.00042,-0.000542,0.000982,-0.000212,0.002225
683,-0.000556,-0.000805,-0.000944,0.000537,-0.00049,-0.000362,0.000682,0.000459,0.000193,-0.000936,0.000689,0.000844,0.001107
682.5,0,0.000732,0.000419,0.000004,-0.00049,-0.000584,0.000848,-0.001372,-0.000334,-0.001185,0.000214,-0.000092,-0.000554
682,-0.00025,0.000097,0.000456,0.00148,0.000106,0.00043,0.000357,0.001527,0.001026,-0.000458,0.000227,-0.000174,0.000644
681.5,-0.000415,-0.000054,0.000051,0.001121,0.000098,-0.000449,0.001592,0.000201,0.001241,-0.000441,0.000777,0.000215,0.000801
681,-0.000719,0.000137,-0.001039,0.000773,0.000197,-0.000546,0.000561,0.000838,-0.000692,-0.000605,0.001112,0.000942,0.001233
680.5,-0.000558,0.000541,-0.000027,0.000982,0.001195,0.000342,0.000099,0.000027,0.000087,0.000233,0.000943,0.000106,0.001728
680,-0.000362,0.000635,-0.000072,0.002349,0.001012,0.000359,0.000753,0.000074,-0.000619,-0.001573,0.000649,-0.000215,0.000549
679.5,-0.000302,-0.000256,0.00023,0.000551,-0.000412,-0.000068,0.000607,-0.000234,-0.000096,-0.000873,0.000211,-0.000409,0.000032
679,-0.00028,-0.000293,-0.000438,0.000071,-0.000357,0,0.000193,0.00072,0.00065,-0.000698,0.000125,-0.000771,0.001257
678.5,-0.000135,0.001558,0.0009,0.000379,-0.000609,0.001334,0.002316,-0.0001,0.001353,0.000388,0.000429,-0.000445,0.000889
678,0.000122,0.000438,0.000313,0.002063,0.000853,0.000785,0.000641,0.000695,0.000124,-0.000073,0.000652,-0.000434,0.001208
677.5,0.000922,0.001907,0.00261,0.002288,0.001073,-0.000244,-0.000269,0.000081,0.000541,0.000478,-0.000142,0.000058,0.000213
677,-0.000731,0.00048,-0.000025,0.000784,0.00076,0.000643,0.001004,0.000162,-0.000384,0.000142,0.001155,0.00051,0.000998
676.5,0.000452,0.000725,-0.000323,0.000878,0.0002,0.000273,0.000808,-0.000614,0.000182,-0.001158,0.000898,0.000112,0.001824
676,-0.001032,-0.0004,-0.000622,0.001094,0.000664,-0.000368,0.00117,0.000213,0.000174,-0.000141,0.000944,-0.000046,0.00125
675.5,0.000897,0.000888,0.001114,0.000492,-0.000556,0.000483,0.000487,-0.000265,-0.000002,-0.001159,0.001317,0.000822,0.002083
675,0.000301,0.001124,0.000715,0.001248,-0.000738,-0.000446,-0.000399,0.001112,-0.000217,-0.001085,0.000256,-0.000687,0.000947
674.5,-0.001278,-0.000496,-0.001392,0.002385,0.001442,0.000418,0.001084,0.000621,-0.00001,-0.001619,0.001167,0.000871,0.000732
674,0.000569,0.000661,0.000018,0.000747,0.000186,-0.000166,0.000105,0.000505,0.000593,-0.000209,0.000816,-0.000667,0.000369
673.5,-0.000124,0.000068,0.000161,0.001346,-0.000215,-0.001073,-0.000428,-0.002105,0.00215,-0.000478,0.000123,0.00042,0.000725
673,0.000163,-0.000253,-0.000532,0.00061,-0.001156,0.001028,0.001763,-0.000477,-0.000428,-0.00063,0.001465,-0.000144,0.001334
672.5,-0.000869,-0.001205,0.000633,0.002548,0.001453,-0.000877,0.000247,0.001117,-0.000605,-0.001526,0.001781,-0.000407,0.000769
672,-0.001911,0.000422,0.000264,0.000522,-0.000853,-0.00004,0.001517,-0.000666,0.001787,0.00184,-0.000494,-0.000527,0.000752
671.5,0.000503,0.000398,0.000871,0.001837,0.000076,0.000889,0.000352,0.000936,-0.00006,-0.002462,0.000264,0.000902,0.000841
671,-0.000655,0.000239,-0.000725,0.000816,-0.00112,0.001081,0.001078,0.000263,-0.001032,-0.001402,0.000767,-0.00015,0.001574
670.5,-0.000043,0.000494,0.001501,0.002365,0.000194,0.002141,0.000709,-0.002215,-0.001905,-0.001774,0.002061,0.001554,0.001545
670,0.001012,0.000504,-0.000789,0.000036,-0.001267,-0.000109,0.000652,0.001418,0.000792,-0.000009,0.000189,0.00239,0.002461
669.5,0.001049,0.002022,0.001653,0.002256,0.000927,0.000475,0.001307,0.000409,-0.000622,-0.001827,-0.001276,-0.001536,0.000251
669,0.000605,-0.000393,-0.000534,0.000093,0.000661,0.000783,0.001972,-0.002036,-0.001383,-0.001249,0.000756,0.00022,0.000216
668.5,-0.000298,0.001822,-0.001402,0.002505,0.001674,-0.001124,0.000736,0.001415,0.000352,-0.001111,0.001009,0.000742,0.000492
668,0.00039,0.001369,0.001763,0.002274,0.00034,-0.000335,0.000452,0.001013,0.001487,0.002455,0.000093,-0.001299,0.001055
667.5,-0.000631,0.000817,-0.000769,0.000632,0.000944,0.00042,0.000492,0.00306,0.000187,-0.000858,0.001956,0.001503,0.001955
667,0.000484,0.000616,0.000546,0.000244,0.000206,0.004162,0.002771,0.000936,-0.000541,-0.000359,0.002244,0.001697,0.002003
666.5,0.000572,0.000929,0.000573,0.001274,0.001199,-0.001158,0.000294,0.000178,0.000973,-0.001023,-0.002411,0.000088,-0.000937
666,-0.001126,-0.001077,-0.001354,0.00211,0.00043,0.000361,-0.000114,-0.003094,0.002021,0.000325,0.001828,-0.000496,0.000473
665.5,0.001736,0.002187,0.001965,0.002117,-0.000663,0.002342,0.00074,0.00122,-0.002675,-0.001767,-0.001336,-0.000014,0.001388
665,0.000023,-0.000554,-0.000709,0.001073,0.000052,-0.000139,-0.000077,-0.003461,-0.000065,-0.00197,-0.001212,-0.000474,0.000219
664.5,0.000502,0.000714,0.002615,0.003579,0.000829,0.000335,0.001014,0.001493,0.001501,0.002127,0.00004,-0.000066,0.000675
664,-0.001935,-0.000647,-0.002188,0.002477,0.000655,0.002494,0.000082,-0.001168,-0.001554,-0.002186,0.001807,0.000275,0.001368
663.5,0.000423,0.002008,0.001921,-0.00152,-0.000398,0.000133,0.003055,-0.001208,-0.000278,0.000121,0.001399,0.000589,0.000355
663,-0.001252,-0.000272,-0.00247,0.000402,-0.000601,0.001235,0.003023,0.000343,0.002893,0.000301,0.002325,-0.000036,0.002165
662.5,0.000907,0.000854,0.00065,-0.000382,-0.000659,0.001039,0.001373,-0.00075,0.00005,-0.001977,0.000606,0.001821,0.001983
662,-0.001658,-0.000151,-0.0005,-0.000512,-0.001707,-0.000761,0.001443,-0.000647,-0.000302,-0.001771,-0.000572,-0.001876,0.001073
661.5,-0.000297,-0.000421,-0.000106,-0.000926,-0.001448,-0.001215,0.001046,0.001145,0.001546,-0.000829,0.002969,0.003437,0.003482
661,-0.001336,0.001525,0.000398,0.000359,0.000202,0.001306,0.000519,0.000313,-0.000513,-0.001085,0.000521,-0.000525,0.000331
660.5,0.000641,0.001602,0.001304,0.001648,0.000721,0.001236,0.003094,0.000296,-0.001353,-0.000701,-0.000171,0.000511,0.001479
660,0.001158,0.00057,0.001147,-0.000123,-0.000024,0.001661,0.000118,0.001023,-0.00147,-0.001835,0.000704,-0.000621,0.002789
659.5,0.000532,0.001141,0.001701,0.00155,0.000721,0.000605,0.001819,0.000326,-0.000312,-0.000799,0.000467,0.00084,0.00077
659,0.000768,0.001253,0.001755,0.001215,-0.000564,-0.000675,0.000377,0.000378,-0.00043,-0.001601,0.000098,-0.000241,0.001584
658.5,-0.000573,0.000848,-0.000158,-0.000003,0.000776,0.000743,0.001072,-0.001712,-0.000667,0.000744,0.000577,-0.000057,0.001717
658,0.000106,0.000138,0.001843,0.002586,0.003226,0.001563,0.001393,0.001195,-0.001098,-0.001073,0.000037,-0.000599,0.001572
657.5,0.000717,0.000689,0.000972,0.001545,-0.000278,0.001123,0.001097,0.000138,0.000269,-0.000888,0.0012,0.000548,0.001025
657,-0.00185,-0.000819,-0.001288,0.001974,0.000577,0.001014,0.00151,-0.000869,0.001016,0.000512,-0.000224,0.000813,0.003719
656.5,-0.0019,-0.001833,0.000197,0.002647,0.003654,-0.000287,0.001833,0.000246,0.000633,-0.000086,-0.000285,0.000088,0.001773
656,-0.000605,0.000161,-0.00168,-0.001242,-0.002147,0.002281,0.002699,0.000822,0.001948,-0.000004,0.001917,0.000504,0.003425
655.5,0.000056,-0.000021,0.001264,0.000034,-0.001233,-0.002205,-0.000637,0.000754,0.000025,-0.001529,0.002433,-0.000067,0.002388
655,0.000715,0.00048,0.001999,0.00194,0.000684,-0.000426,0.001846,0.002185,-0.000706,0.000374,0.00134,0.000871,0.000786
654.5,-0.000127,0.00071,0.001263,0.000521,0.000174,0.001401,0.002891,-0.000242,0.000697,0.000411,0.001074,0.001866,0.003149
654,0.000505,-0.00046,0.000519,0.002308,0.00154,-0.000419,0.000043,0.000951,-0.000544,-0.002182,-0.001061,-0.001403,-0.000035
653.5,-0.002218,0.001173,0.00175,0.000042,-0.00116,-0.001268,0.00096,0.000045,-0.000577,-0.000183,0.002667,0.000104,0.002296
653,-0.000677,-0.000178,0.000704,0.002065,0.002171,0.000346,-0.000331,0.000874,0.000748,-0.00138,0.00299,0.000787,0.00185
652.5,-0.002032,-0.001257,0.000921,0.00167,0.000718,-0.000635,0.002164,-0.000427,-0.001,-0.000549,0.000294,-0.000623,0.000285
652,0.000627,0.00167,0.000282,0.000671,0.000918,0.001737,0.001919,0.00123,0.001259,-0.000389,-0.001616,-0.000461,0.00187
651.5,0.000848,0.002541,0.000605,0.000573,0.000456,-0.000015,0.003198,0.00005,0.001312,0.000625,0.001191,-0.000358,0.002482
651,-0.000088,0.000097,0.001226,0.000545,0.001304,0.000329,0.001368,0.0009,-0.000891,0.000799,0.002219,0.003754,0.00322
650.5,0.00155,0.000539,0.002027,0.001058,0.000775,0.000731,0.002055,-0.001475,0.000517,-0.000299,0.001225,0.000797,0.002233
650,-0.000131,0.000258,0.001539,0.001159,0.002879,0.002158,0.003519,-0.000028,0.00061,-0.000282,0.001781,0.000001,0.001431
649.5,0.000651,0.001801,-0.000665,0.000681,0.000393,-0.000481,-0.000395,0.000614,-0.002675,-0.001403,-0.000198,0.000742,-0.001033
649,0.000991,0.001432,0.000793,0.00069,0.000268,0.000918,0.001555,0.000878,0.000356,-0.0012,-0.000023,-0.001844,0.000451
648.5,-0.000041,0.001667,0.001156,-0.000403,-0.001486,-0.000114,-0.000578,0.001379,0.001036,-0.00077,0.003009,0.000722,0.002093
648,-0.000574,-0.000759,-0.001146,0.00198,0.000504,0.000349,-0.000271,-0.000157,-0.001037,-0.001271,0.00122,0.000783,0.000721
647.5,0.000368,0.002253,0.000758,0.000726,0.001252,0.000226,0.001408,0.00084,-0.000283,0.000787,0.000706,0.000923,0.000459
647,-0.000218,0.000558,-0.000364,-0.00056,-0.001393,0.00053,0.001035,0.000663,-0.000764,0.00067,0.001566,0.000492,0.000137
646.5,0.000226,0.000554,-0.000619,0.002527,0.002202,-0.000958,0.001454,0.000113,0.001143,0.000974,0.00095,0.000679,0.002009
646,0.000388,-0.000184,0.000613,0.0032,0.001257,-0.000523,-0.000737,-0.001568,0.001658,-0.000546,0.001057,0.001189,0.001963
645.5,0.001097,0.001193,0.00263,-0.000138,0.000478,-0.001764,0.000119,0.001788,-0.001522,-0.00033,0.00085,0.001319,0.001226
645,0.000268,0.000932,0.000852,0.000864,-0.000062,0.00011,0.004072,0.001633,-0.001033,-0.00163,-0.000354,-0.000953,-0.00039
644.5,-0.000211,-0.000156,0.000125,0.000328,0.00106,0.001754,0.001796,-0.000523,0.000477,-0.001149,-0.001889,-0.00092,0.001288
644,0.000876,-0.000247,0.000185,-0.001037,0.000091,-0.001463,0.001829,0.000154,-0.000191,-0.001828,0.000816,-0.000284,0.001479
643.5,0.000813,0.001264,-0.00065,-0.00132,-0.002922,-0.000423,0.0021,0.00018,0.001578,-0.001934,0.002213,0.001343,0.002548
643,-0.000411,-0.000324,0.002025,0.000488,-0.001589,0.000442,0.000824,0.001701,-0.001692,-0.000406,-0.000211,-0.001077,0.000522
642.5,0.000428,0.000559,0.000298,0.000154,-0.001068,0.001593,0.000649,-0.000676,-0.000624,-0.001,-0.000133,0.000884,0.000355
642,0.000271,-0.000075,-0.000031,0.000473,0.000685,-0.00024,0.000697,0.001225,-0.001758,-0.003329,0.003141,0.000795,0.003046
641.5,-0.001973,0.000101,-0.000162,-0.000459,-0.000338,0.00011,0.002218,-0.000303,-0.0006,-0.000742,-0.001273,-0.000593,-0.000865
641,-0.000109,-0.00104,-0.002439,0.001549,-0.000474,0.000073,0.001025,0.00016,0.000394,-0.000213,0.00044,-0.001259,0.001103
640.5,-0.000617,0.001629,0.001107,0.000829,-0.000344,0.000443,0.000541,-0.00058,-0.000385,-0.000155,-0.000759,-0.000782,0.000604
640,-0.001385,-0.002589,-0.001875,0.002588,0.000385,-0.000016,0.000948,0.000902,-0.001648,-0.001395,0.001129,0.000841,0.00248
639.5,0.001468,0.001905,0.000637,-0.001004,-0.00223,0.001046,0.001694,0.001578,-0.001941,-0.001925,0.001915,0.002582,0.002079
639,0.000744,0.000251,0.000621,0.001837,0.001358,0.000093,0.002794,-0.000622,-0.000799,-0.001693,0.001028,0.00119,0.00069
638.5,0.001177,-0.00111,0.001604,0.000159,0.000955,0.000293,0.000499,0.000241,-0.001944,-0.000649,0.000884,0.001764,0.003363
638,0.000311,0.000824,0.000586,0.001067,-0.000885,0.002134,0.000398,0.001223,0.000462,0.000687,0.000374,-0.000685,-0.000587
637.5,0.000117,0.000693,-0.000939,0.000834,0.000723,0.001592,-0.000785,0.002565,-0.000782,-0.001244,-0.000529,-0.001624,0.000642
637,0.000916,0.001941,0.00107,0.001751,0.000976,0.000732,0.000892,-0.001509,-0.000354,0.000652,0.000821,0.000489,0.002158
636.5,0.00145,0.002075,0.000509,0.000939,-0.001832,0.003447,0.003277,0.000092,-0.000254,-0.001398,0.000209,-0.00035,-0.000857
636,-0.000376,0.002192,-0.000266,0.00177,0.001717,0.000192,0.002047,0.000486,0.000649,-0.003238,-0.001015,0.000079,0.000619
635.5,0.000308,0.000992,0.000407,-0.000357,0.000586,0.002287,0.001469,0.000523,-0.000229,-0.000296,0.000669,-0.001179,-0.000887
635,-0.002551,0.000716,-0.00022,0.001634,0.000547,0.001667,0.002629,0.000456,0.000715,-0.000446,0.002837,0.002186,0.003663
634.5,0.001391,0.001306,0.001133,0.000504,-0.001432,-0.000269,0.000648,0.000261,-0.001914,-0.001127,-0.000688,-0.000342,0.001714
634,0.001606,0.000895,-0.000924,0.00096,0.000114,0.000354,0.000948,0.002094,-0.000628,-0.000085,0.000354,-0.000934,0.001721
633.5,-0.001495,-0.00061,0.000219,-0.000781,-0.000753,-0.000023,0.000951,0.001528,-0.000342,-0.001295,-0.000524,0.000647,0.001906
633,0.000374,0.000276,0.00213,0.002068,-0.000951,0.000934,-0.001929,0.000084,0.002437,0.001746,-0.000228,-0.000198,0.000894
632.5,-0.000027,0.001015,0.00011,0.003507,0.000984,0.0015,0.002165,0.000317,0.000077,-0.001954,0.000838,-0.002753,-0.000814
632,-0.001795,-0.000681,-0.000394,0.002617,0.000582,-0.00085,0.000677,-0.000852,-0.000682,0.00138,-0.000252,-0.001221,0.001243
631.5,-0.002523,-0.000635,-0.002756,0.000572,0.000038,-0.000181,0.000549,0.001179,-0.00059,-0.001662,0.000492,0.001222,0.002022
631,-0.000344,0.0003,0.001149,0.000832,-0.001347,0.000275,0.002185,0.000847,0.00002,-0.000191,0.000176,0.000407,0.000794
630.5,-0.000542,0.00038,-0.001692,0.001676,-0.001279,-0.000171,0.002186,-0.001045,0.000291,-0.00005,0.000917,0.001439,0.003517
630,-0.002373,-0.001192,-0.001395,-0.000335,0.000064,0.001049,0.001792,-0.002029,-0.001431,-0.002956,0.000771,-0.000129,0.002077
629.5,0.001324,0.001778,-0.000271,0.000921,0.000478,0.00069,0.000107,0.001174,0.000777,-0.001451,-0.001056,-0.000509,-0.000781
629,0.000615,0.001788,0.002087,0.000336,-0.001226,-0.000018,0.000151,-0.001205,-0.00123,-0.001737,0.002022,-0.001074,0.002578
628.5,0.001502,0.003738,0.000326,0.001441,0.000842,-0.001019,0.000489,0.000273,0.00185,0.000443,0.000942,0.001594,0.000836
628,-0.000628,0.000736,-0.001595,0.001028,-0.00109,-0.000202,0.001332,-0.001172,-0.000769,-0.001801,0.000647,0.000687,0.000124
627.5,0.000085,0.000844,0.001279,0.001993,0.000617,-0.001077,0.000568,0.000499,-0.000237,-0.000898,0.001012,-0.000832,0.002397
627,-0.000548,-0.000152,0.000437,0.002284,-0.000012,0.00265,0.001549,0.001477,0.001029,0.000014,0.001526,-0.000213,0.001408
626.5,0.000088,0.000428,0.00065,0.001172,-0.001455,0.002002,0.000984,0.002364,-0.000378,0.000246,0.001033,0.001773,0.001061
626,-0.001858,-0.000176,-0.000867,0.001073,0.001017,0.001194,0.001264,0.000504,-0.000577,-0.000642,0.002112,0.000065,0.001645
625.5,-0.000277,-0.000407,-0.000361,0.002287,-0.000178,-0.000375,0.000862,0.001601,-0.000625,-0.002392,0.002256,0.000303,0.001648
625,-0.001479,-0.001161,-0.000324,0.002508,0.000319,-0.00018,0.00066,0.000542,0.002193,-0.000598,0.001672,0.002324,0.002127
624.5,0.000375,0.000622,-0.001066,0.00214,0.000033,0.002062,0.000976,-0.002999,0.000166,-0.000738,0.000302,-0.000355,0.002446
624,0.001701,0.002691,0.002727,0.00273,0.001233,0.001013,0.000316,0.000833,-0.00148,-0.001217,0.000078,-0.000192,-0.00105
623.5,-0.000167,0.000918,-0.001261,0.002538,-0.000403,0.000306,0.000787,0.001854,0.000288,-0.00005,0.001531,0.000612,0.00072
623,0.00228,0.000652,0.000728,0.000592,0.000125,-0.000999,0.001623,-0.000704,-0.001054,-0.000241,0.000343,0.000941,0.002115
622.5,0.000024,0.001612,0.001151,0.001862,-0.000008,-0.000083,0.001094,0.001563,0.000036,-0.000092,0.00143,-0.000149,0.00229
622,-0.000535,0.001065,0.001233,0.003935,0.001207,0.000952,0.001988,0.000741,0.001357,0.000276,0.002015,0.002338,0.004407
621.5,-0.00184,-0.001549,0.001029,0.000921,0.000534,-0.00019,0.000388,-0.000259,0.000161,-0.000489,-0.001064,-0.001591,-0.000362
621,0.001678,0.001371,0.002261,0.000656,0.001381,0.000143,0.000375,-0.000974,0.000183,-0.001777,0.001639,0.000364,0.00428
620.5,-0.002703,-0.000619,0.000054,0.002637,0.001327,0.001012,0.001116,0.000194,0.001037,0.000668,-0.001104,-0.001113,0.001155
620,-0.001002,-0.001182,-0.002439,0.000963,0.000885,-0.000974,-0.000093,-0.000661,0.001144,-0.001409,0.000694,0.000533,0.002368
619.5,-0.000471,0.000752,-0.00075,0.001814,-0.000085,-0.001594,0.000054,-0.000522,-0.001691,-0.001324,0.000803,-0.000874,0.00029
619,0.000324,0.001009,0.000897,0.001431,-0.001243,0.001882,0.00177,-0.000816,-0.002045,-0.001757,0.000091,-0.000212,0.00067
618.5,0.000246,0.001194,0.000857,0.000963,-0.000273,0.000512,0.002011,0.001837,0.001605,0.00103,0.0004,0.000976,-0.000559
618,0.000037,-0.000294,0.000189,0.00037,0.000495,-0.000444,0.000523,-0.000312,0.001289,-0.00158,0.002375,0.002284,0.003282
617.5,0.000788,0.000525,-0.000109,0.000311,-0.001374,0.00053,0.002334,-0.000931,-0.000037,-0.000895,0.000646,0.00015,0.002186
617,-0.000447,-0.00011,-0.000749,0.000166,-0.000315,0.001271,0.001004,0.000879,0.000064,-0.001818,0.001589,-0.000538,0.001181
616.5,-0.00197,-0.000501,-0.000266,0.002398,0.001296,-0.000546,-0.000163,-0.001783,0.000452,-0.001212,0.001422,-0.000138,0.001846
616,-0.000916,-0.000087,0.000603,-0.000064,-0.003319,0.00012,0.000457,0.001131,0.001275,0.000404,0.002401,0.001683,0.001243
615.5,0.000748,0.001411,-0.000733,0.001586,0.000766,0.00136,0.00278,0.000446,0.000089,-0.000419,0.000068,-0.000992,0.001899
615,-0.000023,0.000819,-0.000174,0.002584,0.001246,0.001367,0.001145,-0.001313,-0.000631,-0.001254,0.000144,-0.000502,0.000041
614.5,-0.000421,0.00071,-0.000137,0.001091,0.001108,0.000749,0.001613,0.000714,-0.000311,-0.000297,0.001839,0.001275,0.001993
614,0.001213,0.001192,0.000371,0.002521,-0.000397,-0.001145,0.000637,-0.000712,-0.001524,-0.0018,0.000734,-0.000134,0.000966
613.5,0.000788,0.002369,0.002697,0.000946,0.000695,0.000454,0.000751,-0.000261,0.000103,-0.001194,0.002079,0.000789,0.002027
613,-0.000447,-0.000036,0.000427,0.00044,-0.000114,-0.000694,0.001334,-0.000111,-0.00021,-0.000383,-0.000034,-0.0005,0.00108
612.5,-0.000797,-0.000759,-0.000314,0.000666,0.000999,0.00108,0.001755,0.000261,-0.000571,-0.001526,0.000233,0.000486,0.00098
612,0.000328,0.000653,0.000944,0.001769,0.000263,0.000396,0.001486,-0.000414,0.000311,-0.000893,0.002529,0.000553,0.002611
611.5,-0.00045,-0.000379,0.000399,0.000149,-0.000074,0.000672,0.001566,0.000679,-0.00036,-0.000441,0.001447,0.00042,0.001588
