Wavelength (nm),Blank1,F564,F565,F576,F577,F570,F571,F600,F568,F569,F582,F603,F603b
779,0.000916,0.0034,0.003577,0.000908,-0.000142,0.000954,0.002738,-0.001687,-0.001551,0.001877,0.00408,0.004087,0.002753
778.5,-0.002656,0.000652,0.000134,-0.000856,0.003352,-0.000704,0.000505,0.004211,-0.001833,-0.0035,0.003042,0.001789,0.004542
778,-0.003206,0,0.001927,-0.000497,-0.001771,-0.001742,-0.001422,-0.001927,0.001711,0.003218,-0.000389,0.001185,0.002931
777.5,0.000983,-0.001478,-0.002008,-0.00059,-0.003541,-0.001526,-0.001283,-0.000229,-0.000184,-0.001968,0.001986,0.002918,0.000585
777,-0.000048,0.000269,0.00206,0.000241,-0.001703,0.001023,0.000522,0.000571,0.001711,-0.00026,-0.000091,0.000867,0.001729
776.5,0.001502,0.00288,0.003187,-0.000617,-0.006224,0.0004,0.000295,0.002402,0.002244,0.003751,0.003111,0.000495,0.00289
776,0.002494,0.003213,0.000885,-0.001338,-0.000991,-0.001217,0.000214,0.000835,-0.002005,-0.001037,0.002148,0.001097,0.003718
775.5,-0.002066,-0.000406,-0.000577,-0.000307,0.001805,0.000601,-0.000263,-0.000244,0.001226,0.001182,0.000574,-0.002528,-0.000528
775,0.002479,0.001586,0.001046,-0.001421,-0.000585,0.001167,-0.003276,0.00167,-0.000544,-0.001605,0.000665,0.001031,0.001651
774.5,0.000191,0.00248,0.003142,0.001802,0.000302,-0.002427,-0.001572,0.001016,-0.002368,-0.003847,-0.000762,-0.000098,0.002811
774,0.004514,0.000924,0.00186,0.000259,0.001939,-0.000467,0.000641,0.001323,-0.001129,-0.002351,0.000915,-0.001894,0.00319
773.5,0.000413,0.000594,0.002243,0.002411,0.00388,0.00046,0.003024,-0.000269,-0.002927,-0.002739,-0.003154,-0.007172,-0.002702
773,-0.001513,-0.00083,-0.000557,0.001187,-0.002311,-0.001197,0.000155,0.000496,0.002155,0.001267,0.001755,0.000651,0.005587
772.5,0.003932,0.001854,0.000171,0.002014,-0.001215,0.00061,0.002118,0.000862,-0.000916,0.003718,0.000932,-0.001189,0.000095
772,-0.000399,0.001057,0.002404,-0.003998,0.001698,0.001745,0.002984,0.00623,0.002631,-0.000333,0.002208,-0.000383,-0.001414
771.5,-0.002759,-0.001355,0.001012,0.000447,0.000357,-0.000507,0.001989,0.002721,0.001159,0.000073,0.000021,0.003899,0.004296
771,-0.000511,-0.000103,-0.001052,-0.001155,-0.001444,-0.002642,-0.001244,0.001012,0.00016,-0.000824,-0.000212,-0.002394,-0.000902
770.5,0.003313,-0.001654,-0.000833,0.00245,0.001519,0.000564,0.002502,-0.002548,0.001334,0.002024,0.001222,-0.000889,-0.00255
770,-0.000004,0.001551,0.000277,0.002883,0.003169,-0.001094,-0.001049,0.000037,-0.005848,0.001168,0.000994,0.001352,0.00061
769.5,0.000034,-0.000707,-0.001102,0.002331,0.000853,-0.001231,0.002224,-0.002061,-0.000941,0.0018,0.001484,-0.000755,0.000376
769,0.004103,0.002662,0.00468,0.001404,-0.000917,0.000742,-0.0002,-0.000668,-0.000309,-0.001266,0.00128,-0.000772,0.00248
768.5,0.001037,-0.000419,-0.000222,0.002309,-0.000313,-0.001258,0.000769,-0.000626,0.001378,0.000925,-0.000682,0.002986,0.002085
768,0.001705,0.003806,0.0023,0.001017,-0.000227,-0.001845,-0.001456,-0.000531,0.001824,-0.000777,-0.001149,-0.002645,0.001123
