TITLE,Raman_scatter
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/10/29
TIME,09:30:15
SPECTROMETER/DATA SYSTEM,
LOCALE,1037
RESOLUTION,
DELTAX,0.5
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  365.0000
LASTX,  430.0000
NPOINTS,     131
FIRSTY,    24.38025
MAXY,   868.82501
MINY,     1.88314
XYDATA
365.0000,24.3803
365.5000,23.9416
366.0000,23.2988
366.5000,23.0289
367.0000,22.5148
367.5000,22.7562
368.0000,22.7548
368.5000,23.0545
369.0000,23.4215
369.5000,23.6939
370.0000,23.0527
370.5000,23.2282
371.0000,22.8428
371.5000,23.06
372.0000,22.4959
372.5000,21.9512
373.0000,21.5233
373.5000,21.4833
374.0000,20.7179
374.5000,20.2244
375.0000,19.2728
375.5000,19.1772
376.0000,18.7939
376.5000,18.4046
377.0000,17.5564
377.5000,17.1847
378.0000,16.9517
378.5000,17.0682
379.0000,16.4942
379.5000,15.9785
380.0000,15.6982
380.5000,15.1267
381.0000,14.8262
381.5000,14.3717
382.0000,13.8164
382.5000,13.778
383.0000,13.8639
383.5000,13.657
384.0000,14.684
384.5000,15.4519
385.0000,17.3931
385.5000,20.3177
386.0000,24.1231
386.5000,31.1323
387.0000,38.7229
387.5000,51.2017
388.0000,66.8097
388.5000,83.6886
389.0000,110.216
389.5000,133.988
390.0000,171.655
390.5000,212.995
391.0000,253.943
391.5000,309.456
392.0000,355.109
392.5000,421.328
393.0000,482.659
393.5000,540.483
394.0000,612.007
394.5000,660.9
395.0000,724.676
395.5000,774.288
396.0000,813.382
396.5000,844.535
397.0000,860.423
397.5000,868.825
398.0000,862.96
398.5000,844.298
399.0000,812.42
399.5000,771.971
400.0000,729.848
400.5000,678.212
401.0000,618.793
401.5000,549.958
402.0000,492.6
402.5000,429.351
403.0000,363.211
403.5000,315.962
404.0000,259.407
404.5000,216.586
405.0000,175.431
405.5000,138.072
406.0000,113.223
406.5000,88.2079
407.0000,72.2638
407.5000,57.5004
408.0000,46.4332
408.5000,39.403
409.0000,33.2002
409.5000,28.133
410.0000,25.3295
410.5000,22.6896
411.0000,20.8388
411.5000,18.7198
412.0000,16.9536
412.5000,15.5836
413.0000,13.9434
413.5000,12.2319
414.0000,10.9464
414.5000,9.6084
415.0000,8.56629
415.5000,7.34479
416.0000,6.41331
416.5000,6.1458
417.0000,5.63644
417.5000,5.21407
418.0000,4.89791
418.5000,4.59651
419.0000,4.5779
419.5000,4.16588
420.0000,3.70635
420.5000,3.48411
421.0000,3.25012
421.5000,3.28049
422.0000,3.18722
422.5000,2.70172
423.0000,2.77307
423.5000,2.58594
424.0000,2.40187
424.5000,2.3059
425.0000,2.0017
425.5000,1.88314
426.0000,2.01556
426.5000,2.18966
427.0000,2.17035
427.5000,2.38262
428.0000,2.44526
428.5000,2.76182
429.0000,2.6397
429.5000,2.57488
430.0000,2.30295

##### Extended Information
[Comments]
Sample name,Raman_scatter
Comment
Username
Division
Organization,Rupin

[Detailed Information]
Creation date,29/10/2024 10:30

Data array type,Linear data array
Horizontal axis,Wavelength [nm]
Vertical axis,Int.
Start,365 nm
End,430 nm
Data interval,0.5 nm
Data points,131     

[Measurement Information]
Model name,FP-8350
Serial No.,C007962080
  Ex filter holder,None
  Em filter holder,None

Accessory,SCE-146
Accessory S/N,C007962080
  Attachment,Standard Cell Block
  Cell type,10 mm Rectangular Cell

Measurement date,29/10/2024 10:30

Mode,Emission
Ex bandwidth,5 nm
Em bandwidth,5 nm
Response,0.1 sec
Sensitivity,High
Measurement range,365 - 430 nm
Data interval,0.5 nm
Ex wavelength,350.0 nm
Scan speed,2000 nm/min
No. of cycles,1
Auto gain,Off
Shutter control,Open only for measurement
Light source,Xe lamp
Filter,Stop scan for exchanging filter
Auto Zero control,On
Blank correction,Off

