Wavelength (nm),Blank1,F532,F533,F526,F527,F538,F539,F534,F535,F540,F541,F528,F529,F610,F611,F536,F537,F554,F555,F556,F557
727,-0.001561,-0.001681,-0.005022,0.000214,0.00039,0.001006,-0.000551,-0.001714,-0.001864,0.000012,-0.000496,-0.001498,0.00595,-0.001216,-0.001796,0.002259,0.001415,-0.002964,-0.002969,-0.000368,0.028477
726.5,-0.00118,-0.001431,-0.003437,-0.000537,0.000477,-0.001161,-0.001041,0.000156,-0.002687,-0.002204,-0.000904,-0.002,0.001698,-0.000305,-0.000843,0.000445,-0.001545,-0.000109,0.002753,0.001411,0.029871
726,-0.000938,-0.001997,-0.00577,0.001149,0.000966,0.001981,0.00071,0.00239,-0.001006,0.000131,0.002135,-0.002505,-0.000293,-0.001548,-0.001827,0.000418,-0.001303,0.000233,0.000408,-0.002336,0.028656
725.5,-0.000213,0.000668,-0.004109,-0.003385,-0.001381,0.001467,-0.001315,0.000404,-0.001684,-0.002929,0.000225,-0.000134,0.002114,-0.000923,-0.001618,-0.000556,-0.000009,-0.000602,0.001923,0.001918,0.0292
725,0.001956,-0.001022,-0.002392,0.002839,0.002602,-0.000144,-0.000543,-0.000167,-0.001028,-0.001564,-0.000873,-0.001782,0.002751,-0.004971,-0.003525,-0.002242,-0.001722,-0.003391,-0.003146,-0.002096,0.029331
724.5,-0.002088,-0.000897,-0.002593,-0.001461,0.000808,0.000853,-0.00098,-0.000509,0.000168,0.000231,0.000754,-0.001312,0.000139,0.002032,0.001284,0.003261,0.001968,0.000793,0.000228,0.000545,0.029066
724,-0.000567,-0.002046,-0.003957,-0.000689,-0.001196,-0.00083,-0.000183,0.000334,0.000081,0.001106,-0.000296,0.001367,0.002866,0.001199,0.000249,-0.002249,-0.001596,-0.004845,-0.00034,-0.000637,0.028019
723.5,0.000712,-0.002039,-0.005209,-0.001319,0.000433,-0.000904,0.000761,0.00169,0.000904,0.000009,0.001049,-0.001456,0.003241,0.000601,-0.000551,-0.0012,0.000156,-0.000726,-0.001288,0.000991,0.026999
723,-0.000261,0.000476,-0.003999,0.001279,0.000274,0.00007,-0.002154,0.002836,0.000082,-0.004072,-0.001409,-0.001706,0.003936,0.000967,-0.001988,0.001217,0.000116,-0.003229,0.00238,-0.003227,0.026384
722.5,0.000475,0.000663,-0.003964,-0.00058,0.001889,-0.000173,0.000554,0.000223,0.000625,0.000403,-0.000373,0.000599,0.00448,-0.001049,-0.002958,0.000263,-0.001067,-0.00273,-0.003294,0.000719,0.027323
722,-0.00078,0.000685,-0.004955,0.000207,0.002711,-0.001934,-0.000336,-0.000027,-0.000246,-0.000238,0.001006,-0.000657,0.004456,-0.000649,-0.002348,0.000593,-0.000155,-0.003814,-0.00076,0.001505,0.030881
721.5,0.000305,0.000657,-0.005944,-0.001435,0.00094,0.000929,-0.000446,0.000785,-0.001799,0.000679,0.001245,-0.003071,0.002182,-0.003132,-0.00249,0.002004,0.002441,-0.001501,-0.000573,-0.000507,0.029702
721,-0.000993,-0.001618,-0.00541,-0.000298,0.001735,-0.001168,-0.001318,0.000446,0.000322,-0.000416,0.000345,-0.001147,0.004155,0.001074,-0.000667,-0.000034,0.0003,-0.002097,0.000043,-0.000073,0.026987
720.5,0.00106,-0.000145,-0.001579,-0.0013,0.000773,0.00161,-0.000876,-0.000682,-0.002265,-0.000237,0.001013,-0.000729,0.002667,0.001406,-0.001724,0.000909,0.002142,-0.002136,-0.001722,-0.000076,0.026837
720,-0.001671,-0.001551,-0.00526,0.003519,0.002363,0.000077,-0.001175,0.003769,0.000358,-0.000769,0.000833,-0.002416,0.003025,0.000156,0.000526,-0.001016,-0.00213,-0.001171,0.00222,0.001344,0.028724
719.5,0.001495,-0.00143,-0.002877,0.000226,0.002755,0.000124,0.000605,-0.000603,0.001421,-0.000027,0.001415,-0.00176,0.003326,-0.000426,-0.002264,0.001701,0.001007,-0.004079,-0.000649,0.001306,0.027486
719,-0.001654,-0.000831,-0.007452,-0.001566,0.000656,0.000531,-0.000276,0.001819,0.001401,-0.001029,-0.00049,-0.003726,0.002978,-0.000688,-0.001701,0.000654,0.000656,-0.001999,-0.000961,0.000452,0.028787
718.5,-0.002529,-0.003816,-0.006783,-0.00197,0.000412,-0.000941,-0.00033,-0.000598,-0.002294,-0.002235,-0.000632,-0.002771,0.004623,-0.000791,-0.000384,-0.001712,-0.001605,-0.001501,0.001064,-0.001237,0.027787
718,-0.000959,-0.000822,-0.004584,-0.001192,-0.001079,0.000001,-0.00207,0.001496,0.00129,-0.000791,-0.001013,-0.000195,0.002956,-0.002687,-0.003462,-0.000749,0.001147,-0.000411,0.000892,-0.001779,0.02739
