Wavelength (nm),Blank1,F503,F502,F510,F511,F506,F507,F518,F519,F514,F515,F521,F520,F517,F516
719,-0.002147,-0.000677,-0.00179,-0.001268,0.001699,0.001585,-0.002287,0.002073,-0.00023,0.001792,0.001104,0.002547,0.001562,-0.001485,0.001801
718.5,-0.001168,0.000419,0.000675,0.000986,0.003479,0.004446,0.000462,0.00047,-0.00286,-0.001825,-0.00382,0.003024,0.00016,0.000558,0.002553
718,-0.00184,-0.000753,-0.001257,0.001551,0.004359,0.003702,0.000654,0.001762,-0.000122,-0.000712,-0.002037,0.001349,0.000629,0.000982,0.001852
717.5,0.00025,-0.001469,-0.004404,-0.001585,0.002037,0.00265,-0.00066,0.000805,-0.000093,0.000045,-0.001621,-0.00042,0.000299,0.0003,0.001442
717,-0.00038,-0.001004,-0.002244,-0.000251,0.002205,0.005118,0.001356,-0.000574,0.000157,0.000601,-0.000922,-0.000338,-0.001512,0.00094,0.00154
716.5,-0.000685,-0.001372,0.00096,-0.002586,0.001968,0.004195,0.001236,-0.002269,-0.000446,0.000116,0.001323,-0.001524,0.000833,-0.001206,-0.000985
716,-0.000414,-0.001505,-0.000223,-0.001044,0.000601,0.003603,0.00008,0.000735,-0.000192,0.00062,0.003155,-0.001283,-0.000122,-0.000972,0.000387
715.5,0.000708,0.000273,0.001069,0.001007,0.003982,0.002477,0.00028,0.000295,-0.000085,-0.000013,0.00146,-0.000477,-0.000801,-0.001094,-0.00109
715,-0.000859,-0.000767,-0.001737,-0.000465,0.002935,0.001992,-0.001164,-0.001236,-0.001983,0.000587,0.000345,-0.000824,0.000227,-0.002007,0.000703
714.5,0.000885,-0.000181,-0.002124,0.001042,0.00334,0.003433,-0.000162,0.000445,-0.000596,-0.000299,-0.001733,-0.000234,-0.000027,-0.000875,-0.000444
714,-0.001381,0.000207,-0.000356,-0.000596,0.002116,0.003645,0.001064,0.000613,0.000865,-0.00049,-0.000236,-0.000437,0.000559,0.000178,0.000346
713.5,0.000678,0.001051,-0.000005,-0.002054,0.001211,0.002686,-0.000014,-0.000125,-0.001057,-0.000775,0.000594,-0.000083,0.000686,-0.000641,-0.000201
713,-0.000917,-0.002684,-0.000302,-0.001638,0.002427,0.004417,-0.001163,-0.000407,0.000027,0.00014,-0.000583,-0.000917,-0.000526,0.001342,0.003207
712.5,0.000828,0.000271,0.000449,0.000122,0.004318,0.003906,0.000165,-0.0005,-0.000946,-0.002575,-0.002585,0.000144,-0.000743,-0.000668,-0.00136
712,-0.002631,-0.00168,-0.000311,-0.000627,0.00407,0.000553,-0.000543,-0.001129,-0.001898,0.000316,-0.000459,-0.00137,0.000203,-0.002297,-0.002483
711.5,-0.000048,-0.001435,-0.001006,-0.000826,0.003506,0.003514,0.000712,0.000934,-0.000492,-0.000111,-0.000623,-0.00058,0.000155,-0.001793,0.001307
711,-0.000045,-0.001703,0.000611,-0.002311,0.002547,0.00326,-0.000836,0.000161,0.000364,-0.000607,-0.000691,0.00113,0.000686,-0.001271,0.000107
710.5,0.001419,0.001556,-0.001538,-0.000797,0.002419,0.00368,0.001737,0.000122,-0.000631,-0.001015,-0.000974,0.001059,0.001849,-0.000524,0.000363
710,0.001661,0.000797,-0.000143,-0.003276,0.000335,0.00312,0.001028,0.002167,0.000223,-0.0028,-0.002065,-0.000558,-0.000474,-0.001294,0.000381
709.5,-0.000023,0.000821,-0.000796,-0.002227,0.000998,0.00324,-0.001073,0.001223,0.000331,-0.000938,-0.001271,0.000185,-0.000505,0.000148,0.001626
709,0.000582,0.000074,-0.000422,-0.000974,0.002122,0.00289,0.000345,0.000467,-0.000364,0.000487,0.001448,0.000751,0.000805,-0.00147,-0.000836
708.5,0.000989,0.002258,-0.001309,-0.00049,0.003088,0.004505,-0.00163,0.00112,-0.001182,0.001974,0.001467,-0.000901,-0.000525,0.000897,0.002152
708,0.002487,0.00042,0.000629,0.000885,0.004289,0.002611,-0.001598,-0.000954,-0.001428,-0.000914,-0.001339,0.001266,0.001277,-0.000873,0.000789
707.5,-0.001701,-0.000772,-0.002272,-0.000675,0.002514,0.002503,0.000782,-0.001337,-0.000701,0.000568,0.002028,-0.000528,-0.001566,0.000817,0.000194
707,0.001372,0.001423,-0.000959,0.000967,0.002782,0.003363,-0.000954,0.000733,0.000956,-0.001738,-0.001309,0.000708,0.002582,-0.000042,0.000872
706.5,0.003201,0.00227,0.000305,-0.000876,0.002117,0.004209,0.000862,-0.000477,-0.002402,0.003247,0.001279,0.000498,0.000683,-0.000597,0.002234
706,0.001649,0.000632,-0.00179,0.000371,0.003632,0.004629,-0.001141,0.000586,0.001476,-0.001141,-0.000027,0.000999,-0.00202,-0.00243,-0.000084
705.5,-0.001424,-0.001544,0.00163,-0.00147,0.003438,0.003461,-0.000527,0.000257,-0.000959,-0.000647,0.00015,-0.000249,0.000048,0.000823,0.000172
705,0.000964,-0.000336,-0.001146,-0.000027,0.003365,0.001984,-0.000869,0.000789,-0.000856,-0.00012,0.000272,-0.000147,0.001107,0.000151,0.001932
704.5,0.000081,0.000535,-0.002202,-0.000824,0.002597,0.002202,0.000367,-0.001199,-0.001487,0.000923,0.000654,0.000063,0.000918,-0.001104,0.001794
704,0.000268,0.001324,0.000714,0.00015,0.002933,0.002053,-0.00015,0.001432,-0.000721,0.000522,-0.000704,-0.000703,-0.001352,-0.000084,0.001081
703.5,0.000138,0.000759,-0.000266,-0.001277,0.002629,0.00509,0.001764,-0.001464,-0.001462,0.000121,-0.001145,-0.000207,-0.001645,-0.002347,-0.000364
703,-0.000026,0.000447,-0.001232,0.000538,0.001867,0.003128,-0.001223,0.000163,-0.000533,-0.002058,-0.00211,0.001882,0.000158,0.000279,0.001198
702.5,0.000374,0.00119,-0.001493,-0.00084,0.001792,0.004137,0.000078,0.002169,-0.000103,-0.000397,-0.000613,-0.001016,-0.001092,-0.001662,0.001384
702,0.000681,-0.000538,-0.000335,-0.002207,0.002386,0.002808,-0.000137,0.002411,-0.000212,-0.000495,0.000129,-0.001188,-0.000896,-0.001502,0.000527
701.5,-0.001184,0.00016,-0.000789,-0.000391,0.002459,0.002292,-0.000705,-0.000042,0.000785,-0.00175,-0.001461,-0.000016,-0.000203,0.001695,0.002709
701,-0.001612,-0.000892,0.001019,-0.00069,0.002753,0.002974,-0.001442,-0.000149,-0.00138,-0.000072,0.000124,0.00019,0.000691,0.000632,0.0013
700.5,0.000635,-0.000067,0.0005,-0.000627,0.002335,0.002651,-0.000256,-0.000112,-0.000457,-0.000498,-0.001217,0.000436,-0.000174,-0.000898,0.001254
700,0.001095,0.001604,-0.000893,-0.000771,0.001269,0.002826,0.00016,-0.000255,-0.000704,0.000324,0.000742,0.000816,0.000344,0.000761,0.00126
699.5,0.000448,-0.000211,-0.001404,-0.000968,0.002827,0.003524,-0.001433,0.000435,0.000345,0.000957,0.000711,0.001202,0.000981,-0.000217,0.000707
699,-0.00021,0.000427,-0.000472,-0.001434,0.001849,0.002526,-0.000983,-0.000851,-0.001218,0.001006,0.000144,0.000744,-0.000464,-0.000546,0.000324
698.5,0.001019,0.000546,0.000213,0.000082,0.00211,0.003227,-0.000553,-0.000031,-0.000721,-0.000647,0.000454,0.001064,0.001428,-0.000975,0.000557
698,0.000679,-0.000155,-0.000088,-0.001692,0.001417,0.002845,0.000237,-0.000995,-0.001421,-0.001112,-0.001207,-0.000378,0.000659,0.000196,0.001051
697.5,-0.000142,-0.000042,-0.001129,-0.001105,0.001653,0.002915,0.000059,0.000316,-0.000044,-0.000092,-0.000996,0.000355,0.000715,-0.00053,0.00162
697,0.000194,0.00073,-0.001085,-0.002597,0.003203,0.003857,-0.000339,-0.000161,0.00008,0.000061,-0.00062,-0.00001,0.000069,-0.000676,0.000879
696.5,0.001208,0.001487,-0.000284,-0.000216,0.002303,0.002358,-0.001763,-0.0002,0.000201,0.000281,-0.000284,-0.000027,-0.000173,-0.000005,0.001489
696,0.000852,0.000759,-0.000925,-0.001244,0.00241,0.00146,-0.001819,-0.001035,-0.00126,-0.000585,-0.001167,-0.001138,0.000045,-0.000705,0.0009
695.5,0.000319,0.000203,-0.001415,-0.000131,0.003167,0.003761,-0.000925,0.000289,-0.000385,0.0006,0.000556,-0.000054,-0.000287,-0.000967,-0.00032
695,0,0.000407,0.000209,-0.001246,0.001536,0.003358,0.000414,-0.002011,-0.004072,-0.000531,-0.000441,-0.000509,-0.000733,-0.000397,0.000959
694.5,-0.001439,-0.00114,-0.00015,-0.00094,0.001748,0.003306,-0.000839,0.000653,-0.00073,-0.000267,0.000571,0.0006,-0.001411,-0.001811,-0.000551
694,-0.001142,0.000008,-0.000648,-0.002321,0.000949,0.003105,-0.000408,0.000951,0.000009,-0.000999,-0.00162,0.000014,0.000001,0.000958,0.000861
693.5,-0.000062,-0.000415,0.000267,-0.000735,0.002438,0.003485,0.001329,0.000523,0.00115,0.00093,0.000779,-0.000544,-0.00094,0.001322,0.001829
693,0.000257,0.000106,-0.000045,-0.001871,0.001681,0.002607,-0.000421,-0.001334,-0.000638,0.001435,0.00066,-0.000179,-0.000168,-0.00097,0.001274
692.5,-0.000717,0.000158,0.000744,-0.001697,0.002379,0.004013,0.000059,-0.001496,-0.001483,0.0014,-0.000163,0.001072,0.000287,0.000303,0.002759
692,-0.000336,-0.000807,-0.001561,0.000142,0.002929,0.003042,0.000494,-0.001232,-0.00117,0.000089,0.000272,-0.000837,-0.000328,-0.001531,0.000433
691.5,-0.000274,0.001123,-0.000787,-0.000644,0.002845,0.004151,-0.000266,-0.000248,-0.001348,0.000176,-0.000531,0.000191,-0.000172,-0.000336,0.000903
691,0.000429,0.000791,-0.000757,-0.001878,0.001084,0.003441,-0.000319,-0.001948,-0.002605,-0.000652,0.000199,0.000505,0.000284,-0.000727,0.001176
690.5,0.00006,-0.000828,-0.000296,-0.000552,0.00263,0.003234,0.000816,-0.000264,-0.00041,-0.000911,-0.000273,0.00079,-0.00005,-0.000949,0.001884
690,0.000345,0.000643,-0.000949,-0.001094,0.002632,0.002788,-0.000367,0.000493,-0.000127,0.0003,0.000095,0.000401,-0.000337,-0.000875,0.001228
689.5,-0.000091,0.001022,0.000022,-0.000513,0.002979,0.005017,0.000742,-0.000907,-0.000993,-0.000325,0.001041,0.000214,-0.000296,-0.001675,0.000444
689,0.000952,0.000914,-0.000638,-0.000331,0.003449,0.003424,-0.000325,0.000015,0.000343,0.000035,-0.000122,0.001441,0.000925,-0.000842,0.002078
688.5,-0.000655,-0.000618,0.000497,-0.001308,0.002838,0.00393,0.001656,0.00004,-0.000525,0.000095,-0.000001,0.001072,0.000279,0.000163,0.001642
688,-0.000433,-0.00125,-0.000578,0.000728,0.003908,0.002165,-0.001644,-0.001014,-0.001024,0.00036,-0.000735,0.001495,0.000793,-0.000413,0.000246
687.5,0.000962,0.001101,-0.001594,-0.001333,0.001453,0.002947,-0.001163,-0.000363,-0.000342,0.000011,-0.00024,0.000345,-0.000281,-0.000534,-0.000027
687,0.00016,-0.000393,-0.001214,-0.000604,0.002592,0.001975,-0.000781,-0.000254,-0.000803,-0.000083,-0.000118,0.000363,0.001262,-0.000628,0.001891
686.5,-0.000205,-0.000027,0.000039,-0.000793,0.002399,0.002733,0.000205,-0.00064,-0.000938,0.000741,-0.000079,0.000691,0.000027,-0.001544,0.000665
686,-0.000591,-0.000695,0.000043,-0.001094,0.002574,0.00369,-0.000307,-0.000404,-0.000651,0.00028,-0.000096,0.000251,0.000547,-0.000977,0.000386
685.5,0.000517,-0.000247,0.000149,-0.000929,0.002537,0.003366,0.000496,-0.00128,-0.00093,0.000014,-0.000484,0.000241,0.000199,-0.000709,0.000257
685,0.000273,-0.000109,-0.00007,-0.000273,0.002437,0.004599,0.000298,-0.000719,-0.000984,-0.000138,-0.000228,0.001197,0.000653,-0.000121,0.000117
684.5,0.000193,0.000404,-0.00039,-0.001609,0.002485,0.003281,-0.000681,0.000853,-0.000795,0.000489,-0.000029,0.001123,0.001171,-0.000662,0.001281
684,-0.000561,-0.000324,-0.000667,-0.000591,0.002584,0.003475,-0.000549,0.000156,-0.000313,-0.000085,-0.000585,-0.000012,0.00017,0.000064,0.001288
683.5,-0.000619,0.001205,-0.000415,-0.000654,0.002487,0.002956,-0.000979,-0.000176,-0.001381,0.000386,-0.000368,-0.000127,-0.000387,-0.000788,0.000665
683,0.000118,0.000978,0.000388,-0.000658,0.002726,0.003109,-0.000351,0.000179,-0.000935,0.001557,0.000662,0.001,0.00017,-0.000872,0.000668
682.5,0.000333,0.000122,-0.001307,-0.000673,0.001967,0.003297,-0.000882,-0.000751,-0.001781,-0.000047,-0.000369,0.000365,0.000041,-0.000798,0.000681
682,0.000214,0.000589,0.000064,-0.00087,0.003161,0.003104,-0.000516,-0.000506,-0.000495,-0.000518,-0.000116,0.00115,-0.000074,-0.001082,0.000411
681.5,0.000088,0.000243,-0.000646,-0.000633,0.003139,0.002793,-0.000999,0.000338,-0.000835,-0.000183,-0.000538,0.00061,-0.000133,-0.000314,0.000948
681,-0.000266,-0.000514,-0.000448,-0.001223,0.002877,0.002764,-0.000053,-0.000182,-0.000845,-0.000267,-0.000033,0.000568,0.000907,-0.000329,0.001251
680.5,0.000096,0.00131,-0.000711,-0.000741,0.002384,0.002332,-0.000492,-0.000683,-0.000312,0.000359,-0.000096,0.000964,0.00042,-0.000252,0.000226
680,-0.000098,0.001176,-0.000773,-0.002028,0.00154,0.002931,-0.001171,-0.000118,-0.000586,-0.000597,0.000054,0.000158,-0.000014,0.000615,0.001958
679.5,-0.000847,0.000411,-0.000124,-0.001678,0.001476,0.003367,0.0008,-0.000218,-0.000511,-0.001175,-0.001119,-0.000237,-0.000423,-0.000715,0.000396
679,0.000926,0.00067,-0.00055,-0.000851,0.002497,0.002799,-0.000029,-0.00054,-0.000357,-0.000486,0.000166,-0.000151,0.000579,-0.000266,0.001153
678.5,0.000135,0.000031,0.00031,-0.001455,0.001945,0.00272,-0.000274,-0.000503,-0.001099,0.000476,0.000195,-0.000317,0.000546,-0.00161,0.000392
678,-0.000425,-0.000384,-0.000536,-0.000742,0.002,0.002819,-0.000965,-0.000286,-0.000734,0.00027,0.000485,0.001101,-0.000342,-0.000736,-0.000171
677.5,-0.000466,0.000375,-0.000689,-0.00147,0.001836,0.002338,0.000088,-0.000326,0.000311,0.000751,-0.000051,0.000764,-0.000165,-0.000686,0.001131
677,-0.000096,0.000288,-0.000687,-0.000351,0.002289,0.004073,0.000022,-0.000057,-0.000761,-0.000588,-0.000518,0.001266,0.001076,-0.000808,0.000431
676.5,0.000369,0.000086,-0.000562,-0.000013,0.002855,0.002992,0.000342,-0.0013,-0.000921,-0.00041,-0.000174,0.001131,0.000895,-0.000311,0.000871
676,-0.000306,0.000003,-0.000733,-0.000286,0.003702,0.003591,0.00018,-0.000839,-0.001757,-0.000005,-0.001175,0.000951,0.000762,-0.001159,0.000074
675.5,0.000025,-0.000316,-0.000014,-0.000749,0.002697,0.004068,-0.000257,0.000234,-0.00033,-0.000392,-0.000918,0.00034,0.000316,-0.00089,0.001117
675,-0.000227,-0.000908,0.00045,-0.000648,0.003347,0.003595,0.000113,-0.00035,-0.000909,-0.001093,-0.000446,0.000466,0.000923,-0.000191,0.001195
674.5,-0.001125,-0.000129,-0.000689,-0.00125,0.002377,0.003909,0.001133,-0.000006,-0.000101,0.000132,-0.000156,-0.000402,0.000003,-0.000281,0.00053
674,0.00035,0.001461,-0.000473,-0.000474,0.003255,0.00421,-0.000581,0.000259,-0.000995,0.001024,0.00089,-0.000004,-0.000542,-0.000773,0.000864
673.5,0.000304,0.000577,-0.000348,-0.001236,0.00197,0.003846,-0.000021,-0.000407,-0.001093,-0.000036,0.000224,-0.000596,-0.000787,0.000276,0.001863
673,0.000728,0.00098,0.000199,-0.001196,0.002531,0.002629,0.000311,-0.000381,-0.000765,-0.000606,-0.000635,0.000677,0.000158,-0.001272,-0.000531
672.5,0.000005,-0.000215,-0.000431,-0.002027,0.001004,0.003035,-0.000739,0.000062,-0.000943,0.000609,0.000751,0.001892,0.001167,-0.000156,0.001549
672,0.001092,0.000789,-0.000027,-0.001706,0.001605,0.003527,0.000542,-0.001528,-0.001809,-0.001082,-0.001207,0.000289,0.000661,-0.000109,-0.000123
671.5,0.000355,0.001089,-0.000327,-0.000944,0.001799,0.00233,-0.000419,0.000079,0.000403,0.000017,-0.000012,0.000397,0.000459,-0.000431,0.001127
671,0.001588,0.00083,0.000321,-0.000939,0.00237,0.00193,-0.00087,0.000293,-0.000403,0.000315,-0.000355,-0.000426,0.000114,-0.000131,0.002622
670.5,-0.001127,0.000608,-0.001113,-0.000909,0.003321,0.001631,-0.001245,0.000274,-0.000257,-0.000177,-0.000952,0.000829,0.000157,0.000135,0.001244
670,-0.000457,0.000461,-0.002192,-0.000016,0.002606,0.003101,0.00069,0.00004,-0.000014,-0.000356,-0.001031,0.00134,0.000969,0.000939,0.002859
669.5,-0.00089,0.000068,0.000558,0.000025,0.003904,0.002617,-0.000518,0.000297,0.000451,-0.001492,-0.001167,0.001521,0.000955,0.000012,0.000951
669,0.00122,0.000385,-0.001012,-0.0003,0.002784,0.003297,-0.000603,-0.001023,-0.000575,0.000397,-0.000347,0.000748,0.000672,-0.000633,0.00045
668.5,0.000759,-0.000802,-0.00105,0.000899,0.002093,0.003095,-0.001045,0.001704,0.000486,0.000829,0.000665,0.00005,-0.00029,-0.000391,0.000204
668,-0.000812,-0.001481,-0.000529,0.000499,0.004079,0.003904,-0.000841,-0.000004,-0.000659,-0.000981,-0.002355,-0.000611,0.001014,0.000981,0.000859
667.5,0.000263,0.001291,0.000584,-0.003836,-0.001101,0.002742,-0.000732,0.001369,0.000868,0.00021,0.000133,-0.00174,-0.001157,-0.001404,-0.002476
667,0.001131,0.00105,0.000412,-0.001165,0.001355,0.003481,-0.000719,-0.001511,-0.002369,-0.000006,-0.000874,-0.001163,0.000697,0.000709,0.001414
666.5,0.001496,0.001372,-0.001824,-0.000922,0.002339,0.003249,-0.000163,-0.001533,-0.001177,0.001383,0.000043,0.000685,-0.000278,-0.001704,0.000367
666,-0.00089,-0.001302,-0.001002,-0.002873,0.001682,0.00224,0.000954,-0.002221,-0.002837,0.00242,0.001781,-0.001065,-0.000605,0.000366,0.002725
665.5,0.000334,-0.000121,-0.0005,0.001084,0.003482,0.005108,0.000002,0.00029,0.001212,-0.000992,-0.000843,0.00199,0.000961,-0.000961,0.001064
665,0.001999,0.002603,-0.000108,0.001268,0.004158,0.004706,0.001924,-0.001978,-0.001394,-0.000171,0.000793,-0.000446,0.001778,0.001496,0.002037
664.5,-0.000359,0.000007,0.000271,0.000168,0.003159,0.003213,-0.001891,0.001443,-0.00149,-0.000085,0.000426,-0.000594,-0.00124,-0.000962,-0.000141
664,-0.000318,-0.00124,-0.000811,-0.000029,0.002818,0.003585,0.000764,0.000542,-0.000573,0.000586,0.001669,-0.000113,-0.001237,-0.001449,0.000368
663.5,-0.001497,-0.001074,-0.00001,-0.003065,-0.000469,0.002893,0.001185,-0.000062,-0.000893,-0.000217,0.000886,0.001133,0.001686,0.000044,-0.000042
663,-0.001419,-0.000373,-0.000604,-0.001164,0.00232,0.001566,-0.002437,-0.001625,-0.000981,-0.002498,-0.003208,-0.000688,0.000814,0.001093,0.002034
662.5,0.001308,-0.000137,-0.00376,-0.001775,0.000722,0.005803,0.000803,-0.000003,0.00008,0.000087,0.00004,0.001875,-0.000302,-0.002574,0.000728
662,-0.000328,-0.001028,-0.000111,-0.000146,0.002833,0.004052,-0.001187,0.001399,-0.000098,-0.001411,-0.001554,-0.001634,-0.002247,0.001338,0.000558
661.5,0.000358,0.000602,0.000342,-0.001277,0.001588,0.00407,-0.000796,-0.000178,0.000252,0.000845,0.000458,0.000056,-0.0005,0.000475,0.001938
661,0.000248,-0.000389,-0.001276,0.000667,0.004301,0.002941,-0.000715,0.000771,-0.0019,0.000133,0.00095,0.000037,0.000927,-0.001449,0.001014
660.5,-0.000042,-0.000698,-0.001358,0.000796,0.003587,0.00149,-0.000284,0.00064,0.001224,0.000462,0.000244,0.000066,0.000375,-0.000703,0.001118
660,0.002384,0.00096,0.000198,0.000159,0.001419,0.003304,-0.000342,-0.001894,-0.00255,-0.000633,0.001064,-0.000552,-0.000246,0.00012,0.00106
659.5,-0.000713,0.000118,-0.000265,-0.000523,0.001701,0.004418,0.00059,-0.000244,-0.000131,-0.000399,-0.001039,-0.000701,-0.000403,-0.001394,0.000989
659,0.000519,0.001045,-0.00098,-0.001657,0.002247,0.003948,-0.000251,-0.000356,-0.000421,-0.000522,-0.001482,-0.00014,-0.000284,-0.000911,0.001968
658.5,0.001749,0.001205,-0.0022,-0.001957,0.001846,0.00325,-0.000024,0.000091,0.000108,0.000556,0.000745,0.000763,-0.000017,-0.000029,0.001485
658,0.001052,0.001194,-0.000368,-0.002597,0.001876,0.00157,-0.002713,-0.000702,-0.001289,0.00046,0.000467,0.000323,0.000281,-0.002705,-0.001532
657.5,0.001246,0.000459,0.001145,-0.000696,0.002411,0.005695,0.002505,-0.001302,-0.001269,-0.001038,-0.001132,0.00144,0.00019,-0.000554,0.00102
657,-0.002193,-0.000709,-0.000233,-0.000894,0.003815,0.006332,0.00129,-0.001001,-0.001882,0.000016,0.002308,-0.000011,-0.000358,0.000459,0.001964
656.5,0.001459,0.001634,-0.000909,-0.002443,0.00095,0.004792,0.000312,0.001448,0.000715,-0.001326,-0.002197,0.000076,-0.0005,-0.000642,0.002188
656,0.000367,0.000057,0.000017,0.000335,0.002139,0.00186,-0.000279,0.001102,0.000611,0.00011,0.000311,0.000548,0.000167,-0.000989,-0.001053
655.5,0.001445,0.001198,-0.000318,0.000721,0.00284,0.005311,0.001946,0.000321,-0.001516,0.001214,-0.000959,-0.000417,-0.001157,-0.000302,0.00045
655,0.00066,0.001406,0.000965,-0.001445,0.003028,0.004235,0.000827,0.001271,0.00104,0.001755,0.000225,-0.00097,0.000888,-0.000425,-0.001578
654.5,0.00087,-0.000615,0.000988,-0.002899,0.002527,0.003252,-0.001089,0.000487,0.001193,0.000115,-0.000487,0.000056,-0.000706,-0.000786,0.002613
654,0.000546,0.002018,0.000234,-0.000541,0.003193,0.001135,0.000067,-0.000378,-0.001083,-0.000801,0.000141,-0.001271,-0.000473,-0.000042,0.000709
653.5,-0.000502,0.001333,0.000947,-0.000646,0.002411,0.003066,0.000271,0.000909,0.00059,-0.00031,0.001392,-0.001921,-0.00128,0.000579,0.000418
653,-0.000569,0.000157,-0.001263,-0.000876,0.001323,0.002816,-0.000316,-0.000376,-0.001629,-0.001925,0.000341,-0.000519,0.001035,0.003202,0.003351
652.5,-0.000101,-0.001389,-0.001444,-0.000744,0.002464,0.005046,0.000143,0.001514,-0.000733,-0.000191,-0.00043,0.000821,-0.000165,0.001845,0.001129
652,0.001381,0.000641,-0.001409,-0.002198,0.001564,0.001879,-0.002392,-0.000141,0.000391,0.001049,-0.001419,0.00076,-0.000151,-0.000843,0.001019
651.5,-0.00067,-0.000661,0.000077,-0.002659,0.001501,0.005453,0.001685,0.000178,-0.00004,-0.000338,-0.000664,0.001224,0.001374,-0.000731,-0.000404
651,-0.001451,-0.000007,-0.002141,-0.001635,0.002467,0.002837,-0.000841,-0.000118,0.000916,0.000887,0.00175,0.001887,0.001782,-0.001463,0.000487
650.5,0.000711,0.00127,-0.000653,-0.001019,0.001578,0.001535,-0.001478,-0.000075,-0.000542,-0.001037,0.000135,0.001189,0.001606,-0.001047,0.001535
650,-0.001234,-0.000623,0.000738,-0.003479,0.002004,0.003851,-0.002166,-0.00138,-0.002953,0.000157,-0.000487,0.00044,0.00001,0.000344,0.001927
649.5,-0.002025,0.001719,0.000045,-0.001458,0.001208,0.004374,0.000816,-0.000883,0.001276,-0.000559,-0.000006,0.00011,-0.000074,0.002755,0.002049
649,0.000065,-0.000101,-0.000183,-0.001749,0.002421,0.004705,0.000691,0.000822,-0.000063,0.001478,0.000922,0.000879,0.001029,-0.000285,0.000195
648.5,0.000277,0.000941,-0.002555,-0.00033,0.002677,0.001044,-0.001035,0.000009,-0.000524,-0.000447,-0.000743,-0.000786,0.000881,0.000654,0.002697
648,-0.001415,-0.001018,-0.000876,-0.001337,0.00366,0.000848,-0.001919,-0.001067,-0.001171,0.001281,0.000957,0.001038,0.00005,-0.000569,0.001962
647.5,-0.000952,-0.001094,-0.000228,-0.001203,0.003512,0.001587,-0.002425,-0.000708,0.001242,-0.00025,0.000794,-0.001481,-0.000796,0.001581,0.002312
647,-0.000365,-0.001367,-0.000789,-0.000662,0.001765,0.002964,0.000323,0.000703,-0.002118,0.001721,-0.001495,0.00174,-0.000311,-0.000577,0.001076
646.5,-0.001195,-0.000141,-0.001328,-0.002334,0.002272,-0.001237,-0.002682,-0.001385,-0.000063,-0.00062,-0.00256,0.001059,0.00051,-0.001559,-0.000067
646,-0.002395,0.000296,-0.001532,-0.00031,0.003381,0.00318,-0.002785,-0.001009,0.000396,-0.000804,-0.001755,0.002104,-0.000034,-0.001445,-0.000962
645.5,-0.000463,-0.000099,0.001003,-0.001468,0.001543,0.002857,0.000569,-0.001073,-0.001204,0.000492,0.000238,0.000144,-0.000893,0.000488,0.003225
645,-0.001365,0.00012,0.001636,-0.001718,0.002566,0.004559,-0.001297,-0.000095,-0.001012,-0.000611,0.000807,-0.001129,0.001286,-0.001037,0.00207
644.5,0.000489,0.000624,-0.000168,-0.000709,0.002938,0.003072,-0.00236,0.001041,-0.001124,-0.001613,0.000623,-0.001308,-0.001081,-0.00114,-0.000505
644,-0.001644,-0.000726,-0.001229,-0.000845,0.000535,0.005207,0.000509,0.000719,0.000585,-0.00025,-0.000825,0.001125,0.000446,-0.000467,0.000121
643.5,0.00095,0.000227,0.000105,0.001707,0.003755,0.004907,0.00126,-0.000848,0.000327,0.001088,-0.000096,0.001187,0.00192,-0.000824,-0.000003
643,0.000347,0.000455,-0.001959,-0.00072,0.004273,0.005235,0.002428,-0.000085,-0.000427,-0.000523,0.00008,0.002104,0.000815,-0.00028,0.001435
642.5,-0.001142,0.00101,0.001362,-0.001588,0.002775,0.003056,-0.000618,-0.000483,-0.001007,-0.0012,-0.000937,0.000624,0.001227,-0.000911,0.000932
642,-0.000577,0.000904,-0.000466,-0.000849,0.002874,0.003795,0.000262,0.001109,0.001034,0.000607,-0.000728,0.001269,0.002176,0.000578,0.002
641.5,0.000337,-0.001545,-0.00063,-0.002349,0.001783,0.001393,-0.001729,0.000582,-0.000802,-0.00048,-0.001629,0.000428,-0.000138,0.000224,0.000593
641,0.001545,0.00268,0.00013,-0.001905,0.002188,0.002926,-0.001213,-0.000228,-0.000752,-0.002112,-0.000657,-0.001198,-0.000617,-0.000604,-0.000205
640.5,0.000864,0.000518,0.002027,0.00097,0.002418,0.001979,-0.001885,-0.001654,-0.000637,-0.001188,-0.001149,-0.00023,0.000782,-0.001038,-0.00088
640,0.001258,0.000248,0.000139,0.00002,0.002921,0.003785,-0.000049,-0.002245,-0.000131,0.000688,-0.000855,0.001281,0.000137,0.000218,0.000737
639.5,0.001122,0.000086,-0.000844,-0.003223,0.001407,0.005299,0.000486,-0.000899,-0.002323,-0.001869,-0.002646,0.0002,-0.002032,-0.000682,0.000566
639,0.000221,0.000931,0.001297,0.000792,0.004845,0.005659,0.000295,0.00123,-0.000589,-0.000241,-0.000166,0.000259,0.000359,-0.001011,-0.000011
638.5,0.000641,0.000882,-0.003873,0.001093,0.003666,0.004422,-0.001032,-0.0008,0.00032,0.000985,-0.000443,0.000124,-0.000161,0.000261,0.00225
638,-0.000229,-0.000102,0.00066,-0.002382,0.002678,0.002237,-0.000932,-0.000054,-0.000252,0.001249,0.000682,-0.000687,0.001179,0.000154,-0.000252
