TITLE,F526
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/29
TIME,12:00:53
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   408.83810
MAXY,   658.84222
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,408.838,401.886,479.85,579.142,651.229,799.932,961.923,1166.93,1475.61,1765.49,2116.28,2429.85,2981.56,4248.52,6609.28,8818.13,8652.16,6322.91,3592.33,1875.02,1043.09,622.969,438.249,343.561,304.034,337.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,433.324,434.643,490.954,585.669,662.489,805.674,955.719,1164.15,1426.53,1721.32,2060.57,2310.23,2686.7,3297.1,4765.44,7111.57,8685.54,7920.26,5105.35,2516.04,1153.76,639.738,417.219,343.464,283.017,264.11,314.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,443.075,463.897,514.904,576.945,678.383,817.255,960.893,1154.66,1392.16,1658.18,1970.71,2249.12,2518.26,2891.56,3470.88,4966.4,7185.75,8438.54,6905.82,3909.19,1699.49,739.407,421.91,338.707,272.135,251.432,251.706,298.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,458.408,474.531,530.186,579.076,639.482,807.434,944.044,1144.05,1356.22,1572,1857.25,2143.61,2389.25,2673.33,2882.8,3454.75,4929.47,7187.52,7660.97,5741.47,2963.47,1212.61,503.633,338.603,275.985,249.596,236.84,238.985,287.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,455.057,492.902,486.781,585.399,640.37,767.771,938.827,1108.94,1291.95,1471.52,1750.78,2004.82,2237.23,2484.23,2609.34,2742.26,3320.9,5095.86,6870.33,6828.65,4659.02,2283.2,833.898,393.507,271.736,245.937,227.839,218.92,216.879,275.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,450.41,499.748,487.311,575.317,646.077,745.282,906.68,1049.89,1225.87,1353.37,1670.55,1856.32,2064.2,2224.19,2390.78,2379.09,2461.78,3227.96,4938.04,6435.14,5978.89,3912.49,1760.74,665.159,307.115,240.315,228.606,212.005,200.251,205.502,268.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,474.694,491.426,488.244,574.093,646.665,716.464,866.903,1002.58,1167.13,1326.12,1539.41,1718.07,1889.34,2065.34,2204.07,2142.59,2102.51,2277.94,3119.39,4712.17,5989.01,5294.3,3189.98,1403.23,508.902,272.799,225.528,209.926,194.756,187.736,202.553,250.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,459.743,472.839,486.364,570.719,609.722,677.556,807.392,922.379,1089.05,1289.39,1421.57,1610.13,1726.68,1937.75,2005.74,1948.56,1887.66,1871.8,2003.93,2862.16,4525.19,5585.66,4643.38,2708.66,1077.53,411.959,233.715,214.777,190.455,187.946,184.17,187.613,247.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,452.432,469.81,479.072,542.88,571.808,663.756,770.861,889.809,1010.4,1186.33,1298.74,1476.83,1615.83,1762.4,1842.29,1781.78,1687.94,1610.38,1504.57,1642.35,2699.92,4494.54,5207.19,4148.04,2203.65,845.03,330.875,218.712,187.546,188.215,182.976,163.167,181.139,237.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
