TITLE,F540
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/29
TIME,14:01:51
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   654.32654
MAXY,   802.62347
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,654.327,746.469,912.873,1054.69,1311.14,1649.7,2076.25,2556.33,3126.91,3796.72,4638.34,5374.37,6405.94,8061.75,10000,10000,10000,9841.47,6403.57,3948.51,2219.79,1243.43,708.71,506.445,409.364,427.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,703.488,786.519,949.651,1121.06,1265.01,1615.24,2059.43,2493.07,3012.76,3702.6,4453.44,5158.55,5970.27,6952.71,8547.03,10000,10000,10000,7920.59,4542.69,2314.46,1237.99,706.768,516.919,405.372,336.559,378.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,758.526,798.355,943.928,1089.83,1219.46,1607.38,1965.9,2384.08,2893.25,3505.76,4270.45,4921.79,5578.56,6331.06,7105.72,8389.1,10000,10000,9658.96,5880.5,2821.04,1319.4,726.232,515.027,410.438,323.109,300.786,347.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,796.804,806.843,941.827,1081.26,1229.82,1573.63,1896.96,2229.9,2742.68,3336.74,4011.5,4652.88,5248.62,5883.26,6255.14,6690.19,8136.55,10000,9983.76,7649.47,4092.52,1762.06,825.737,512.196,410.485,331.463,288.075,278.775,339.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,792.668,786.577,919.892,1033.72,1171.92,1490.49,1790.86,2178.24,2624.54,3138.07,3769.03,4320.19,4949.65,5456.05,5722,5774.98,6275.64,7850.22,9375.82,8697.49,5869.24,2834.07,1191.43,591.889,407.62,344.624,301.156,263.291,272.277,337.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,802.623,820.975,888.823,988.135,1133.86,1415.72,1675.41,2061.08,2449.4,2905.92,3449.89,3921.84,4523.23,4987.27,5231.82,5147.24,5164.41,5823.19,7202.87,8151.8,7161.94,4528.21,2131.9,897.23,468.972,350.948,305.869,264.063,253.686,263.34,316.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,763.56,817.995,860.046,1012.06,1143.34,1350.01,1555.38,1938.96,2289.04,2698.48,3152.74,3601.31,4066.62,4595.82,4790.05,4671.38,4595.13,4644.03,5090.36,6202.17,7055.5,5984.04,3640.65,1658.91,697.182,395.276,308.575,275.053,257.034,243.599,248.318,303.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,753.552,824.347,836.306,989.66,1119.05,1269.67,1430,1770.27,2164.72,2479.59,2932.61,3291.24,3690.35,4152.52,4336.58,4251.61,4116.01,4014.57,3781.66,4152.68,5492.24,6206.52,5135.6,3001.64,1304.65,561.818,329.712,279.243,263.63,244.993,227.044,230.017,287.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,748.962,792.107,823.998,909.956,1055.5,1206.7,1371.19,1628.22,1957.88,2303.99,2694.98,3013.6,3373.38,3735.38,3912.81,3862.88,3725.17,3557.85,3105.02,2870.85,3553.1,5012.67,5642.88,4493.76,2444.15,1044.23,440.609,292.654,269.612,243.17,223.981,202.447,213.586,270.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
