TITLE,F535
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/29
TIME,13:45:55
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   397.49023
MAXY,   673.43298
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,397.49,437.1,487.185,565.992,664.122,740.326,1015.79,1138.63,1440.82,1789.88,2124.93,2495.61,3039.56,4364.91,6813.65,9216.12,9037.64,6584.41,3775.2,2041.16,1141.02,701.395,483.955,366.546,338.206,387.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,416.177,454.883,508.294,574.255,673.156,733.808,967.157,1140.06,1389.51,1713.3,2068.23,2336.38,2745.99,3417.35,4857.58,7326.62,9042.96,8239.22,5319.24,2728.8,1281.51,714.76,477.657,361.097,311.171,283.737,361.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,443.963,462.071,496.658,586.645,661.9,728.723,916.058,1141.57,1365.6,1624.74,1981.28,2187.05,2578.36,2928.81,3571.73,5033.53,7429.03,8773.49,7174.51,4151.87,1829.52,811.347,477.191,363.916,317.616,263.656,258.202,320.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,467.805,452.494,508.664,571.877,655.199,760.882,900.987,1122.79,1315.15,1561.68,1851.82,2073.19,2407.21,2706.32,3017.79,3524.19,5152.7,7461.85,8000.19,6019.05,3154.44,1268.72,552.461,352.944,307.082,268.074,241.605,245.957,309.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,457.27,451.25,478.861,550.411,636.784,759.617,897.037,1056.96,1253.01,1472.44,1747.49,1955.57,2232.39,2529.63,2699.84,2795.01,3438.74,5276.13,7169.94,7166.69,4902.4,2372.52,898.766,406.377,295.544,268.003,244.27,227.438,232.818,302.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,460.882,443.024,474.164,527.701,603.617,706.727,856.6,967.844,1223.81,1392.98,1622.06,1842.86,2040.64,2291.08,2446.81,2410.03,2550.41,3372.44,5130.55,6651.95,6245.9,4068.67,1877.2,706.848,346.289,256.297,236.421,216.916,211.542,216.582,284.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,471.252,452.597,489.942,530.737,589.803,662.542,805.523,912.986,1149.3,1300.76,1517.08,1696.18,1896.31,2112.26,2238.31,2221.35,2159.27,2351.41,3191.3,4835.13,6173.61,5483.82,3387.86,1478.93,558.99,281.218,229.584,214.301,203.029,202.767,204.197,274.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,472.232,463.874,487.212,490.892,581.997,632.091,753.058,868.942,1078.77,1232.04,1389.58,1555.37,1790.24,1943.38,2015.93,2044.68,1952.56,1898.83,2066.28,2919.88,4755.79,5754.07,4853.01,2811.69,1152.33,434.459,242.693,219.216,195.214,194.418,179.39,199.969,264.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,464.041,463.585,480.278,483.9,568.827,624.199,690.819,844.581,990.585,1140.22,1292.42,1442.07,1636.62,1754.26,1824.61,1855.9,1762.69,1701.88,1586.54,1712.1,2884.62,4606.17,5385.5,4267.82,2271.81,888.486,344.117,227.43,191.414,182.308,172.713,177.734,185.533,249.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,463.775,452.832,453.723,494.187,575.727,601.717,657.473,785.385,912.261,1024.72,1203.86,1332.11,1476.55,1581.6,1656.78,1667.35,1591.61,1546.87,1345.46,1188.72,1495.79,2785.66,4548.4,5030.55,3713.23,1865.91,687.535,300.323,191.363,173.174,170.336,169.798,159.976,174.574,239.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,445.722,452.226,434.695,494.64,562.902,557.747,610.124,720.517,858.302,954.942,1086.64,1202.72,1339.25,1420.38,1480.73,1504.22,1412.86,1393.63,1216.76,1011.4,921.438,1411.51,2935.19,4440.92,4647.78,3145.87,1455.83,576.238,230.57,176.648,163.66,161.738,154.991,152.122,168.341,221.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,427.775,476.409,460.312,465.647,527.957,529.714,589.667,658.318,782.646,893.756,1003.25,1098.6,1226.45,1292.12,1373.29,1374.17,1281.65,1242.4,1097.36,917.634,740.122,778.812,1537.21,2991.28,4419.66,4132.68,2596.66,1237.28,401.56,204.758,161.779,154.564,146.216,148.206,151.619,161.14,219.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,446.159,463.143,433.183,436.98,480.498,506.766,587.077,616.175,717.855,801.618,926.271,995.029,1131.54,1187.72,1282.21,1245.07,1190.36,1125.89,996.083,846.614,666.513,564.732,772.428,1579.94,3182.3,4197.71,3654.36,2257.93,864.071,327.978,173.362,153.951,148.691,146.155,142.354,141.898,161.956,200.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,427.739,438.631,412.73,420.366,456.893,503.262,551.394,588.385,695.71,752.906,832.032,900.664,1007.6,1104.16,1174.73,1133.63,1069.76,1023.73,913.722,769.705,611.61,503.203,515.356,767.86,1752.95,3181.42,3939.08,3271.69,1710.13,680.186,263.333,165.503,149.995,143.141,136.867,136.482,137.31,149.842,199.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
