TITLE,F555
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/29
TIME,16:47:21
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   362.98969
MAXY,   455.27234
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,362.99,427.428,419.915,523.628,615.41,755.187,910.471,1108.57,1326.93,1563.15,1941.85,2248,2765.67,4027.52,6404.35,8605.96,8435.98,6042.29,3396.06,1717.05,969.907,602.696,420.636,351.749,306.613,368.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,375.719,411.949,440.233,554.777,626.901,776.753,933.534,1098.6,1327.99,1554.34,1871.32,2129.69,2477.94,3049.71,4499.38,6870.33,8488.42,7651.27,4852.3,2432.41,1100.18,599.86,411.101,343.53,287.045,282.147,320.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,394.878,412.668,483.201,546.64,662.262,751.98,929.976,1057.12,1298.41,1527.22,1760.45,1995.02,2283.44,2627.1,3172.65,4661.88,6963.92,8162.3,6619.35,3824.13,1633.3,695.582,421.843,335.368,281.434,247.662,245.572,292.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,411.665,430.871,488.54,554.348,632.802,746.841,886.404,1032.97,1221.47,1433.73,1626.5,1871.25,2178.57,2413.85,2616.3,3189.78,4751.42,6879.82,7530.66,5641.97,2916.06,1150.35,503.901,321.514,273.545,238.864,227.256,224.641,289.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,435.329,461.666,480.277,541.244,595.526,709.003,840.357,994.272,1122.47,1337.29,1514.89,1776.55,2082.51,2213.67,2377.64,2460.1,3155.28,4817.05,6850.07,6775.43,4632.92,2195.26,833.772,376.91,269.295,234.204,225.375,204.377,217.72,277.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,445.229,452.242,459.903,500.873,570.306,710.157,807.606,919.092,1048.06,1234.29,1426.81,1687.01,1857.71,2066.52,2180.87,2107.5,2269.48,3030.12,4874.41,6327.19,5962.26,3842.45,1729.3,667.443,308.447,236.1,221.529,206.631,192.946,201.668,258.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,455.272,432.782,458.199,463.93,557.286,655.328,781.033,847.885,995.409,1138.69,1362.99,1541.42,1717.17,1878.43,1938.85,1891.25,1902.44,2087.74,2948.29,4636.36,5915.21,5296.12,3172.79,1382.47,508.797,263.194,211.255,198.167,188.243,176.9,186.587,243.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,441.52,417.797,449.108,464.291,543.314,594.453,721.967,821.663,933.55,1060.05,1250.48,1412.41,1596.19,1698.84,1742.42,1736.81,1700.76,1695.59,1853.94,2762.93,4540.84,5597.17,4608.69,2672.68,1055.1,402.714,210.788,186.728,184.016,172.931,164.022,176.151,243.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,426.061,403.039,465.038,451.355,519.45,560.328,640.913,803.331,861.653,982.849,1148.48,1268.35,1429.73,1526.38,1598.93,1599.55,1542.49,1469.61,1383.19,1541.51,2698.15,4493.99,5189.3,4102.37,2148.06,834.244,296.285,192.55,174.529,172.314,161.267,154.659,173.451,230.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
