TITLE,F556
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/29
TIME,17:01:57
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   753.15936
MAXY,   845.97839
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,753.159,921.139,1087.41,1404.01,1713.21,2240.59,2827.69,3534.44,4414.95,5417.93,6590.83,7630.19,8860.04,10000,10000,10000,10000,10000,8433.05,5186.58,2822.19,1454.02,793.364,528.304,381.019,400.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,785.535,931.59,1086.01,1413.57,1731.35,2200.19,2764.25,3516.59,4266.92,5253.16,6302.54,7344,8356.25,9550.29,10000,10000,10000,10000,9747.21,5661.8,2905.23,1453.42,787.34,531.021,375.807,327.888,344.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,826.024,930.403,1102.35,1388.95,1663.19,2134.63,2666.33,3364.62,4082.92,4909.29,5982.4,6935.67,7878.84,8866.85,9773.72,10000,10000,10000,10000,6865.1,3338.28,1541.06,777.674,530.244,379.749,332.738,283.809,340.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,825.21,915.705,1100.04,1407.19,1659.85,2042.13,2538.59,3165.47,3872.08,4652.36,5641.55,6410.48,7443.8,8276.87,8774.89,9068,10000,10000,10000,8543.17,4495.58,1953.33,868.304,536.437,389.324,339.39,281.046,273.23,340.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,842.041,905.538,1109.35,1344.23,1583.49,1892.23,2365.03,3003.89,3602.98,4339.45,5265.53,5970.37,6866.98,7622.87,7980.52,7998.25,8339.6,9591.46,10000,9535.59,6176.96,2949.01,1228.79,598.688,401.726,346.464,291.571,258.123,269.715,323.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,845.978,902.798,1060.49,1272.09,1477.43,1789.63,2262.41,2779.94,3348.99,4026.82,4834.27,5552.96,6293.04,6857.41,7295.62,7194.66,7060.5,7413.03,8417,8864.75,7415.66,4587.87,2124.12,888.24,460.488,369.311,300.182,273.708,254.767,258.372,320.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,782.575,871.493,1000.88,1178.4,1419.13,1728.44,2108.93,2606.88,3103.96,3716.98,4422.28,5057.32,5765.59,6264.13,6616.56,6524.34,6221.13,6071.08,6210.71,6930.79,7200.23,5997.93,3593.79,1633.84,680.29,410.424,308.458,289.396,267.883,246.959,256.511,303.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,751.512,881.008,959.739,1151.32,1380.42,1610.54,1937.71,2367.2,2875.04,3331.25,4035.69,4538.79,5159.74,5676.38,5998.08,5897.45,5583.05,5216.16,4864.76,4854.68,5718.95,6223.12,5104.64,2929.68,1272.49,562.24,351.99,305.252,270.132,245.491,238.895,241.491,285.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,773.093,848.277,986.164,1100.87,1295.46,1479.1,1809.87,2156.74,2624.63,2993.86,3632.34,4066.67,4603.86,5104.2,5377.63,5249.87,4983.99,4704.57,4069.14,3424.41,3858.98,5130.99,5612.1,4392.01,2362.62,1015.25,466.648,325.6,272.332,244.622,242.992,222.047,224.063,270.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,738.405,823.884,926.789,1030.86,1205.11,1371.12,1672.26,1979.96,2382.2,2681.51,3283.33,3683.73,4108.23,4536.77,4780.71,4648.09,4443.96,4209.75,3527.36,2747.31,2436.84,3339.56,4788.44,5187.35,3755.26,1943.95,802.422,405.604,294.655,253.122,241.516,221.923,202.482,204.902,254.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,693.78,796.452,862.998,946.053,1070.8,1285.15,1537.2,1825.13,2149.92,2465.42,2946.05,3332.73,3728.33,4099.02,4259.62,4114.83,4023.1,3793.24,3146.74,2417.05,1767.39,1964.8,3235.46,4676.6,4684.38,3218.45,1557.32,674,337.059,261.44,246.781,225.001,205.733,189.048,192.077,233.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,691.636,758.758,841.869,927.786,1015.89,1241.75,1402.4,1640.38,1960.78,2276.41,2651.15,2956.96,3334.18,3714.64,3787.91,3714.38,3631.03,3427.79,2879.55,2160.71,1539.44,1267.87,1839.67,3273.95,4540.4,4219.29,2680.7,1329.68,516.631,291.644,262.261,228.834,205.961,190.934,175.655,184.627,220.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
