TITLE,F541b
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/29
TIME,14:36:01
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   542.33044
MAXY,   673.67950
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,542.33,615.334,678.511,863.898,1044.91,1210.21,1545.17,1989.35,2415.68,2925.77,3539.25,4205.53,4962.32,6553.74,9254.15,10000,10000,8508.44,5380.28,3120.23,1801.88,1022.01,661.777,474.91,384.13,406.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,592.501,604.703,716.963,841.05,1034.55,1213.64,1547.18,1940.17,2338.49,2863.08,3407.09,3986.48,4604.51,5494.69,7171.91,9361.71,10000,10000,6796.78,3787.46,1927.28,1059.94,676.654,476.085,373.733,320.41,370.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,654.219,618.328,742.038,812.253,991.43,1243.19,1491.38,1866.85,2314.55,2776.52,3208.98,3770.92,4308.96,4872.81,5729.61,7015.07,9368.71,10000,8533.93,5216.71,2457.58,1150.55,673.273,473.432,372.295,305.236,277.193,336.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,673.396,643.462,723.295,836.42,949.163,1192.64,1440.46,1787.6,2176.57,2602.91,3070.86,3547.46,4056.97,4560.07,4985.44,5444.6,6965.28,9022.25,9300.27,6982.97,3732.62,1599.15,748.271,471.499,370.17,315.912,258.647,255.825,318.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,673.68,666.307,692.701,823.524,915.307,1122.38,1415.77,1704.9,2009.54,2423.58,2868.45,3343.65,3844.4,4225.45,4524.3,4593.28,5142.36,6787.98,8424.82,8016.25,5447.56,2699.7,1111.71,532.636,374.767,311.308,253.195,235.166,238.055,296.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,634.478,652.266,683.204,780.034,906.262,1109.44,1305.57,1615.64,1901.55,2273.74,2705.75,3083.04,3528.27,3824.82,4104.65,4070.56,4082.18,4782.77,6308.73,7451.02,6735.66,4398.71,2046.64,831.696,433.054,310.568,260.346,234.479,214.419,216.609,289.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,635.76,648.543,697.964,757.293,871.255,1073.44,1216,1492.69,1768.15,2110.11,2473.77,2828.7,3182.34,3500.14,3744.61,3661.84,3547.58,3664.23,4282.22,5627.63,6613.29,5802.57,3514.67,1570.49,640.961,339.451,264.467,245.388,212.108,205.55,212.832,285.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,667.751,683.23,696.12,734.836,827.443,977.198,1135.34,1391.54,1631.54,1942.1,2276.7,2615.92,2864.33,3225.31,3435.99,3372.1,3226.13,3135.04,3057.21,3692.24,5098.2,6009.35,4970.59,2864.72,1231.81,486.52,281.812,249.352,213.241,202.448,192.679,211.769,267.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,659.848,696.09,703.003,707.236,782.592,877.096,1085.38,1286.58,1495.25,1779.66,2078.69,2407.93,2617.76,2928.96,3081.48,3072.86,2939.59,2803.13,2496.14,2396.4,3256.86,4846.98,5554.58,4315.89,2353.33,929.121,376.087,256.841,213.688,201.493,184.75,183.09,192.434,258.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
