TITLE,F539
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/29
TIME,13:15:46
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   386.05133
MAXY,   453.86707
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,386.051,398.096,445.501,543.803,668.973,780.124,947.843,1187.31,1438.62,1684.6,2066.54,2446.96,2987.88,4146.65,6585.71,8981.29,8794.57,6334.13,3594.12,1896.64,1013.24,610.315,435.976,334.028,304.615,359.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,403.297,416.595,469.986,534.625,649.485,766.368,932.597,1161.92,1408.1,1648.59,1967.53,2346.68,2675.83,3257.59,4711.05,7240.32,8782.69,7913.36,5102.77,2578.4,1157.13,613.07,430.1,332.031,290.285,280.512,335.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,410.93,445.586,462.6,528.118,626.142,746.364,911.345,1110.9,1363.33,1586.96,1877.17,2184.3,2459.53,2834.03,3410.78,4986.43,7214.93,8452.49,6953.96,3989.79,1723.59,725.026,408.603,330.231,293.949,253.283,251.4,298.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,411.536,441.121,452.691,550.869,623.979,724.836,894.906,1036.28,1297.09,1511.3,1768.19,2017.37,2273.89,2604.23,2808.32,3376.07,4900.29,7194.18,7758.45,5792.68,3017.94,1216.72,483.72,320.863,285.84,240.499,228.046,230.537,294.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,432.012,444.157,463.166,541.747,605.583,704.041,854.159,1006.88,1196.91,1414.11,1633.91,1896.67,2123.09,2387.92,2507.85,2612.92,3229.97,5081.93,6932.96,6916.76,4765.58,2302.67,830.704,369.355,273.897,236.443,224.489,212.619,220.502,289.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,453.867,434.879,441.354,526.555,567.448,682.29,787.871,969.097,1129.86,1311.15,1487.41,1791.73,1959.64,2201.56,2278.29,2252.7,2356.48,3199.99,4925.43,6480.8,6103.9,3958.1,1775.36,665.592,304.081,240.698,222.136,204.811,193.173,206.798,268.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,447.556,429.312,440.348,493.403,546.958,663.076,741.492,888.342,1072.9,1238.29,1379.64,1654.6,1812.75,2014.86,2073.03,2048.42,1975.09,2192.08,2980.61,4718.23,6013.59,5418.68,3251.51,1443.35,517.603,274.996,208.255,197.639,186.71,180.918,196.658,261.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,440.277,415.551,438.506,476.068,511.373,621.16,718.399,849.783,1000.45,1149.75,1296.8,1492.84,1670.5,1832.1,1895.41,1864.23,1771.12,1739.89,1896.87,2815.8,4516.69,5664.64,4723.63,2801.06,1110.28,415.27,214.216,187.514,180.862,178.692,177.946,199.335,245.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,413.736,411.493,431.88,471.553,487.08,592.527,662.369,771.109,884.411,1047.41,1219.81,1356.62,1499.24,1657.07,1704.41,1679.27,1592.22,1506.05,1428.16,1591.49,2705.13,4521.11,5271.63,4240.29,2237.17,866.858,325.004,203.697,176.656,175.278,169.876,171.432,171.485,231.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
