TITLE,F610
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/29
TIME,15:26:51
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   275.47595
MAXY,   530.24487
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,275.476,314.444,292.881,354.273,405.667,431.484,501.716,619.149,692.593,832.826,975.682,1138.85,1505.61,2633.8,5041.55,7317.38,7219.08,4951.73,2492.09,1156.38,674.654,492.301,376.816,338.07,308.121,394.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,301.758,302.351,309.931,356.588,415.846,454.159,526.339,614.439,703.651,811.372,959.64,1096.25,1308.96,1777.14,3160.93,5590.74,7348.3,6567.7,4052.64,1857.28,824.697,499.27,363.984,333.267,294.391,295.803,368.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,349.268,336.406,339.203,378.463,425.821,475.274,531.062,616.329,706.319,790.123,957.654,1061.68,1215.93,1412.87,1951.43,3497.65,5888.7,7170.5,5891.86,3291.89,1364.15,598.009,377.657,335.856,289.982,272.439,271.046,325.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,364.443,336.553,378.432,404.858,418.764,467.169,535.186,602.168,683.516,787.734,925.341,1029.58,1154.46,1262.8,1496.73,2071.85,3777.6,6000.18,6778.9,5175.37,2635.08,1053.93,470.872,341.234,296.85,266.397,251.885,257.126,327.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,345.192,347.097,382.545,399.661,423.68,473.045,548.475,608.147,654.42,783.934,892.883,975.451,1101.49,1180.72,1312.11,1444.91,2224.03,4005.8,6060.48,6332.34,4418.64,2130.46,820.115,386.729,306.503,267.623,244.069,235.822,239.5,306.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,341.753,356.959,356.895,386.792,419.705,490.972,533.393,607.075,667.575,738.806,852.722,924.902,1029.13,1132.77,1189.22,1228.59,1421.5,2254.95,4180.07,5982.48,5790.96,3759.48,1734.97,671.816,342.136,264.477,240.004,230.02,210.302,217.345,295.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,330.569,384.374,350.325,391.302,425.924,496.123,536.019,606.315,653.497,705.979,797.134,862.56,984.992,1064.16,1104,1105.8,1133.01,1396.36,2387.27,4309.73,5809.64,5184.57,3164.36,1395.15,535.666,285.652,242.878,224.316,208.428,193.698,217.67,284.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,366.469,362.788,379.109,394.277,427.121,472.227,532.168,573.545,633.353,710.604,770.945,818.492,908.889,1002.49,1033.98,1026.43,1013.11,1054.32,1357.43,2485.43,4420.27,5476.5,4649.45,2666.95,1118.09,418.005,263.893,221.519,209.274,199.249,189.568,197.515,283.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,364.002,361.318,384.246,415.134,431.391,435.131,507.459,581.317,614.558,694.003,749.43,785.462,839.132,905.802,967.433,959.668,942.364,916.216,954.726,1310.67,2604.63,4407.54,5237.03,4111.35,2214.78,822.582,349.853,234.115,212.595,200.202,187.176,176.286,197.818,261.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
