TITLE,F597
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/30
TIME,16:32:46
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   346.05966
MAXY,   490.86835
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,346.06,376.135,443.956,534.89,586.621,701.449,854.04,957.278,1246.52,1457.7,1686.92,2073.47,2516.01,3725.61,6139.15,8360.14,8125.99,5687.94,3205.24,1694.66,949.447,635.233,465.611,371.854,346.63,414.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,389.747,402.774,455.251,527.239,592.736,709.85,902.914,970.987,1187.2,1396.45,1639.4,1967.19,2257.58,2793.04,4275.24,6669.7,8308.71,7358.95,4684.92,2273.18,1077.3,637.211,458.231,366.116,331.718,315.486,384.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,412.979,405.654,468.474,516,583.798,686.909,872.331,993.65,1148.23,1328.79,1604.44,1816.56,2068.87,2379.24,3017.12,4528.63,6852.37,7982.63,6477.11,3655.61,1582.33,725.089,448.482,367.34,322.452,283.955,271.949,352.277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,423.163,418.243,475.605,494.857,572.612,673.818,820.573,965.6,1134.03,1303.43,1546.64,1737.4,1915.82,2173.4,2514.05,3037.23,4604.62,6806.79,7383.64,5507.66,2847.94,1149.16,529.69,366.826,311.717,271.547,243.618,265.178,346.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,416.903,429.199,489.257,473.488,563.479,682.752,804.806,919.124,1078.39,1259.36,1479.98,1650.97,1796.11,2005.63,2204.1,2334.76,2938.61,4771.38,6664.24,6665.43,4558.35,2139.68,848.032,421.497,324.027,278.023,241.46,233.612,247.056,341.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,410.6,458.103,494.038,491.245,572.219,680.529,781.615,882.426,1021.83,1197.35,1382.8,1540.46,1658.19,1867.44,1997.83,2032.97,2131.25,2945.19,4761.83,6255.33,5925.9,3787.27,1728.84,699.293,367.448,291.834,248.957,235.599,220.277,245.388,323.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,437.855,473.183,471.65,503.624,577.502,643.922,767.127,830.369,949.173,1100.04,1288.45,1450.02,1543.84,1724.17,1829.06,1857.33,1818.43,1994.87,2927.17,4602.68,5937.33,5247.99,3123.08,1428.12,539.644,327.497,260.427,236.939,220.835,218.168,220.297,308.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,460.904,459.877,470.452,484.993,579.135,622.794,713.717,797.008,901.643,1037.18,1190.09,1341.13,1467.85,1621.22,1731.48,1636.94,1626.66,1617.5,1818,2771.35,4577.14,5584.86,4549.46,2693.36,1090.15,452.999,279.939,236.811,222.611,208.863,199.251,215.244,291.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,448.192,449.974,486.144,485.518,540.443,601.733,667.298,748.544,843.281,969.536,1086.19,1216.93,1339.16,1486.89,1587.15,1487.35,1483.22,1436.06,1339.33,1601.34,2780.17,4544.13,5182.12,4114.82,2165.88,867.324,367.264,243.289,218.167,201.736,190.76,191.996,200.191,279.658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
