TITLE,F558
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/30
TIME,13:51:45
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   553.47839
MAXY,   703.73993
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,553.478,621.632,715.244,838.811,1051.45,1330.77,1623.87,2073.6,2495.18,3040.14,3700.38,4308.19,5099.6,6592.75,9126.08,10000,10000,8338.87,5310.89,3117.92,1736.06,970.699,588.089,425.084,351.543,385.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,565.531,659.106,744.367,845.388,1096.79,1322.16,1590.63,2003.72,2442.59,2979.52,3552.08,4085.17,4694.47,5613.41,7207.17,9347.77,10000,9813.76,6680.13,3653,1853.31,980.068,583.901,426.872,333.366,306.737,350.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,585.877,662.679,745.807,871.51,1067.4,1289.58,1555.29,1959.54,2324.75,2865.91,3349.81,3885.66,4439.31,5005.45,5763.12,7037.94,9254.53,10000,8368.82,4973,2343.81,1054.46,593.502,431.885,344.146,299.247,273.931,315.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,624.584,643.297,754.269,887.827,1025.79,1228.81,1516.38,1890.71,2222.54,2776.68,3104.94,3694.94,4181.85,4615.02,5047.82,5433.27,6926.17,8964.26,9173.06,6729.89,3515.83,1513.94,659.019,448.091,346.378,306.345,257.098,261.177,318.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,635.688,631.897,733.215,860.42,999.251,1171.83,1438.74,1741.4,2119.17,2586.25,2942.15,3447.04,3840.69,4272.19,4627.85,4608.12,5136.14,6762.7,8322.68,7832.91,5157.21,2565.89,986.206,496.502,345.826,302.433,264.453,249.114,250.217,305.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,616.464,640.834,726.225,821.579,972.418,1114.46,1349.25,1647.71,1992.89,2327.39,2780.88,3167.64,3482.28,3902.21,4184.85,4098.78,4115.35,4834.12,6238.65,7372.41,6479.02,4175.65,1912.27,784.964,405.586,307.336,271.552,256.555,230.245,228.124,293.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,648.18,673.336,722.175,794.844,940.194,1069.37,1289.64,1523.85,1833.95,2138.78,2570.42,2884.34,3201.3,3576.45,3799.92,3735.66,3642.33,3749.44,4284.21,5584.47,6440.6,5523.29,3343.29,1494.25,610.271,343.303,276.493,245.055,231.483,217.9,230.876,281.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,673.646,673.167,692.891,780.646,880.934,1013.23,1212.52,1424.45,1676.68,1984.82,2350.42,2639.76,2920.46,3298.24,3475.61,3406.23,3332.39,3193.39,3097.03,3616.04,5015.02,5788.96,4761.1,2735.5,1170.26,494.939,295.754,251.485,237.62,226.047,214.863,216.826,261.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,668.699,650.218,699.416,773.724,831.88,955.038,1136.69,1341.23,1547.1,1837.54,2109.15,2427.42,2669.84,2977.58,3133.88,3074.19,3015.88,2832.03,2501.36,2342.27,3188.52,4713.32,5377.31,4164.04,2243.21,936.172,398.104,273.91,240.663,229.834,211.19,194.343,200.198,250.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,639.46,623.394,700.278,738.417,800.754,899.582,1096.07,1235.77,1433.96,1691.79,1909.69,2169.55,2424.87,2693.12,2774.68,2795.5,2669.19,2506.33,2130.73,1730.13,1839.71,2977.21,4618.73,4972.33,3626.51,1858.36,728.481,352.398,248.966,225.208,207.824,192.863,182.361,186.027,238.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,607.646,639.401,687.073,701.389,789.341,842.691,1037.94,1138.29,1319.37,1547.56,1761.32,1960.37,2230.87,2460.65,2482.86,2516.16,2380.45,2235.07,1890.34,1487.38,1251.48,1654.33,3015.78,4464.09,4486.75,3086.24,1446.29,612.288,285.024,225.761,203.743,191.241,175.694,169.209,180.815,222.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,625.836,626.812,647.917,674.466,762.994,832.356,987.457,1074.53,1207.54,1407.35,1588.52,1744.42,2008.6,2173.31,2234.13,2246.38,2146.52,1977.93,1725.32,1354.66,1057.02,1015.29,1647.92,3079.88,4308.29,4055.26,2536.75,1228.3,447.294,251.477,213.553,194.869,179.225,174.11,161.008,169.151,211.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,616.076,602.197,606.194,667.799,724.078,793.089,890.245,1007.13,1128.45,1272.61,1459.49,1598.13,1813.54,1913.34,2044.7,2029.35,1954.62,1823.48,1620.61,1262.28,957.711,803.78,943.828,1731.91,3193.85,4115.64,3573.6,2202.79,899.933,369.43,235.68,197.295,179.125,176.281,157.061,158.642,165.761,205.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
