TITLE,F572
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/30
TIME,14:31:50
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   441.57349
MAXY,   609.08777
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,441.573,511.41,594.038,799.951,899.908,1091.96,1426.99,1745.41,2118.49,2679.64,3110.67,3688.46,4397.97,5760.53,8279.61,10000,10000,7438.27,4543.68,2576.06,1422.52,828.94,534.688,393.417,340.152,386.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,504.882,569.742,611.155,739.725,938.625,1124.17,1359.86,1729.36,2050.83,2582.5,3020.3,3493.67,4114.48,4789.07,6310.95,8530.15,10000,8954.88,5927.56,3172.34,1539.73,828.086,527.201,398.829,333.287,303.676,356.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,514.242,564.558,619.88,752.147,941.332,1118.31,1347.09,1688.45,2020.55,2460.93,2926.78,3279.81,3815.98,4279.11,4925.68,6260.94,8520.97,9457.13,7654.67,4526,2032.52,922.342,524.373,410.889,333.304,284.102,278.183,329.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,512.196,560.817,599.127,729.057,887.334,1095.98,1361.54,1616.61,1999.78,2272.33,2742.8,3087.19,3572.6,3951.7,4229.39,4689.73,6209.25,8239.4,8468.61,6317.71,3267.46,1379.56,596.369,416.676,324.255,293.062,261.193,263.382,324.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,520.073,576.288,596.927,715.906,865.547,1054.52,1306.56,1546.65,1864.26,2149.82,2569.06,2880.95,3317.3,3640.5,3841.21,3870.01,4508.72,6093.99,7689.6,7377.61,4984.19,2393.73,929.845,478.694,338.544,291.869,260.318,242.435,245.022,308.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,534.333,569.656,611.891,696.749,844.197,1007.72,1226.89,1449.83,1771.92,2038.2,2359.94,2682.12,3023.83,3317.92,3506.44,3457.6,3513.89,4170.55,5739.82,6934.78,6312.42,4016.83,1859.62,747.596,392.271,297.832,266.212,242.031,224.126,237.041,313.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,544.602,584.357,625.737,661.256,807.736,934.043,1141.53,1344.64,1648.23,1905.25,2164.52,2504.28,2786.74,3067.56,3199.55,3135.06,3077.95,3128.02,3813.76,5217.73,6252.09,5467.83,3295.6,1462.53,595.011,337.029,276.091,243.841,223.247,220.187,239.732,288.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,553.687,578.749,613.131,670.698,773.617,891.973,1084,1267.46,1511.41,1731.74,1996.21,2297.65,2538.12,2812.44,2917.13,2819.66,2761.77,2618.1,2651.03,3324.45,4844.34,5742.94,4783.31,2735.98,1143.86,478.763,293.813,243.581,231.49,222.487,212.256,225.194,286.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,530.607,534.97,594.627,669.398,751.442,868.17,1024.34,1187.22,1373.61,1592.99,1817.33,2094.05,2273.82,2507.91,2634.19,2533.86,2465.4,2326.07,2097.59,2099.56,3066.41,4660.38,5365.61,4161.48,2204.51,916.278,386.986,261.702,232.805,223.381,205.534,204.536,212.104,253.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
