TITLE,F543
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/30
TIME,11:59:09
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   524.72620
MAXY,   670.73828
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,524.726,562.384,680.393,824.581,1008.96,1228.17,1568.13,1937.03,2460.3,2955.08,3629.3,4154.09,5010.09,6571.08,8974.99,10000,10000,8262.57,5239.04,3027.6,1680.04,944.874,591.776,411.569,341.332,363.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,559.563,597.663,646.567,795.221,1005.08,1238.08,1532.19,1887.44,2410.88,2863.45,3469.39,4025.96,4603.83,5514.72,7033.17,9212.63,10000,9792.91,6628.02,3642.74,1791.55,969.987,587.621,414.1,326.483,284.9,330.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,556.208,603.209,657.611,795.772,994.263,1199.25,1492.33,1879.58,2276.43,2732.87,3303.74,3850.76,4293.07,4926.36,5629.53,6917.21,9218.5,10000,8264.99,4964.07,2291.91,1036.76,574.704,418.867,320.784,269.661,251.901,301.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,538.911,567.817,661.774,772.559,954.708,1166.89,1429.24,1765.12,2138.77,2603.48,3075.87,3602.94,4012.07,4522.67,4927.52,5354.1,6872.84,8852.22,9053.55,6692.38,3491.79,1466.17,650.327,415.658,328.228,271.897,236.739,239.978,310.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,553.27,590.321,657.676,752.184,907.361,1125.31,1339.17,1670.64,2039.17,2417.34,2877.65,3331.3,3771.73,4171.14,4443.76,4516.58,5082.53,6645.61,8225.7,7731.62,5151.93,2468.64,993.672,462.686,324.291,273.874,235.754,220.04,230.833,286.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,574.925,580.451,624.493,731.176,869.014,1051,1226.94,1578.18,1867.42,2239.94,2624.51,3012.16,3442.54,3827.29,3985.26,4004.6,4012.73,4684.23,6111.02,7214.39,6403.32,4061.13,1908.71,745.8,360.625,275.23,238.673,214.949,203.643,217.981,262.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,560.615,558.087,622.815,699.077,815.902,1020.57,1160.51,1454.21,1745.01,2096.23,2378.65,2756.1,3161.55,3513.15,3625.09,3618.76,3505.82,3577.74,4154.85,5423.91,6276.22,5464.66,3318.92,1453.61,548.398,302.906,234.516,205.839,195.848,195.53,195.83,256.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,553.749,534.649,606.746,699.792,773.792,959.066,1105.23,1336.07,1650.18,1911.43,2210.74,2539.56,2868.16,3190.5,3308.56,3278.15,3169.56,3056.02,2967.77,3520.95,4851.14,5749.44,4743.48,2731.11,1101.87,435.97,244.169,204.017,188.815,186.383,180.53,191.431,246.872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,542.203,558.811,571.231,648.115,754.915,899.74,1037.44,1228.22,1505.13,1714.26,2010.33,2330.68,2602.14,2870.9,3020.12,2926.41,2823.21,2721.78,2417.85,2251.34,3069.62,4623.38,5246.37,4160.06,2175.05,867.514,335.083,212.384,193.175,183.885,176.643,172.68,182.688,237.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
