TITLE,F599
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/30
TIME,16:19:24
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   737.97858
MAXY,  1721.76660
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,737.979,701.273,756.859,842.579,950.263,1081.36,1249,1507.36,1704.45,2055.04,2430.62,2762.35,3373.72,4629.44,6952.56,9128.65,8915.19,6578.6,3874.47,2229.97,1306.15,854.905,616.414,474.378,420.776,462.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,788.785,760.414,798.704,901.611,1015.68,1176.8,1295.17,1599.2,1774.76,2076.04,2407.02,2741.17,3117.12,3809.67,5113.54,7457.28,9102.16,8251,5356.01,2897.16,1482.28,908.272,647.325,502.802,434.926,398.047,428.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,865.954,841.429,872.828,934.57,1060.93,1227.41,1353.47,1580.88,1831.22,2146.73,2344.08,2698.61,3033.55,3402.08,3926.51,5421.51,7759.28,8871.8,7239.13,4309.4,2050.59,1062.13,691.505,544.974,458.926,392.237,350.983,380.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,908.988,903.152,921.438,978.596,1063.53,1244.24,1404.36,1561.75,1868.59,2091.99,2293.97,2630.46,2923.93,3179.7,3450.74,3928.81,5596.94,7621.66,8167.29,6157.41,3366.41,1546.14,843.22,593.81,513.208,425.046,368.858,342.781,401.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,919.106,935.67,940.494,1025.76,1094.58,1257.39,1425.65,1582.35,1841.09,1998.35,2258.23,2542.62,2774.54,3048.45,3187.21,3272.06,3950.83,5606.23,7408.57,7264.17,5096.82,2607.51,1234.36,703.487,559.759,472.476,402.873,354.908,337.724,407.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,941.238,954.234,975.715,1029.12,1157.78,1301.59,1417.37,1608.1,1859.76,1954.7,2205.41,2422.12,2655.33,2905.73,2979.59,3002.74,3100.09,3895.42,5490.41,6899.33,6459.24,4272.69,2175.87,1035.95,627.637,516.238,440.723,386.624,340.377,339.753,391.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,992.204,963.222,993.389,1070.89,1182.07,1366.6,1441.53,1626.44,1789.17,1943.04,2143.66,2334.46,2490.56,2760.52,2796.52,2822.09,2771.45,2901.74,3700.97,5277.78,6465.13,5771.34,3661.27,1788.72,859.822,574.802,464.109,420.268,373.098,333.248,332.15,376.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,1034.54,975.041,1040.95,1123.79,1201.47,1385.02,1488.86,1653.84,1725.28,1899.01,2069.95,2213.24,2359.8,2618.65,2636.81,2647.9,2576.09,2548.9,2687.17,3516.14,5175.15,6141.64,5123.85,3073.13,1465.68,753.411,511.758,452.089,393.98,354.54,335.762,319.073,351.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,1024.73,1001.91,1112.88,1165.94,1211.57,1374.05,1478.29,1640.88,1707.55,1880.51,1993.66,2159.47,2250.03,2470.75,2514.1,2499.32,2398.06,2363.89,2270.44,2328.34,3416.71,5106.23,5784.54,4548.16,2571.03,1205.09,646.96,485.726,424.747,376.425,347.545,302.634,285.639,335.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
