TITLE,F546
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/30
TIME,12:14:46
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   279.32312
MAXY,   443.51965
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,279.323,237.292,283.263,270.26,276.82,330.85,382.524,404.152,481.411,513.945,632.745,709.604,1030.25,2049.49,4426.31,6687.33,6579.44,4338.65,2030.28,910.592,520.495,412.017,354.769,315.791,296.842,357.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,302.585,275.265,302.495,298.394,303.513,351.509,408.884,424.688,490.491,542.022,602.996,713.17,845.59,1257.41,2646.06,5010.47,6750.45,5987.64,3564.64,1573.63,675.155,407.771,349.763,302.622,274.569,274.128,324.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,309.053,291.691,335.058,303.344,322.028,360.435,407.804,441.505,479.649,546.281,604.251,701.594,770.931,917.271,1442.08,2946.18,5362.36,6645.07,5402.47,3007.82,1210.27,522.239,339.702,294.855,279.043,254.413,242.325,298.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,336.193,280.908,328.085,294.846,323.969,369.735,389.008,456.213,490.513,538.232,574.68,656.853,737.903,813.698,995.136,1608.21,3283.97,5545.2,6375.13,4933.76,2464.05,971.434,417.697,300.382,271.341,249.111,228.058,232.177,294.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,346.842,291.972,329.52,313.153,349.646,385.13,407.35,449.165,495.112,538.294,548.123,629.151,698.905,768.36,854.936,1046.74,1773.39,3578.63,5741.55,6097.76,4227.91,2021.67,761.711,353.733,271.661,248.387,231.385,213.812,220.346,286.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,341.452,331.84,342.294,345.691,344.031,390.989,437.727,464.144,490.066,536.205,531.336,630.487,666.156,739.721,794.236,867.062,1071.39,1927.14,3885.45,5725.25,5629.14,3691.29,1680.5,629.007,313.525,245.128,223.671,211.093,198.106,211.231,277.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,372.955,357.817,356.98,345.825,349.263,403.037,430.898,451.328,488.027,529.023,547.143,603.246,672.025,698.154,751.542,777.68,839.289,1098.42,2107.23,4103.3,5612.89,5120.78,3134.98,1342.01,496.513,267.378,219.626,201.017,190.769,187.976,204.504,263.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,397.575,362.891,360.675,321.018,341.994,385.592,425.142,456.36,478.972,509.657,546.838,584.852,640.996,660.237,703.923,711.311,755.252,801.007,1118.75,2299.87,4198.75,5380.43,4576.81,2645.23,1049.95,397.328,229.839,184.705,188.56,177.153,177.192,191.37,239.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,404.129,367.126,363.501,330.751,346.155,359.793,414.541,438.212,460.789,480.805,520.677,572.876,600.563,647.529,653.45,667.853,681.205,699.992,745.639,1142.51,2434.17,4303.57,5130.58,4093.97,2123.6,837.477,317.877,194.271,182.9,173.167,170.234,163.198,175.08,232.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,391.028,375.848,345.352,347.285,362.967,373.981,398.048,413.6,440.025,460.829,508.476,546.327,556.507,614.657,640.136,635.758,648.569,627.299,614.312,695.091,1159.95,2582.56,4387.21,4849.55,3524.83,1758.06,630.675,271.271,184.531,169.007,165.651,158.423,148.05,165.639,218.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,361.013,383.414,325.909,349.106,340.264,392.703,380.2,401.355,428.13,434.884,487.895,530.702,545.15,580.656,603.969,603.488,618.8,567.55,557.934,566.352,651.467,1296.92,2820.62,4304.19,4427.82,2994.75,1349.82,536.593,214.695,161.743,149.647,158.629,144.022,141.406,158.241,202.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,355.582,371.153,325.544,351.411,342.096,372.216,365.193,409.758,413.131,434.923,453.58,535.032,522.955,568.04,576.962,575.397,576.25,550.096,523.538,513.186,491.955,668.895,1429.76,2899.35,4194.86,3966.34,2461.47,1148.29,376.657,179.395,141.411,145.983,136.771,138.434,136.045,143.679,197.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,372.28,356.439,334.875,329.319,353.359,369.347,369.9,403.27,408.305,406.543,441.746,480.66,494.841,548.46,565.191,543.518,540.766,520.382,478.705,482.724,444.341,470.461,693.028,1530.37,3025.51,4003.11,3464.5,2121.94,798.131,295.01,157.702,136.835,130.777,136.531,131.299,124.36,140.355,183.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,375.977,381.871,345.927,321.515,334.68,355.674,365.262,387.53,403.88,396.305,441.781,444.941,461.386,527.28,538.735,523.197,521.896,506.976,468.8,463.87,420.272,416.687,437.543,741.508,1691.08,3042.1,3704.65,3084.82,1585.94,631,235.907,142.805,126.67,131.589,124.152,124.284,124.275,135.832,173.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,376.255,370.241,316.428,312.175,323.896,355.21,350.914,376.317,383.97,377.272,424.675,425.496,441.826,486.94,521.311,515.171,498.811,490.274,461.033,440.206,405.271,390.446,367.336,436.097,782.118,1757.19,2980.81,3437.2,2551.88,1311.56,498.876,204.675,132.2,123.564,115.843,128.283,118.511,114.804,125.056,169.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,382.169,357.528,323.66,312.002,324.622,344.431,339.463,367.479,345.774,372.887,403.154,404.258,441.449,443.014,486.269,488.575,469.244,472.691,459.726,403.678,382.948,378.714,330.939,349.661,435.712,868.24,1874.11,2914.89,3107.68,2161.76,1027.96,390.122,170.024,124.091,114.148,122.656,112.27,104.697,111.006,121.499,155.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
