TITLE,Blank2
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/30
TIME,11:16:45
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,    29.34585
MAXY,    36.54739
MINY,    -8.32996
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,29.3458,29.8293,28.1693,46.1173,43.7884,34.1677,27.7767,28.6315,39.7849,50.1338,66.4541,115.218,336.436,1302.26,3471.54,5733,5729.77,3627.71,1492.29,461.346,208.443,171.326,170.206,194.425,185.005,247.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,34.9831,32.9431,24.8794,50.1441,48.0287,55.7296,40.0491,26.5175,30.3621,41.565,51.5352,70.0298,138.503,503.707,1735.88,4083.62,5836.79,5224.43,3021,1145.8,351.658,171.864,158.409,174.769,165.477,175.832,239.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,36.5474,31.5397,25.7027,46.6308,41.7468,61.3237,42.9232,29.1622,31.4019,34.2411,39.963,52.7,81.0011,197.38,625.588,2061,4499.3,5815.5,4823.41,2539.88,881.921,278.607,149.062,150.822,157.681,158.644,171.924,224.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,31.5632,35.8513,25.6395,28.6845,32.5044,54.3999,47.1851,35.2379,37.0017,35.167,32.5111,45.24,60.587,110.988,234.963,796.547,2496.32,4721.32,5698.79,4378.91,2169.18,753.075,224.538,133.951,139.84,148.143,140.446,161.773,231.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,23.471,31.4063,24.0496,25.4132,29.6705,48.3114,46.9484,45.8856,44.9342,33.5718,32.0441,45.6483,49.4654,78.1008,123.265,291.108,1040.36,2875.04,4999.94,5506.27,3858.22,1806.97,563.951,191.226,121.761,130.904,128.785,137.396,167.565,217.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,28.2871,23.7598,30.7049,27.0734,34.6818,38.886,37.5706,47.8555,48.7694,35.5018,33.0111,42.7429,52.3932,65.3648,86.6295,133.811,360.236,1217.62,3157.24,5049.56,5151.94,3390.89,1473.78,471.208,155.026,115.194,123.885,132.122,141.489,161.563,200.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,32.0891,31.2738,37.0607,30.2526,32.657,35.2282,32.2319,58.0169,41.5754,38.5622,31.8299,38.0308,49.8655,50.0154,66.8211,83.4205,157.805,426.498,1483.17,3454.14,5088.51,4761.9,2886.08,1196.86,354.453,140.278,119.254,122.071,131.443,135.315,147.127,190.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,29.2192,44.6116,30.959,29.128,29.7735,36.2412,26.3426,49.7756,36.4108,33.8324,36.6135,40.8617,47.4756,37.3618,62.3089,68.8831,91.42,167.981,557.827,1745.03,3739.53,4987.73,4288.7,2450.89,911.35,276.989,116.533,104.905,116.155,120.761,124.741,136.128,192.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,16.5972,36.2504,19.0214,32.5522,32.1531,31.3702,22.4782,27.7804,36.048,41.9841,44.9192,46.7086,38.3303,37.9956,52.9363,58.3426,72.7889,99.7975,204.241,668.177,2009.09,3906.13,4823.32,3809.91,1964.65,726.861,202.771,108.291,97.8122,112.861,111.936,115.514,128.18,188.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
