TITLE,F581
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/30
TIME,16:04:05
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,  1223.47925
MAXY,  1223.47925
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,1223.48,1492.52,1930.48,2468.02,3010.18,4060.19,5134.3,6569.5,8182.7,9985.34,10000,10000,10000,10000,10000,10000,10000,10000,10000,8716.34,4732.24,2340.84,1222.65,703.117,475.593,486.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,1212.47,1495.42,1853.61,2385.34,2955.42,3886.04,4936.28,6309.08,7822.27,9519.44,10000,10000,10000,10000,10000,10000,10000,10000,10000,9038.09,4715.2,2289.41,1207.13,697.124,466.976,373.052,472.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,1196.58,1493.95,1792.7,2283.42,2875.47,3734.68,4756.55,5955.53,7485.6,9078.53,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5071.72,2306.74,1178.1,694.188,477.505,362.131,326.035,375.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,1170.15,1410.27,1701.43,2160.72,2751.24,3556.03,4522.96,5583.06,7001.56,8382.63,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,6079.87,2689.16,1224.95,695.345,477.131,368.234,313.332,301.401,366.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,1139.43,1364.44,1618.24,2030.75,2627.33,3297.08,4200.92,5170.07,6448.1,7677.07,9333.37,10000,10000,10000,10000,10000,10000,10000,10000,10000,7555.75,3679.24,1546.49,764.913,492.297,384.267,318.648,290.644,285.612,325.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,1082.32,1339.12,1538.41,1915.06,2477.96,3073.92,3910.46,4744.56,5989.3,7007.62,8629.32,9903.23,10000,10000,10000,10000,10000,10000,9989.62,9962.21,8671.04,5237.88,2427.58,1037.21,565.616,410.284,341.412,311.152,275.297,263.655,335.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,1057.08,1250.03,1480.74,1821.55,2278.07,2855.93,3639.68,4358.86,5497.27,6475.08,7835.86,9028.86,9959.82,10000,10000,10000,9994.18,9956.81,9701.97,9129.56,8464.26,6527.72,3839.29,1754.91,775.205,465.234,373.182,332.053,288.327,268.947,272.379,323.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,1009.04,1154.23,1406.64,1732.45,2084.19,2621.79,3299.26,4048.85,4964.08,5950.16,7023.11,8119.05,9149.21,9958.25,9977.47,9959.29,9830.74,9085.6,7932.43,6872.31,6863.25,6702.68,5274.88,3024.74,1345.2,625.4,418.115,345.205,302.149,279.282,261.433,258.695,302.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,962.974,1076.41,1343.89,1631.04,1922.88,2384.35,2887.06,3658.64,4423.77,5318.72,6222.92,7222.69,8206.67,9110.46,9493.92,9134.65,8777.67,8079.73,6876.11,5327.54,4836.85,5585.88,5842.82,4435.43,2456.78,1057.41,515.997,370.917,320.049,295.472,258.589,241.266,237.45,304.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
