TITLE,F569
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/31
TIME,14:43:05
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   319.90552
MAXY,   767.62720
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,319.906,301.747,318.27,357.281,412.754,479.131,538.501,639.594,744.598,799.495,901.579,1105.66,1401.42,2383.21,4573.68,6895.11,7213.34,5102.17,2569.3,1240.35,710.714,529.629,428.315,373.833,334.03,365.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,385.343,349.235,356.089,407.19,466.97,521.361,589.764,689.979,739.363,836.217,953.095,1098.95,1245.65,1688.36,2890.86,5130.38,7156.92,6722.22,4239.58,2050.73,910.448,544.417,443.671,390.98,327.585,306.68,344.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,406.7,365.162,408.892,449.746,498.78,540.196,636.993,726.976,751.955,886.738,969.743,1085.8,1221.65,1428.6,1816.93,3175.91,5594.63,7155.63,6086.21,3605.6,1576.59,698.969,464.691,398.361,338.069,308.048,295.085,319.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,416.621,397.951,457.667,466.126,535.875,573.208,666.503,746.441,768.86,873.901,943.78,1089.67,1191,1288.55,1420.22,1917.4,3492.77,5802.01,6857.59,5429.36,2976.33,1257.77,583.112,426.37,352.182,331.361,301.913,272.255,311.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,448.004,441.008,482.215,527.523,554.448,617.255,697.3,755.358,787.631,847.01,895.374,1063.33,1135.57,1202.29,1303.99,1426.49,2046.07,3773.21,5965.96,6394.55,4726.84,2445.5,1004.3,532.388,374.583,351.399,308.958,276.881,256.341,309.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,487.243,476.242,500.075,590.48,545.553,641.134,704.209,761.93,807.437,873.493,903.157,999.615,1092.32,1164.75,1241.64,1296.19,1410.65,2189.28,4086.66,5872.09,5995.98,4157.15,2030.55,892.835,456.376,361.373,312.54,298.178,257.862,266.757,302.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,505.4,503.008,516.048,574.673,570.962,667.05,701.37,790.993,818.421,873.213,909.564,960.433,1063.14,1146.92,1177.49,1230.8,1223.32,1465.01,2391.08,4195.24,5796.55,5476.81,3580.41,1725.34,716.856,411.663,334.242,312.51,271.694,259.849,247.909,290.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,525.345,519.573,526.387,562.345,604.02,691.468,702.789,772.797,820.865,866.561,918.339,946.49,1025.12,1102.72,1130.52,1167.51,1145.69,1216.98,1462.82,2459.58,4269.2,5585.19,5015.03,3077.87,1371.8,609.642,371.213,321.298,278.525,273.397,238.199,239.038,268.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,556.523,515.468,555.025,600.574,652.781,686.66,744.69,771.119,840.223,849.034,858.815,966.149,979.462,1048.24,1075.28,1071.21,1100.92,1124,1117.46,1418.21,2568.6,4367.71,5424.38,4491.24,2553.69,1137.79,494.484,343.629,277.464,271.795,247,223.185,224.411,249.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
