TITLE,Blank1
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/31
TIME,09:54:13
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,    32.08816
MAXY,    40.49939
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,32.0882,30.8866,42.2254,51.5332,55.8297,36.89,27.1634,43.2412,33.6641,33.7444,49.4239,99.3294,275.005,1061.93,3070.35,5491.32,5932.37,3961.34,1683.6,493.928,187.611,151.662,179.28,181.38,192.883,236.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,40.4994,24.9221,38.6154,51.4079,65.6296,47.153,30.8394,36.7327,33.6515,26.8807,39.7087,55.6531,110.706,401.391,1470.83,3702.55,5797.76,5459.84,3281.83,1308.4,374.488,162.127,156.683,160.638,173.96,179.715,222.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,37.3248,16.9599,42.184,38.7398,60.7939,58.813,40.5276,38.6263,26.8606,28.9964,27.9382,33.1915,60.889,136.536,511.396,1787.2,4203.66,5779.19,5039.96,2890.03,1041.35,296.113,145.703,141.001,149.89,151.617,164.036,208.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,33.2914,15.0146,46.8961,37.4235,50.1008,52.3539,47.115,34.6202,35.0286,29.8707,24.6229,29.4851,40.3891,68.4515,174.089,658.617,2175.21,4428.09,5683.09,4697.83,2452.27,844.01,254.139,128.137,127.58,146.187,144.815,161.031,207.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,35.776,15.9639,50.7898,33.7216,45.6485,41.8681,50.153,35.7017,43.1313,25.5532,19.8663,25.5106,33.789,41.1136,79.4489,224.024,851.822,2507.6,4714.09,5587.02,4162.84,2048.58,665.404,198.398,124.354,126.941,135.909,145.814,158.221,202.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,35.705,19.3066,42.6303,37.905,34.9731,35.4291,37.716,29.2225,31.7251,27.5472,21.4419,23.9988,22.8621,29.9888,46.901,98.3226,263.556,985.514,2830.35,4858.13,5271.29,3697.08,1696.34,552.526,170.88,113.822,120.513,127.68,134.417,151.185,185.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,27.5617,20.3377,32.5516,31.5418,41.4562,31.3319,30.8664,25.1414,34.5195,32.6138,26.1855,22.2102,16.0315,26.3556,32.5193,53.2933,104.826,314.901,1252.1,3136.31,4964.09,4907.91,3200.44,1386.45,419.568,147.19,115.531,114.91,121.222,129.109,145.378,188.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,29.9115,20.2635,36.8745,24.3177,34.7176,26.4413,28.7899,29.608,42.2302,39.0922,23.9231,24.7571,16.4264,20.9219,32.0203,35.7837,58.7594,129.937,437.722,1487.31,3456.61,4938.37,4504.71,2701.2,1070.35,334.317,130.919,104.729,111.653,122.394,125.751,142.865,172.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,32.9812,23.7452,34.7753,20.2033,29.0226,27.1568,18.4618,25.4268,38.6164,36.0893,22.1208,26.1192,23.6658,16.6652,30.8108,30.3849,40.134,71.1721,156.957,528.335,1732.28,3674.15,4783.32,4027.52,2204.47,854.599,251.341,111.488,102.58,110.99,111.191,123.28,131.824,171.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
