TITLE,F600
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/31
TIME,13:58:02
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   519.27734
MAXY,  1211.86633
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,519.277,459.399,475.128,506.412,561.762,554.714,671.804,738.537,878.185,986.971,1179.05,1340.35,1691.1,2648.58,4852.91,7368.39,7537.38,5516.75,2952.15,1438.56,835.332,594.555,480.568,390.769,358.82,386.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,561.925,498.279,529.064,550.28,619.992,618.17,726.833,803.669,909.911,1021.83,1192.63,1353.03,1549.99,1984.34,3115.21,5492.09,7408.4,7120.78,4555.84,2269.06,1071.15,643.823,488.448,416.545,368.632,328.254,364.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,614.04,566.783,579.282,581.218,649.372,682.974,776.445,858.2,931.492,1071,1177.22,1337.75,1493.38,1700,2092.09,3493.5,5830.59,7433.27,6434.7,3857.19,1742.34,814.225,521.135,444.675,385.336,325.076,304.954,329.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,643.891,592.215,600.437,622.801,687.196,734.617,828.653,933.245,978.977,1115.53,1188.62,1312.23,1452.17,1604.9,1738.35,2260.5,3776.33,6007.83,7176.38,5781.37,3178.04,1359.48,658.227,476.855,401.403,349.091,312.146,291.429,349.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,666.278,591.644,638.043,671.217,726.534,759.017,866.583,940.974,1013.83,1090.92,1183.47,1280.83,1413.17,1514.18,1624.45,1736.71,2383.28,3975.27,6188.76,6776.71,5011.43,2565.29,1124.64,593.585,421.598,372.733,333.095,288.679,290.769,330.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,674.006,643.602,676.74,674.833,726.527,788.684,865.94,936.395,989.786,1049.45,1174.03,1255.55,1381.91,1476.8,1520.59,1562.73,1731.81,2396.61,4216.71,6095.59,6215.1,4329.3,2188.77,976.047,510.352,394.873,349.03,310.435,277.048,276.954,321.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,696.67,710.457,689.06,726.995,718.212,830.355,879.254,949.77,971.573,1029.47,1174.59,1228.92,1342.09,1430.83,1468.8,1463.23,1486.6,1678.38,2524.39,4344.67,5959.56,5716.74,3769.16,1823.08,803.896,462.511,362.721,323.977,294.507,270.6,265.698,302.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,737.337,754.594,716.504,749.199,747.585,833.805,857.138,989.774,976.216,1037.24,1152.64,1191.9,1284.79,1390.08,1414.95,1405.73,1401.96,1439.85,1650.5,2661.59,4451.59,5796.38,5211.89,3252.59,1502.61,672.771,401.999,339.141,307.12,272.733,260.86,247.689,301.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,801.007,775.686,776.208,771.202,775.718,847.068,858.275,974.7,997.73,1006.33,1113.98,1142.14,1250.3,1378.1,1348.68,1399.32,1340.96,1365.66,1338.93,1615.64,2701.88,4546.39,5567.88,4680.14,2701.16,1225.58,545.964,374.964,321.975,283.275,268.359,235.978,239.866,264.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
