TITLE,Blank2
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/31
TIME,10:05:58
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,    43.58524
MAXY,    43.58524
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,43.5852,37.8017,25.0078,38.9389,27.3799,32.7829,28.7016,31.4438,30.6009,29.2604,60.5939,101.604,296.493,1103.72,3116.37,5479.44,5948.32,3979.61,1650.41,515.784,183.665,159.244,172.395,177.229,193.171,239.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,33.5145,33.6215,24.1015,43.6675,42.7757,50.3909,34.0926,30.0788,28.0235,30.434,44.678,57.5105,124.086,411.351,1467.98,3699.33,5781.59,5505.61,3268.35,1302.55,370.874,171.683,147.267,164.362,167.589,173.995,221.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,36.1121,25.8169,23.7009,40.1223,48.529,57.5606,38.6383,30.7968,26.0028,29.5298,29.3273,27.4194,69.1787,140.495,506.023,1771.85,4158.63,5810.52,5046.07,2808.72,1017.33,303.971,146.073,146.818,158.996,153.346,165.473,209.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,37.2635,30.8543,24.1558,31.9718,42.2693,44.9053,36.2543,32.5599,28.6326,33.2361,28.177,27.2506,44.8237,71.4041,186.745,635.856,2161.72,4420.58,5660.16,4604.39,2393.04,833.664,250.89,138.707,142.277,143.44,144.425,164.416,209.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,35.1858,34.7368,21.6889,29.4403,42.7628,35.2293,36.1265,35.6346,35.1173,35.6853,30.1629,31.3973,28.9194,43.9514,81.6288,212.672,857.63,2532.73,4718.72,5504.25,4101.25,1988.73,660.281,204.931,127.771,136.27,134.244,140.157,157.004,195.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,37.4114,33.5036,24.2673,26.4038,33.8867,31.9703,33.2936,38.3183,38.4593,37.071,29.6407,27.2249,18.8407,34.313,47.6541,91.969,264.782,1019.43,2893.01,4917.08,5225.21,3651.09,1640.93,525.665,174.282,121.91,125.252,137.013,129.609,149.279,195.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,30.5422,36.4271,33.7439,28.2482,28.5343,34.4626,30.8176,32.4301,43.2135,37.4104,31.5973,24.5098,18.5676,28.9686,34.0727,54.4217,108.594,339.953,1307.59,3195.69,4944.81,4912.06,3099.76,1325.27,410.242,145.785,115.143,125.394,121.98,134.247,133.477,185.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,27.3785,33.8981,36.6692,30.0007,23.6001,31.7654,30.9233,30.4958,38.2099,33.0429,33.884,22.7607,20.5683,28.4429,25.404,40.746,59.7795,132.737,449.1,1530.46,3459.25,4910.73,4421.75,2647.09,1051.28,309.239,123.034,105.214,113.373,122.723,114.634,138.894,175.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,31.3938,33.3909,34.224,29.2452,22.8082,32.2793,26.6027,23.909,29.8838,29.8212,34.1739,25.4027,25.8663,28.9897,21.6748,33.4791,36.9332,77.3441,158.472,568.045,1754.6,3674.25,4755.57,3984.87,2181.94,818.973,236.256,111.786,103.339,110.976,106.23,121.205,132.982,156.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
