TITLE,F568
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/31
TIME,14:29:59
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   302.52359
MAXY,   632.81525
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,302.524,314.607,314.36,370.962,455.579,494.834,546.384,616.781,753.722,843.396,1041.09,1245.84,1518.34,2524.59,4729.13,7133.49,7406.2,5355.91,2733.93,1325.41,770.71,534.767,421.093,359.89,322.014,357.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,333.723,347.157,345.161,396.214,484.821,530.53,594.474,639.449,753.682,860.824,1017.23,1183.18,1349.29,1775.84,3006.54,5308.32,7314.62,6922.99,4386.63,2143.52,955.954,553.827,431.227,355.154,308.344,305.722,331.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,370.353,372.931,382.968,411.825,482.373,537.709,610.308,668.875,748.187,865.321,1008.12,1139.6,1296.02,1468.84,1922.48,3303.18,5706.69,7325.72,6211.29,3672.73,1591.9,700.687,445.602,352.65,306.001,288.442,271.873,300.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,392.005,390.193,408.695,431.921,473.839,561.201,625.049,661.809,749.099,851.653,962.676,1116.97,1248.38,1371.08,1496.18,2023.16,3565.81,5915.35,6884.23,5499.84,3008.88,1271.02,577.155,377.066,321.718,291.97,259.199,253.515,296.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,402.696,405.032,427.156,439.628,501.701,559.954,642.237,651.287,768.503,836.318,916.105,1075.27,1146.25,1282.44,1367.01,1487.18,2157.73,3854.14,5993.58,6562.15,4758.61,2435.24,1004.21,482.441,339.321,292.232,265.965,242.725,243.212,277.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,407.317,418.718,449.795,466.891,533.672,550.882,647.541,674.959,748.799,811.381,901.572,1005.71,1076.65,1229.52,1288.95,1287.71,1507.01,2243.52,4074.23,5949.32,5959.98,4152.44,2033.62,824.44,402.592,304.848,269.576,245.683,228.109,235.382,269.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,384.874,431.069,463.179,463.984,528.642,540.447,628.405,686.411,733.025,768.607,874.955,952.546,1026.67,1174.79,1196.29,1215.33,1246.64,1497.58,2322.81,4144.91,5740.85,5510.26,3532.71,1629.56,635.015,350.966,273.086,242.943,227.548,223.75,218.859,260.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,381.599,423.698,471.78,470.053,524.294,552.034,589.786,674.233,701.417,757.533,841.147,928.755,993.36,1080.32,1102.55,1135.94,1123.33,1213.8,1397.5,2413.08,4248.1,5577.92,4933.21,2983.55,1289.93,545.437,301.756,247.939,231.333,217.403,211.86,208.682,245.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,389.092,443.177,483.21,509.684,539.852,544.24,572.447,649.96,665.324,745.6,796.113,873.657,954.143,1004.64,1052.89,1068.19,1066.44,1081.41,1070.75,1357.46,2487.38,4325.53,5331.04,4373.44,2478.35,1047.87,428.713,269.913,232.128,209.119,215.58,184.291,188.228,238.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,409.696,443.415,507.784,527.692,531.14,521.243,591.246,652.918,649.133,731.78,752.262,819.754,911.124,935.242,998.149,1011.81,1003.79,996.187,942.855,948.896,1272.89,2573.42,4376.51,4997.79,3888.76,2042.22,819.497,362.412,231.324,208.143,203.281,183.814,169.153,189.299,219.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,448.264,448.111,488.717,507.185,510.599,522.369,569.894,625.986,644.825,711.679,722.887,778.232,849.625,864.315,939.86,918.434,915.506,929.145,871.869,800.816,812.538,1370.31,2746.62,4351.96,4640.85,3305.02,1650.98,680.964,283.534,211.985,197.019,185.799,175.538,170.511,166.831,205.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,471.316,455.888,482.282,502.105,511.427,527.156,565.98,603.201,613.892,671.715,705.131,756.048,777.835,837.244,886.315,877.722,851.21,863.352,815.445,756.856,698.147,834.232,1447.16,2878.74,4255.55,4189.45,2776,1385.38,482.807,250.911,198.216,184.65,172.514,168.852,151.695,160.797,197.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,473.415,459.623,444.646,487.884,507.898,516.426,561.44,598.852,611.912,631.217,692.089,737.667,760.712,791.352,846.747,861.301,823.864,807.614,786.853,736.415,655.627,654.521,801.395,1557.01,3021.39,4090.16,3693.73,2392.09,992.532,391.495,222.784,183.324,173.232,166.522,150.6,136.286,151.736,177.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,468.867,446.592,445.207,483.425,488.223,514.879,540.789,584.252,603.148,610.366,677.546,698.923,732.628,770.65,807.966,837.341,794.513,780.908,771.113,724.668,638.355,606.669,601.475,837.787,1700.08,3064.9,3808.6,3344.8,1865.28,785.803,333.841,200.29,174.916,166.704,155.334,140.231,141.552,140.712,178.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,499.73,454.753,452.95,463.419,485.052,502.846,535.89,590.695,582.519,600.948,635.4,661.851,683.774,752.292,786.349,791.507,762.542,761.361,732.425,685.587,627.15,582.615,557.936,589.437,889.063,1744.88,2981.52,3593.8,2834.8,1549.24,662.717,281.636,194.342,168.856,165.462,152.365,151.742,134.22,147.176,177.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,491.56,444.674,466.22,461.453,479.801,501.508,526.318,556.216,563.381,586.156,619.222,640.769,650.553,713.607,763.672,742.361,753.651,741.591,710.985,661.16,608.015,581.379,539.316,530.438,569.447,923.538,1832.62,2959.11,3277.29,2408.97,1285.57,519.808,250.202,182.425,176.371,158.83,156.761,136.49,141.028,142.813,172.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
