Wavelength (nm),Blank1,F542,F543,F546,F547,F560,F561,F552,F553,F558,F559,F572,F573,F574,F575,F580,F581,F599,F597
675.5,0.000128,-0.000213,0.000089,0.001,0.001094,0.000908,0.000844,-0.000432,-0.000415,-0.000039,-0.000747,0.001915,-0.000147,0.000214,0.000244,0.000401,0.000624,0.00058,0.000459
675,0.000193,0.001137,-0.00017,0.000311,0.00151,0.000457,0.000092,-0.000656,-0.00033,-0.000128,-0.000515,0.001832,0.000478,0.00058,-0.000058,0.000644,0.000344,-0.000668,-0.001607
674.5,0.000182,0.000468,0.000557,-0.000575,0.000547,0.000889,0.000985,-0.00103,-0.000631,-0.000108,-0.000496,0.002203,0.001565,0.001431,0.00108,0.001486,0.001467,0.000193,0.000404
674,-0.000729,0.000131,-0.000704,0.000111,0.000349,0.001282,0.001279,0.000163,0.000243,0.000117,0.000244,0.001177,0.000253,0.000886,0.000662,0.000783,0.000187,0.001374,0.001834
673.5,-0.000381,0.001174,-0.000081,-0.000095,0.000161,0.000904,0.00067,-0.000087,-0.000318,0.001342,-0.000208,0.001287,-0.000247,-0.000633,-0.000762,-0.000004,0.00008,-0.000312,0.001065
673,0.000381,0.00108,0.000693,0.000309,-0.001199,0.002094,0.001532,0.00016,-0.000331,0.000931,0.000692,0.001878,0.000069,0.000152,0.000193,0.000297,0.000489,0.000463,0.00025
672.5,-0.001328,-0.000226,-0.002255,0.000454,-0.000217,0.001439,0.000642,-0.00073,-0.000288,0.000686,0.000257,0.00192,-0.000611,-0.000144,0.000255,0.001633,-0.000739,-0.00113,0.00094
672,0.000895,0.000842,0.000319,-0.001248,0.000109,0.001544,-0.001427,-0.000117,-0.000457,-0.00032,-0.000678,0.003116,0.000347,-0.000247,0.001604,0.001969,0.00069,0.000285,0.001206
671.5,-0.000331,-0.000844,-0.001011,-0.000074,0.001167,0.001835,0.000885,0.000302,-0.001411,-0.000788,-0.000278,0.001638,0.001351,-0.000692,-0.0007,0.002058,0.002033,-0.000904,-0.000889
671,0.001335,0.001265,-0.000916,-0.000161,0.00121,0.001058,0.00003,-0.000383,-0.001063,-0.00057,0.00093,0.001697,0.001561,0.000039,-0.000229,0.000884,-0.00053,0.000754,0.00178
670.5,-0.000288,0.00104,-0.000396,-0.000462,0.000242,0.000435,0.001348,0.000362,-0.000509,-0.000383,-0.000106,0.002308,0.000952,-0.000138,0.000002,0.001114,-0.000063,-0.000752,0.000104
670,-0.001126,-0.002409,-0.001634,-0.000099,0.001303,0.002481,0.001482,-0.000647,-0.000035,-0.000618,-0.000758,0.00065,-0.001098,-0.000344,-0.000063,0.000716,0.0004,0.001243,0.00185
669.5,0.001577,0.001344,-0.000181,0.000859,0.001992,-0.000221,0.000291,0.000634,0.00015,-0.000388,0.001194,0.00368,0.000796,-0.000405,0.000342,0.002469,-0.001537,0.000589,0.001038
669,0.000972,0.000445,0.000498,0.001931,0.001653,0.002152,0.002662,-0.00017,-0.001096,-0.000023,-0.000897,0.001382,0.000113,0.002411,0.002264,-0.000435,-0.000318,0.00013,0.001069
668.5,0.0001,0.00115,-0.000506,-0.001786,-0.000585,-0.000198,0.001066,0.002714,0.002311,0.001171,0.002214,0.001923,0.00093,-0.002114,0.000276,0.002239,0.001899,-0.000129,0.000901
668,0.00005,0.000554,-0.000429,0.00192,0.002519,0.001608,0.001181,-0.000446,0.000354,0.000045,0.000375,0.001802,-0.000296,0.001789,0.00139,0.000996,0.000434,-0.000501,0.000818
667.5,0.000091,-0.000016,-0.001649,-0.000403,0.002255,0.002327,0.000703,-0.001832,-0.003743,0.002321,0.002087,0.001273,0.000351,-0.001006,-0.001101,0.002461,0.000655,0.000517,0.001394
667,0.001841,0.001571,0.002647,-0.001357,-0.000616,0.002132,0.00112,-0.00093,-0.002493,0.002484,0.002775,0.002361,0.001887,0.000375,-0.000536,0.001098,0.000229,0.000124,0.000287
666.5,-0.002379,0.000576,-0.001495,-0.000797,0.001999,0.00226,0.000744,-0.000327,0.000481,-0.000608,0.001184,0.002834,0.000209,0.001261,0.000232,0.001243,0.002103,0.00046,0.0008
666,0.000397,-0.000413,-0.002245,-0.001622,-0.00054,0.000134,0.000752,0.001649,0.00099,0.000578,0.001038,0.000757,-0.00222,0.001595,-0.000903,0.003112,0.001858,0.001416,0.001138
665.5,-0.000591,-0.000865,-0.000163,0.000377,-0.001605,-0.000023,-0.001064,0.000068,-0.002484,0.000916,-0.000395,0.004198,0.003925,0.000041,0.000543,0.000468,-0.000996,-0.001586,0.000936
665,-0.000917,-0.001274,-0.002407,0.001846,0.002475,0.001712,0.001324,0.00076,-0.001555,-0.000062,-0.000367,-0.000417,-0.001431,0.001495,-0.000379,0.001519,-0.000226,0.000386,0.00338
664.5,-0.000681,-0.00188,0.000749,-0.000199,-0.001901,0.001145,0.003485,-0.000001,-0.000254,-0.002388,-0.00234,0.000673,-0.000447,-0.001686,-0.001378,0.000086,-0.000653,-0.000926,0.000075
664,0.002796,0.001953,0.001901,0.000327,-0.000196,0.002353,0.001694,-0.002015,-0.001769,0.003971,0.003223,0.002776,0.00245,-0.003275,-0.000781,-0.000192,0.000063,0.000422,0.000762
663.5,-0.001261,-0.000588,-0.001994,-0.00046,0.002537,-0.000152,-0.000821,-0.000821,-0.001747,-0.000463,0.001515,0.001778,0.000163,-0.001097,-0.0013,-0.001322,-0.002125,0.001545,0.000786
663,0.000871,0.000696,0.000136,0.002333,0.001687,0.001473,0.000584,-0.001391,0.000283,0.002731,0.002117,0.001254,-0.000146,-0.000383,-0.002801,0.001413,0.000523,-0.001203,0.000417
662.5,-0.00023,-0.001752,-0.001182,-0.000606,0.000334,0.000181,0.001823,0.000669,-0.000001,0.000589,-0.000031,0.0002,-0.001915,-0.001017,0.000695,0.00065,0.000649,0.002431,0.003084
662,0.001412,0.001602,0.000517,0.001201,0.000669,0.002373,0.00209,0.00016,-0.00059,-0.000851,-0.000132,0.0003,0.000583,-0.000428,0.002312,0.002464,0.000987,-0.001494,-0.001088
661.5,-0.001293,0.001296,-0.000685,0.00178,-0.000497,0.000976,0.001033,-0.000326,-0.001762,0.000546,0.00048,0.000326,0.000385,-0.000125,0.000288,0.000557,0.000616,0.000445,0.000453
661,0.000652,0.000893,0.001063,0.000755,0.001125,0.001581,0.001219,0.000091,-0.001002,-0.000821,0.000296,0.0011,0.001038,0.001896,-0.000539,0.002423,0.00164,0.001005,0.00273
660.5,0.000378,0.000857,0.000789,-0.000124,0.001074,0.001654,0.002044,-0.000006,0.00065,-0.000875,-0.000387,0.000677,0.000265,-0.000667,-0.00084,0.00083,-0.000056,-0.00045,0.000721
660,-0.000903,-0.000597,-0.000133,-0.001092,0.001626,0.001277,-0.001364,-0.00056,-0.001314,0.000703,0.001511,0.001221,0.000137,0.000336,-0.000881,0.000423,-0.000052,0.001518,0.000604
659.5,0.001528,0.001613,0.001323,0.000066,-0.000205,0.001303,0.000639,-0.000447,-0.001285,-0.001536,-0.000226,0.001605,-0.000873,0.000443,0.000182,0.001154,0.000408,0.001505,0.002609
659,0.000286,0.00064,-0.000535,-0.000515,0.00159,0.00184,0.000267,-0.000889,-0.001446,0.000589,0.00136,0.002124,0.000175,0.000172,0.002736,-0.000522,-0.000276,-0.000062,0.001196
658.5,0.000536,0.001462,-0.0001,0.000197,0.000143,0.000847,-0.000693,0.000605,0.000023,-0.002451,-0.000589,0.002016,0.00012,0.000227,-0.000435,0.0018,0.000343,-0.001102,-0.001272
658,0.000039,0.000519,-0.000396,0.000264,0.001563,0.000834,0.000881,0.000445,0.00184,0.000291,-0.000143,0.002215,0.001272,0.000424,0.000457,0.001318,0.000738,-0.000165,0.002433
657.5,-0.000223,0.001098,-0.000354,0.002643,0.00209,0.001181,0.002172,-0.000395,-0.001189,0.000271,-0.000008,0.000538,-0.002791,-0.001944,-0.000448,0.001755,-0.000366,0.001032,0.000621
657,-0.000638,0.001061,-0.001278,-0.000168,0.001991,0.001481,0.001811,-0.002285,-0.000681,-0.000597,-0.00098,0.002556,0.000963,0.000402,-0.000362,0.001633,0.000577,-0.000235,0.000617
656.5,0.001517,0.002057,-0.000934,0.000988,0.002769,0.000595,0.001528,-0.000053,0.002227,-0.002953,-0.001427,0.002029,0.00192,-0.001959,-0.00224,0.00198,-0.001212,0.000327,0.001234
656,0.001212,0.002143,-0.000478,0.001442,0.000745,-0.001377,-0.000993,-0.000988,-0.000816,0.000218,0.001493,0.000158,0.000588,0.003461,0.000557,0.000802,-0.000679,0.001362,0.000292
655.5,0.001601,0.003233,0.001793,0.000806,0.001543,0.001572,0.002044,-0.002364,-0.000283,-0.001162,0.000165,0.003814,0.001559,-0.000318,0.000779,0.000073,0.000162,-0.000657,0.000748
655,-0.000332,0.00032,-0.003113,-0.001728,-0.000448,-0.00005,-0.00146,0.000585,-0.001251,-0.000226,0.001484,0.003455,0.000902,-0.001221,-0.00248,0.000107,0.001738,-0.002925,0.000209
654.5,-0.002837,-0.000041,-0.001376,-0.000422,-0.001522,0.004561,0.001643,-0.002621,-0.002727,-0.00018,-0.000323,-0.00018,-0.001793,-0.001343,-0.000109,0.002302,-0.000353,-0.000575,0.000593
654,0.001325,0.001589,-0.000332,-0.000284,-0.000553,0.002471,0.004149,-0.000206,0.001283,-0.000148,0.001369,0.001466,0.002778,-0.000576,0.000353,-0.000213,0.000362,-0.000497,0.00061
653.5,0.001449,0.001181,-0.00124,-0.000627,0.000771,0.002053,0.000242,-0.002076,-0.001834,0.000186,-0.000902,0.001632,0.000419,-0.000195,-0.000074,-0.000594,-0.00168,-0.000703,0.000526
653,0.000887,0.000311,0.000006,-0.000125,0.002121,-0.000386,-0.000189,-0.00017,0.000858,0.0005,0.000598,0.001993,0.000976,0.00003,-0.001309,0.002393,-0.000708,-0.002062,-0.001901
652.5,0.00036,0.000916,-0.000582,0.001422,0.001187,-0.000752,-0.000839,-0.000719,0.000008,0.002169,0.002144,0.002961,0.001711,-0.00088,-0.000446,0.002033,0.000765,0.000041,0.001433
652,-0.001474,-0.000948,-0.000273,-0.000914,-0.001639,-0.000582,-0.000111,0.001981,0.00204,0.001572,-0.00006,0.000242,-0.000773,0.000443,0.002164,0.000849,-0.000007,-0.000778,0.001686
651.5,-0.000491,0.001824,-0.001009,0.001235,0.001354,0.001678,0.000884,-0.001188,-0.001081,0.000121,0.000056,0.001261,-0.001274,-0.000389,-0.000578,0.0044,0.002159,-0.000063,0.001502
651,0.000899,0.00043,-0.001793,-0.001041,0.000988,0.001762,-0.001696,-0.00317,-0.000918,-0.002282,-0.002028,0.000699,-0.001497,-0.000032,-0.001295,0.001196,-0.000028,0.002503,0.001371
650.5,-0.001379,-0.000708,-0.000836,0.000113,-0.000201,0.000836,-0.000105,0.000599,-0.001452,0.001025,-0.000736,0.002239,0.001605,-0.00075,0.000515,0.001493,-0.000626,-0.00034,0.002148
650,-0.002054,-0.000691,-0.002788,-0.000192,-0.000382,0.000444,0.001029,0.000479,0.000827,-0.000853,-0.001055,0.003393,0.000107,0.00143,0.001758,0.001887,0.00212,0.001217,0.001758
649.5,0.00005,0.000523,0.001153,0.000766,0.002045,0.001067,0.000472,0.001418,0.000975,0.000969,0.000731,0.001523,0.000005,0.000748,0.002379,0.001862,0.000696,-0.000353,0.000463
649,-0.001352,0.000344,-0.000551,-0.00096,-0.00056,0.000645,0.001212,-0.001624,-0.002261,-0.000937,-0.000101,0.001126,-0.000948,0.000618,0.001019,0.000626,-0.000052,0.001852,0.000866
648.5,0.002102,0.002607,-0.000147,0.000675,0.001218,0.001258,0.000429,-0.002202,-0.000783,0.000579,-0.001242,0.00221,0.000942,-0.003215,-0.000648,0.001567,0.0005,0.001299,0.001151
648,0.000999,0.001807,0.001127,0.000102,0.00151,0.002768,0.000627,-0.001476,-0.000372,-0.000695,-0.000387,-0.000298,-0.001275,0.002279,0.001993,-0.001078,-0.001672,0.000577,0.00163
647.5,-0.001623,-0.000792,-0.000905,-0.000646,0.001262,0.001552,0.001436,-0.001253,-0.000254,0.001102,0.000802,0.002265,0.001787,-0.003631,-0.001657,0.001065,0.000823,0.000623,0.001739
647,0.000075,-0.000456,-0.000558,-0.001793,-0.001749,0.002555,-0.000382,-0.002136,-0.001967,-0.002986,-0.001541,0.001365,-0.001338,-0.000247,0.000581,0.000802,-0.000667,0.00157,0.00013
646.5,-0.000211,-0.001805,-0.000304,0.00139,0.001132,0.004042,0.001613,0.000865,0.000111,-0.002379,-0.000042,0.004072,0.001169,0.002244,0.002756,0.001975,0.000436,-0.00044,0.00137
646,-0.001107,0.000373,-0.000511,0.002027,0.001631,0.000179,-0.000385,0.001205,0.001233,-0.000087,0.001723,0.001603,0.000906,0.002181,0.001479,-0.00024,0.00015,-0.000101,0.000958
645.5,-0.001075,0.000078,-0.000593,-0.00123,-0.000717,0.002807,0.000995,0.001861,-0.001085,0.000073,0.001343,0.001073,0.000542,0.001039,-0.000225,0.00195,0.002427,-0.000354,-0.000746
645,-0.000876,0.000177,-0.001138,-0.002199,0.000341,0.002474,0.000069,-0.000213,-0.00084,0.000589,0.000961,0.001714,-0.000142,0.001709,0.001008,0.000737,0.000834,0.001437,0.001309
644.5,-0.000444,0.000217,0.001626,-0.000116,0.001111,0.002121,0.000014,0.002126,0.001716,-0.00144,-0.000614,0.004038,0.000973,-0.002304,0.000896,0.000958,-0.001942,0.000412,0.000169
644,0.00114,0.002124,-0.001713,-0.000172,0.000129,0.001113,0.000963,0.000442,-0.000766,0.002616,-0.000161,-0.00006,-0.000852,0.0007,0.00173,0.002974,0.002863,-0.002227,-0.000983
643.5,-0.000447,0.00005,0.000173,0.00139,0.001417,0.00163,0.000977,-0.000769,-0.001078,-0.001895,-0.000354,0.002807,-0.001346,0.00035,0.000439,0.001617,-0.000341,0.000597,0.001623
643,-0.00238,-0.003123,-0.0026,0.000107,0.002291,0.000591,0.001412,-0.001962,-0.000365,-0.001089,0.000872,0.002367,0.002135,0.000108,-0.001269,0.00125,0.001608,-0.000252,0.001371
642.5,-0.000161,-0.000828,-0.001382,0.001022,-0.000449,-0.00064,0.000951,-0.001331,-0.000375,-0.000835,0.000973,0.001892,-0.000562,0.00109,0.000665,0.001591,0.000345,-0.000465,0.001507
642,0.000807,-0.000198,0.000754,-0.000761,-0.000719,0.000829,-0.000399,0.000649,0.000505,-0.000021,0.001716,0.003135,-0.000901,-0.000139,-0.000008,0.000421,-0.000659,0.001075,0.001893
641.5,-0.000598,0.00026,-0.001048,0.000215,0.000324,0.000605,0.000239,-0.001421,0.000523,-0.000427,0.000712,-0.000171,-0.000865,-0.001959,-0.002085,-0.00109,-0.001245,0.001526,0.001638
641,-0.00013,0.000042,-0.001899,0.001692,0.00042,0.002135,0.002994,-0.003838,-0.002166,0.000327,-0.001751,0.000342,-0.000538,0.000547,0.002406,-0.000825,-0.000888,0.000106,-0.000134
640.5,-0.000531,0.000817,0.002215,0.000544,0.001898,0.001025,-0.001345,-0.00045,-0.001336,-0.000919,-0.001053,0.003175,0.001091,0.000886,0.000703,0.000609,0.000876,0.000577,0.000272
640,0.000804,-0.0007,-0.000939,-0.001422,0.002118,-0.001163,-0.000731,0.000307,0.000648,0.001951,-0.000283,0.003166,0.001009,-0.000835,-0.000364,0.002431,0.001356,0.000087,0.000086
639.5,0.001415,0.001366,0.000881,-0.000679,0.001215,0.00151,-0.001429,0.000278,0.000689,0.001216,0.000565,0.001724,0.001267,0.002051,0.003015,0.002414,0.000247,-0.000268,0.000599
639,-0.000894,0.000197,-0.002051,0.002285,0.002499,0.00083,0.002861,0.001827,0.000713,-0.002081,-0.000608,0.002202,0.00037,0.000418,0.001722,0.001388,-0.001651,0.000055,-0.000547
638.5,0.001245,0.00015,-0.001276,0.000313,0.000942,0.001107,0.000356,0.002119,0.000304,-0.000829,-0.001288,0.003783,-0.000188,0.000085,0.000463,0.001273,-0.001017,-0.001169,-0.000295
638,0.001039,-0.00049,-0.001212,0.000623,0.001661,0.001146,0.000074,-0.001297,0.00041,-0.001265,-0.000451,0.000536,-0.000601,0.002187,-0.000219,0.000293,-0.002663,-0.000513,0.002615
637.5,0.000912,0.000946,-0.000559,0.001435,0.003883,0.001739,0.000613,0.001652,0.000104,0.000184,-0.000414,0.001349,0.001377,0.000495,-0.001179,0.003037,0.000721,-0.001325,0.000564
637,-0.000941,-0.002544,-0.002025,-0.000161,0.00041,0.000194,-0.000767,0.001337,-0.001066,0.001205,0.001544,0.003217,0.001622,0.001288,0.001738,0.001732,0.000249,0.000259,-0.000714
636.5,-0.001955,-0.0013,-0.000856,0.001444,0.000031,0.002555,0.00188,-0.000357,0.001935,0.000184,-0.00212,0.002904,0.00041,0.00019,0.000086,0.001179,0.000859,0.000577,0.00054
636,0.000597,0.000469,-0.000134,-0.000576,-0.00018,0.002582,0.000479,-0.001009,-0.000825,0.000419,0.000251,0.003041,-0.000424,0.000175,-0.000629,-0.001807,-0.000908,0.00094,0.001774
635.5,0.001787,0.001808,0.000964,0.002557,0.002856,0.000066,0.000058,-0.000036,-0.000776,0.00083,0.000604,0.001862,0.000722,0.001485,0.001149,0.000653,0.00031,-0.001095,0.001635
635,0.000467,0.000108,0.000512,0.00031,0.000332,0.001666,-0.001004,0.000023,-0.000119,-0.000916,0.000141,0.002163,0.003828,-0.001132,0.001534,0.00139,0.0007,-0.000706,0.000866
634.5,-0.00009,0.000642,-0.000475,0.000737,0.000469,0.002114,0.00252,0.00026,0.000255,-0.001249,-0.000726,0.001452,0.000802,-0.000951,-0.000794,0.001523,0.000508,-0.002571,0.001086
634,-0.00016,-0.000481,-0.001626,-0.000474,0.002084,0.000015,-0.000273,0.001222,-0.000575,0.000378,-0.000884,0.002388,0.000312,0.002374,0.002268,0.001931,-0.001682,0.000703,0.001399
633.5,0.001295,0.001457,0.000903,-0.000941,-0.00006,0.00206,-0.001008,-0.000516,-0.000321,0.00135,0.000858,0.002834,-0.000869,-0.0007,0.001505,0.002771,0.002801,0.00061,-0.0001
633,-0.001514,-0.000262,-0.000824,-0.000056,0.001023,0.000034,0.002521,-0.000226,0.000219,0.000869,0.002082,0.002245,0.000016,0.00035,-0.00176,0.001504,0.001202,-0.000818,0.000483
632.5,-0.002564,-0.001243,-0.002553,-0.000169,0.00157,-0.000207,0.001004,-0.002312,-0.001519,-0.000471,-0.001037,0.002144,0.000834,-0.000843,-0.000638,0.000654,-0.000035,0.002555,0.00121
632,0.000681,0.001376,-0.000431,0.000061,0.00183,0.0016,0.000763,-0.00106,-0.001553,0.000202,-0.000691,0.000005,-0.001187,-0.000042,-0.00162,0.002925,0.000607,0.000532,-0.000002
631.5,0.001211,0.000532,0.002289,-0.000831,-0.000419,0.000967,-0.000624,-0.000724,-0.000178,-0.000822,-0.000067,0.004279,0.003257,-0.001202,-0.000479,0.001732,0.001226,-0.001695,-0.000787
631,0.000618,-0.001039,-0.000601,-0.00069,-0.000693,0.002665,0.00174,-0.000687,-0.001759,-0.001332,-0.001148,0.001724,0.000124,0.0007,-0.000222,-0.000245,-0.003611,0.000293,-0.000248
630.5,0.001191,0.001544,-0.00174,-0.001665,0.000645,0.001514,-0.000055,0.000099,0.001071,0.001139,0.001335,0.001016,-0.001154,0.001548,0.001248,0.001851,0.000697,0.000598,0.00025
630,0.00068,0.001641,0.001408,0.002194,0.0007,-0.001872,-0.000379,-0.000686,-0.000108,-0.000274,0.000046,0.00038,0.000286,0.002134,0.001584,-0.000056,-0.000122,0.00161,0.00276
629.5,-0.00033,-0.000398,-0.000405,-0.00011,0.00136,0.002846,0.002616,0.001075,0.001529,0.000296,0.001183,0.001212,0.000518,-0.000144,0.000179,0.000885,0.00088,-0.002211,-0.000803
629,0.001887,0.00211,0.000046,0.000193,0.00051,-0.001697,-0.002679,-0.001117,0.000435,0.000096,-0.000007,0.001615,-0.001972,-0.001712,-0.000093,0.002718,0.000725,0.00026,0.000897
628.5,-0.000884,-0.00007,-0.002075,0.001179,0.001537,-0.000311,0.001643,-0.001049,-0.000389,0.002913,0.001969,0.001289,-0.000477,-0.000001,-0.000269,0.000906,-0.001243,-0.001768,-0.000883
628,-0.000073,0.000479,0.000207,0.000795,0.000882,0.001035,0.000389,-0.001508,-0.001471,-0.00027,-0.000052,0.004377,0.002775,0.001118,0.001391,0.001746,-0.000104,-0.000189,-0.000615
627.5,-0.000733,0.00168,-0.0004,0.000125,0.000656,0.001892,0.000795,-0.000376,-0.000607,0.003372,0.002641,0.001551,-0.000473,-0.00033,-0.000405,0.000349,-0.000104,0.00065,0.000039
627,0.000254,-0.000107,-0.000359,-0.000796,-0.000911,0.002082,0.000548,-0.001044,-0.001349,-0.000613,0.000364,0.002115,0.00104,-0.002152,-0.001576,0.002445,0.001137,-0.000977,-0.000124
626.5,0.001085,0.001555,-0.000651,-0.001809,0.000071,0.000076,-0.00063,0.001197,-0.00012,-0.001447,0.000271,0.001513,-0.000756,-0.000245,-0.000509,0.00097,-0.000108,0.000351,0.001094
626,0.000298,0.000563,-0.000576,0.00025,0.0016,0.001291,0.002497,-0.000209,-0.000478,0.000416,0.000181,0.00221,0.000883,-0.000466,-0.001139,0.00138,-0.000298,0.000507,-0.000231
625.5,-0.000111,-0.000971,-0.002182,0.001207,0.001164,0.002136,0.000199,0.000314,-0.000925,-0.001628,-0.001207,0.002966,0.001358,-0.001774,-0.000213,0.00029,0.00091,-0.000199,0.000231
625,-0.000677,-0.000207,-0.001051,0.002142,0.002773,0.001312,0.001242,-0.000008,-0.000087,0.00092,0.001842,-0.00076,-0.000536,-0.00162,-0.001173,0.001849,0.001264,0.001476,0.00127
624.5,-0.001152,-0.000989,0.000824,0.000243,0.001914,-0.000046,0.000199,-0.001573,-0.001955,-0.000039,-0.001858,0.003628,0.001599,0.000654,0.001154,0.001573,0.000568,-0.001735,-0.000753
624,-0.003432,-0.000283,-0.001386,0.000626,0.001687,0.001408,-0.000463,-0.001368,-0.00086,0.0002,-0.00042,0.003298,0.001914,0.000132,-0.000009,-0.000038,0.001132,-0.000958,0.000467
623.5,0.000803,0.000284,-0.000599,0.002042,0.000436,0.001317,0.002307,-0.00028,0.000734,0.000695,0.000198,0.001765,-0.00078,-0.00046,-0.00186,0.000336,-0.003045,0.000103,0.000294
623,-0.000441,-0.000437,-0.000962,-0.002118,0.000031,0.001725,0.00034,-0.001277,-0.001379,-0.000216,0.001493,0.001356,0.001863,0.000639,0.000136,0.00068,0.001418,-0.001065,-0.001397
622.5,-0.003447,-0.001197,-0.002509,-0.000294,0.001072,-0.000055,-0.000567,0.002372,0.000763,-0.000228,-0.000147,0.002564,0.000008,0.001198,0.002258,0.000819,0.000041,0.00093,0.00094
622,-0.001255,-0.000625,-0.00063,-0.001277,0.000715,-0.001236,-0.000287,-0.002537,0.000578,0.002366,0.002897,0.002439,0.000764,0.002322,0.002372,0.002056,0.003084,0.00049,0.001489
621.5,0.000793,0.000119,-0.001783,0.002627,0.001915,0.001792,0.001867,-0.000839,0.000787,-0.000758,0.000292,0.001833,0.000119,0.001512,-0.00018,0.001959,0.000693,-0.001047,0.000462
621,-0.000114,0.000733,-0.002067,-0.000854,0.000519,-0.000577,0.00045,0.000692,0.000936,-0.000175,-0.000673,0.002582,0.00069,-0.001042,-0.001281,0.001418,0.000023,-0.000428,-0.001268
620.5,-0.001174,0.00161,-0.001366,-0.001801,-0.001344,0.000876,0.002546,-0.001779,-0.001933,-0.001707,-0.000126,0.003199,0.00052,-0.000234,0.001527,0.000981,0.000742,0.001318,0.001589
620,0.001279,0.001053,0.000566,-0.00171,0.001086,0.002567,0.002066,-0.000178,-0.000626,0.000015,-0.001154,-0.000426,-0.000645,0.000004,0.00073,0.00225,-0.00063,-0.001594,-0.00163
619.5,0.00151,0.00132,0.000571,-0.000216,0.00087,0.001195,-0.000185,-0.00078,-0.000838,-0.001063,-0.001441,0.002814,-0.000192,0.00042,0.001947,0.002786,-0.000101,0.000363,0.001384
619,0.001584,0.002094,0.000827,-0.000216,0.001538,0.001665,0.000564,-0.000479,0.00028,-0.000524,0.001773,0.002532,0.001606,0.000472,0.000933,0.001366,0.00063,0.000476,0.001129
618.5,0.002186,0.000381,0.00031,0.000708,0.001068,0.002551,0.002579,-0.000585,-0.000915,-0.000177,-0.000075,0.001104,0.00082,0.000883,0.001382,-0.000244,-0.00026,0.001026,0.000959
618,-0.000254,-0.000555,-0.000861,-0.000085,0.00187,0.000999,0.000709,-0.002647,-0.003323,-0.000119,-0.00131,0.003169,0.001797,-0.001021,0.001325,-0.00076,-0.001925,-0.000216,0.000994
617.5,0.001469,0.001811,-0.000979,-0.000393,-0.002049,0.000837,0.000125,-0.001581,-0.00153,0.000633,0.002014,0.002318,-0.000909,0.001353,0.00163,0.001286,0.001491,0.000981,0.000998
617,0.000159,0.000812,-0.001935,0.001248,0.001639,0.001824,0.000784,0.000246,0.001485,0.000042,-0.0007,0.001417,-0.000462,0.001403,0.000987,0.001099,0.000256,-0.000001,0.000145
616.5,-0.000107,-0.001064,-0.000513,0.001556,0.001063,0.000499,0.000397,0.000897,-0.0019,0.000467,0.000644,0.002605,0.000168,0.000275,-0.000049,0.002517,0.001186,-0.002846,-0.001469
616,0.000978,-0.000004,-0.001122,-0.000277,0.000764,0.00265,0.00207,0.000493,0.000648,0.00058,0.00166,0.002071,0.000732,-0.000322,0.002429,0.002154,-0.000069,0.000547,0.001569
615.5,-0.001589,-0.00092,-0.002666,0.000667,0.001935,0.001934,0.001582,-0.001629,-0.001388,-0.001019,-0.000837,0.001823,0.001038,0.000004,0.000367,0.002336,0.000178,0.000205,0.000029
615,0.00028,0.001211,0.0011,0.000827,0.001073,-0.000535,0.000512,-0.001318,0.00039,0.000919,0.000595,0.003183,0.001541,-0.000296,-0.000634,0.003218,0.001603,0.000112,0.000456
614.5,-0.001589,-0.001773,-0.001627,-0.000898,-0.000966,0.003258,0.001317,-0.001079,-0.001424,0.001649,0.002404,0.001197,-0.000176,0.00017,0.000272,0.001132,-0.000967,-0.001293,-0.000593
614,-0.000487,-0.000518,-0.000333,-0.000272,0.0017,0.002805,0.000546,-0.000727,-0.001337,0.001926,0.000537,0.000892,-0.001143,0.000685,0.000751,0.002015,-0.000121,-0.000589,0.000761
613.5,0.000283,0.000522,-0.000071,0.000351,0.00011,0.001156,0.001514,0.000244,-0.000244,0.000913,-0.000763,0.003095,0.000989,0.000882,0.00093,0.000664,0.000359,0.000997,0.001811
613,-0.000008,-0.000555,0.000224,0.000623,0.00235,0.000779,0.000905,0.000735,-0.00022,0.000969,0.001291,0.00117,0.000523,-0.000063,0.000591,-0.000241,-0.001209,0.000711,0.000913
612.5,-0.000179,0.000082,-0.000924,-0.000139,-0.001191,0.002554,0.000751,0.000409,-0.000344,0.000912,0.001813,0.002417,0.000703,-0.00045,0.002569,0.002007,0.000095,-0.000788,-0.000902
612,-0.000707,0.000165,0.000429,-0.000845,0.00049,0.000277,-0.000132,-0.000633,-0.001314,-0.000591,-0.000321,0.002103,-0.000415,0.00057,-0.000041,0.001701,0.000595,0.000273,0.00146
611.5,-0.000617,0.000022,-0.000427,-0.000787,0.000429,0.00076,0.001335,-0.000699,-0.000525,0.000638,0.000166,0.001562,-0.000129,0.000378,0.000379,0.001403,0.001075,0.00012,-0.000855
611,-0.001666,0.000068,-0.000388,0.000447,0.001521,0.001457,0.001204,-0.000604,-0.000493,0.000025,0.00018,0.001435,-0.000965,0.00067,0.000782,0.00218,0.000127,0.000944,0.000534
610.5,0.000045,0.000761,-0.001153,0.000028,0.000889,0.000935,0.001202,0.000255,-0.000199,-0.000518,0.001219,0.001795,0.000453,-0.000281,0.000527,0.001632,0.000627,-0.000417,-0.001207
610,0.001171,0.001499,0.000686,-0.000269,0.001212,0.000022,0.000439,-0.001021,-0.000841,-0.000411,-0.000154,0.002026,0.000802,0.000078,0.000265,0.001642,0.000386,-0.000603,0.000876
