Wavelength (nm),Blank1,F542,F543,F546,F547,F560,F561,F552,F553,F558,F559,F572,F573,F574,F575,F580,F581,F599,F597
785.5,0.00119,0.000605,0.004382,-0.000111,0.001507,0.001468,0.000634,-0.00054,-0.00058,0.000103,-0.000862,0.00241,-0.000985,-0.002151,0.001423,-0.001058,-0.000923,0.000336,-0.001014
785,0.00092,0.000454,-0.002083,0.000889,0.001943,0.000324,-0.002645,-0.000994,-0.002512,-0.001655,-0.001881,-0.000024,-0.006448,0.000675,-0.001183,-0.000559,0.001147,-0.000317,-0.005614
784.5,0.00064,0.004395,0.001983,-0.001525,-0.002635,-0.000582,0.00003,-0.001337,-0.002655,-0.000383,-0.00396,0.004437,0.002091,-0.002969,0.000749,0.000191,-0.000106,0.000646,0.002702
784,-0.001883,-0.002825,-0.001977,-0.000727,-0.004482,0.002798,0.004993,-0.003633,0.000047,-0.000757,0.001421,-0.001039,-0.001261,-0.000953,0.001573,-0.001035,0.000794,0.001809,0.00254
783.5,0.001305,0.001952,0.006096,0.000907,0.001263,-0.002177,-0.002812,0.000987,0.001268,-0.000935,0.000204,-0.00058,0.000793,-0.000796,0.001197,0.004407,-0.002403,-0.001578,0.001697
783,0.00118,-0.000776,0.000279,0.003166,0.002748,-0.00142,0.001658,0.003081,-0.000514,0.000581,0.000905,0.001289,-0.002961,0.001697,0.001356,0.002077,-0.001628,-0.001407,0.001126
782.5,-0.001752,0.000517,0.001875,-0.002477,0.000705,0.003664,-0.000291,0.000011,-0.001826,-0.00246,-0.001793,0.000775,-0.001378,0.001074,0.001249,0.002474,0.002452,0.00084,0.005607
782,0.001975,0.008259,0.002361,-0.002936,-0.000506,0.000908,0.000791,0.002171,0.000286,0.000176,-0.000674,0.000465,-0.000237,0.00245,0.001571,0.003667,-0.001817,-0.001053,-0.001797
781.5,0.003767,0.004351,0.003422,-0.004852,-0.002275,-0.001626,-0.001709,0.001869,-0.001215,0.003571,0.001261,0.00082,0.002652,0.001908,0.002131,0.004716,0.000988,-0.00031,0.001844
781,0.000216,-0.001978,0.001531,-0.001597,0.001397,0.00046,-0.001286,0.00354,-0.002334,-0.004417,-0.00127,0.005585,0.000666,0.001494,0.002435,0.003608,-0.000136,0.002931,0.003355
780.5,0.001996,0.000461,0.000742,0.001079,0.000486,-0.001412,-0.000368,-0.000803,-0.002652,0.000628,0.002329,-0.000156,-0.003644,0.000203,0.000556,0.002809,-0.000415,0.001587,0.001272
780,-0.001978,0.000692,-0.000088,-0.0008,-0.001425,-0.000094,-0.000561,-0.000673,-0.001175,0.001982,0.003324,-0.000461,-0.003642,-0.001057,0.001078,0.002185,-0.002359,0.000829,0.003624
779.5,-0.000318,-0.002065,-0.002598,-0.000648,0.000988,-0.000754,-0.002861,0.000312,-0.001454,-0.000454,0.0009,0.002018,0.001833,-0.002411,0.001149,0.001305,-0.002716,-0.001547,-0.002153
779,-0.001627,-0.003044,-0.002178,0.001627,0.002142,0.001568,0.002665,0.004792,0.005451,0.000366,-0.001938,0.004212,0.000669,0.000231,0.000771,0.001312,0.000398,-0.003481,-0.003034
778.5,0.001435,0.00233,0.000106,0.001412,0.002289,0.004396,0.000327,0.000365,-0.003326,0.000216,-0.000116,0.000626,-0.00052,-0.002166,0.000509,0.004063,0.000197,0.003122,0.002465
778,-0.000428,0.001971,0.00186,-0.000315,0.000032,-0.000537,0.001282,0.00082,-0.000109,0.00083,0.001734,-0.0046,-0.002085,0.004397,0.003048,0.003851,0.000362,-0.001876,0.001223
777.5,-0.003626,-0.002516,0.001751,0.001149,0.002918,-0.001421,-0.002,0.003071,0.00317,-0.002195,-0.000932,-0.001309,-0.003126,-0.002626,-0.00085,-0.001488,0.001918,0.003376,0.002785
777,0.000389,-0.00318,-0.001438,-0.00227,-0.001906,0.002149,0.001587,-0.003137,-0.003226,0.001538,0.003775,-0.001461,-0.004754,0.000549,0.001834,-0.000976,-0.001159,-0.001562,-0.002661
776.5,0.001347,0.000321,0.004303,0.003108,0.000313,0.002515,0.002034,0.000173,-0.001754,-0.00062,0.002141,0.002467,-0.001963,0.001256,-0.000652,0.000951,0.000128,-0.000085,-0.000386
776,-0.001178,-0.002359,0.000221,-0.001558,-0.003365,-0.00487,-0.003795,-0.002208,0.000318,-0.002566,-0.002359,-0.000322,-0.000048,0.004484,0.002833,-0.000594,0.000922,-0.002073,-0.00219
775.5,0.002404,-0.001485,-0.000703,0.003269,0.003479,0.004119,0.000944,-0.000756,0.003843,-0.00069,-0.00065,-0.002307,-0.001876,0.001744,-0.000683,0.000896,0.001518,-0.001403,0.003245
775,0.000832,0.001971,0.001521,0.00019,-0.002283,-0.004259,0.000035,-0.000353,-0.003057,0.002923,0.002424,0.000926,-0.000883,0.006899,0.00283,0.000692,-0.000145,0.003355,0.000222
774.5,-0.000515,0.001982,0.002274,-0.000729,0.000912,-0.002336,-0.003184,0.003271,0.003751,-0.002556,-0.000999,0.001535,0.000002,-0.002463,-0.003369,-0.003809,0.000355,0.000942,-0.001243
774,0.001101,0.000184,0.00182,-0.003461,-0.003992,0.000856,-0.000954,0.002048,0.001025,-0.000276,-0.001708,0.001494,-0.00307,0.000149,0.000646,0.002646,0.000779,-0.006322,-0.004605
773.5,0.000458,0.003063,-0.001623,0.000833,-0.000362,0.002911,0.001461,-0.000417,-0.003284,-0.000486,0.000142,0.001486,-0.001118,-0.000943,0.002782,-0.002794,0.000394,0.0009,0.000833
773,0.000745,-0.001274,0.001233,0.002281,0.000798,-0.003543,0.000182,-0.003549,-0.001408,0.000293,0.002545,0.000876,-0.000648,-0.001467,-0.002811,0.001745,0.002462,0.000638,0.002447
772.5,-0.001845,0.001264,0.002128,-0.001209,0.000327,-0.000238,0.001416,0.003037,0.002198,0.000044,-0.002773,0.000532,0.001334,0.000017,-0.000989,-0.002278,-0.003606,-0.000317,0.000915
772,0.000891,-0.000932,0.000774,0.000279,0.002273,0.003939,0.001785,0.001017,0.003353,-0.00163,-0.001937,0.000285,-0.002889,-0.001221,0.002923,0.003235,-0.000321,0.000826,-0.00049
771.5,-0.000716,0.001888,-0.001164,-0.001926,-0.003663,0.000181,0.001508,0.000218,0.00036,0.002833,0.001076,0.000462,-0.00065,-0.000825,-0.00238,0.004536,0.003663,-0.000339,-0.000964
771,-0.001133,0.000095,0.001559,0.000265,-0.000633,0.00193,0.00177,-0.002332,-0.003296,0.005097,0.002031,0.002697,0.001243,-0.001662,-0.001827,0.000804,-0.000885,-0.001732,0.003246
