TITLE,F511
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/23
TIME,11:52:06
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,  1536.09131
MAXY,  2965.96216
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,1536.09,1280,1143.45,1194.63,1232.9,1376.99,1647.79,2053.07,2471.08,3002.91,3611.85,4242.89,5077.93,6546.95,9199.22,10000,10000,9721.57,6784.43,4750.41,3396.42,2534.24,1914.49,1410.93,995.34,740.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,1622.24,1410.82,1226.28,1208.82,1336.67,1413.66,1716.92,2104.49,2534.56,3022.62,3576.28,4291.76,4923.56,5861.23,7420.56,9833.81,10000,10000,8492.95,5630.3,3743.89,2713.02,2053.15,1517.85,1077.63,751.338,586.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,1821.73,1503.32,1322.44,1290.17,1387.21,1493.71,1790.9,2112.5,2575.4,2998.2,3573.05,4209.32,4832.48,5527.22,6276.39,7822.25,10000,10000,10000,7235.7,4509.13,2997.02,2215.2,1629.44,1148.39,807.555,576.123,500.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,2008.95,1635.35,1443.32,1366.14,1439.45,1593.26,1864.5,2133.68,2563.03,2933.15,3541.63,4103.2,4665.7,5310.89,5866.19,6546.26,8222.11,10000,10000,9113.35,5982.75,3638.63,2451.36,1733.5,1237.53,865.804,606.163,487.519,435.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,2073.9,1717.33,1494.43,1440.41,1479.99,1613.53,1901.47,2155.56,2527.44,2871.41,3470.23,3975.76,4552.9,5181.48,5658.39,5928.96,6716.58,8318.47,10000,9960.36,7758.95,4896.89,2974.84,1903.08,1338.33,956.773,654.296,506.489,398.494,391.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,2154.59,1779.38,1565.29,1536.57,1545.02,1654.9,1921.5,2136.63,2520.08,2838.57,3358.91,3883.51,4359.1,4991.39,5422.49,5629.56,5938.09,6654.46,8218.26,9429.5,8990.2,6614.63,4028.31,2358.19,1489.21,1030.43,726.619,537.772,418.153,361.631,377.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,2242.75,1795.14,1669.6,1611.34,1616.61,1753.63,1923.2,2159,2479.76,2836.18,3221.72,3720.1,4160.23,4706.77,5108.06,5417.07,5553.42,5765.86,6421.53,7739.96,8779.48,7955.53,5571.33,3261.67,1797.02,1145.84,804.617,583.853,445.078,375.678,331.09,356.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,2247,1832.3,1760.7,1661.19,1682.22,1837.81,1975.6,2140.29,2429.21,2804.44,3098.16,3535.72,4015.61,4475.17,4844.4,5172.58,5268.86,5325.78,5346.1,5949.5,7286.27,8027.31,7002.32,4628.98,2493.26,1363.39,876.061,630.48,483.324,400.729,333.636,304.533,303.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,2290.29,1898.39,1764.97,1702.48,1706.01,1821.2,2009.21,2114.08,2401.88,2717.87,3001.94,3366.47,3874.83,4275.84,4605.29,4917.27,4991.17,5072.17,4895.02,4826.77,5474.05,6784.97,7410.55,6042.06,3672.37,1900.46,1030.33,701.658,524.084,438.8,348.746,302.42,264.304,296.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
