TITLE,F510
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/23
TIME,11:38:46
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   597.22717
MAXY,   804.46960
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,597.227,598.089,650.793,749.419,875.858,1059.7,1354.99,1644.25,2050.15,2356.78,2904.49,3419.22,4068.07,5287.85,7592.81,9926.32,10000,7768.91,4830.27,2757.13,1541.37,942.534,592.652,442.771,344.783,367.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,623.656,612.571,651.002,762.229,869.848,1030.86,1320.77,1587.86,1980.91,2335.98,2792.25,3276.17,3740.8,4396.56,5770.55,7985.47,9836.92,9258.82,6373.31,3486.93,1712.35,960.786,595.788,441.311,334.106,296.65,346.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,662.587,633.587,661.629,756.295,888.935,1043.97,1293.01,1532.99,1860.32,2256.57,2695.84,3072.14,3530.91,3949.41,4541.58,5810.79,8118.85,9483.23,7998.03,4921.05,2306.77,1057,598.956,427.349,327.664,292.135,270.49,306.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,641.087,676.371,665.838,756.544,896.063,1062.09,1253.96,1505.96,1772.13,2157.69,2545.45,2904.67,3374.04,3700.88,3961.88,4379.73,5797.6,7851.4,8536.54,6629.08,3625.07,1553.64,696.02,427.698,325.07,287.672,248.418,240.973,291.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,649.748,692.204,657.805,772.147,849.375,1026.29,1190.73,1435.96,1730.78,1999.72,2362.38,2754.98,3161.62,3430.33,3638.49,3715.39,4138.03,5665.63,7485.06,7521.64,5340.04,2739.38,1073.82,501.597,331.137,277.699,236.763,219.401,219.549,272.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,651.417,680.01,645.954,758.607,798.817,992.976,1128.41,1361.36,1659.61,1876.4,2187.33,2589.33,2896.23,3186.31,3366.54,3346.02,3327.06,3898.03,5417.64,6820.77,6444.02,4447.41,2092.45,844.222,394.446,283.109,227.662,211.894,197.998,206.633,282.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,660.345,677.519,636.978,715.006,776.461,957.655,1109.14,1280.57,1510.81,1742.48,2061.91,2384.09,2647.34,2921.22,3093.99,3063.62,2939.84,2976.25,3584.61,4960.46,6118.27,5653.42,3583.75,1651.53,623.093,318.287,228.871,211.125,198.157,188.799,216.232,251.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,677.802,633.676,627.468,690.323,772.034,925.116,1034.71,1206.77,1387.49,1627.47,1939.66,2158.41,2451.61,2655.47,2805.76,2732.84,2628.24,2531.77,2529.19,3100.48,4571.52,5641.16,4972.1,2997.13,1279.15,486.004,254.524,214.684,204.071,191.246,187.167,185.354,247.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,653.23,607.656,620.209,657.726,739.64,836.869,944.516,1143.78,1303.72,1508.08,1774.98,1978.21,2241.56,2422.93,2498.5,2440.62,2377.45,2252.82,2039.31,1958.64,2777.11,4385.89,5338.9,4359.41,2438.75,976.213,381.021,232.079,203.298,196.763,180.056,172.605,189.2,228.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
