TITLE,F518
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/23
TIME,12:37:14
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   343.15262
MAXY,   560.20526
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,343.153,356.796,389.071,494.233,551.131,663.914,820.547,958.921,1217.98,1442.65,1741.28,2002.42,2458.51,3551.71,5739.12,8136.93,8314.01,6162.94,3507.37,1832.52,989.141,608.441,431.934,336.968,315.863,340.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,328.733,351.556,401.363,481.332,572.526,661.638,806.762,987.897,1188.6,1418.14,1641.56,1902.37,2229.67,2748.88,3980.58,6262.72,8144.91,7692.6,5053.61,2573.23,1153.74,621.114,434.147,328.809,307.407,280.862,321.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,344.675,353.774,418.979,457.559,584.426,657.789,838.303,982.247,1148.71,1363.05,1570.66,1835.04,2058.13,2410.24,2877.32,4154.03,6483.22,8044.1,6792.15,4040.55,1788,763.24,438.765,335.269,304.749,271.838,257.31,297.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,377.823,395.847,426.655,459.36,553.992,643.127,813.052,954.976,1124.87,1301.39,1505.49,1723.74,1953.1,2244.5,2426.01,2834,4328.75,6612.69,7416.07,5800.19,3159.78,1291.4,552.417,350.978,292.878,284.574,250.698,246.146,290.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,381.487,404.956,431.752,492.684,550.612,633.786,726.256,917.591,1070.72,1251.47,1451.88,1623.97,1830.43,2043.71,2189.46,2255.97,2816.3,4517.9,6458.29,6762.36,4855.39,2433.87,938.125,422.584,290.707,285.642,253.938,229.364,232.594,290.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,382.462,395.402,438.863,496.487,542.737,649.866,690.273,866.826,979.917,1167.28,1380.67,1511.63,1694.55,1881.54,2036.99,2038.65,2123.98,2816.36,4452.88,6157.58,6030.61,4086.93,1912.7,756.871,361.05,276.292,244.923,229.081,223.042,222.44,265.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,383.003,391.228,439.16,470.391,541.323,628.292,700.132,819.243,962.212,1097.33,1287.36,1407.95,1575.77,1726.79,1881.84,1852.11,1845.28,1960.65,2714.07,4377.13,5738.82,5355.48,3421.38,1584.17,600.856,307.889,250.666,233.808,220.843,201.999,204.361,253.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,379.162,378.83,410.686,461.72,515.632,581.503,684.147,794.417,896.961,1050.3,1175.19,1317.95,1481.43,1586.57,1722.47,1680.1,1655.97,1581.92,1719,2563.85,4191.98,5383.74,4850.55,2936.49,1250.19,479.768,276.483,241.878,210.91,206.241,186.515,197.708,246.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,391.56,398.723,414.519,466.944,499.318,576.391,669.579,750.412,846.874,977.91,1079.71,1204.17,1360.64,1476.3,1574.76,1527.05,1519.16,1425.64,1332.71,1514.43,2473.16,4194.53,5220.91,4340.07,2414.21,979.157,393.003,255.189,210.316,211.082,188.581,179.045,184.916,227.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
