TITLE,F506
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/23
TIME,12:06:49
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   539.51746
MAXY,   564.35785
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,539.517,607.013,723.833,888.964,1075.9,1353.15,1631.42,2052.59,2572,3159.67,3831.75,4427.56,5196.93,6502.51,8967.1,10000,10000,8819.34,5653.97,3324.18,1794.95,1009.06,586.414,411.443,334.486,370.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,553.641,596.472,703.017,875.488,1039.28,1316.6,1611.15,2030.81,2495.62,3069.74,3628.99,4202.54,4852.48,5529.68,7018.45,9196.33,10000,10000,7090.86,3984.53,1971.84,1002.85,588.213,411.161,325.615,296.623,343.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,559.513,594.224,681.538,853.827,1022.74,1283.37,1572.95,1927.07,2383.56,2912.69,3473.22,3959.41,4485.33,5072.7,5750.01,6918.1,9174.38,10000,8715.75,5401.05,2554.47,1099.26,579.719,411.523,319.894,283.105,259.984,312.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,564.358,589.187,682.422,789.012,1002.71,1236.66,1546.17,1841.78,2273.29,2678.95,3251.87,3663.94,4151.31,4731.83,5105.84,5394.21,6834.89,8732.28,9257.54,7103.15,3862.36,1605.05,682.81,418.981,303.269,283.23,246.042,240.249,288.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,561.368,565.942,681.2,767.12,933.402,1170.57,1473.36,1752.97,2118.27,2488.46,3007.78,3402.21,3871.09,4368.92,4624.9,4534.79,5045.95,6499.61,8143.85,7936.78,5489.15,2724.36,1071.72,470.902,314.582,272.725,242.895,226.208,228.429,286.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,534.909,574.521,640.954,745.128,856.451,1079.43,1352.19,1645.53,1981.82,2330.23,2775.57,3120.25,3505.55,3993.4,4229.19,4069.66,4022.8,4638.35,5965.79,7159.73,6639.93,4378.86,2041.7,776.116,374.749,275.37,244.391,226.525,205.584,225.334,280.392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,503.079,596.215,626.616,714.029,817.433,1029.12,1224.32,1530.09,1816.83,2189.67,2541.62,2876.69,3163.25,3583.73,3857.49,3701.14,3557.75,3600.19,4028.72,5248.8,6340.3,5688.38,3564.95,1596.53,615.15,313.258,244.824,223.525,202.045,205.525,206.349,272.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,517.813,557.305,619.503,686.126,772.859,960.491,1130.44,1370.52,1650.24,1991.33,2302.44,2606.54,2902.44,3233.97,3461.85,3348.78,3215.88,3055.45,2922.83,3374.25,4768.21,5698.37,4956.66,2947.23,1256.28,485.582,267.702,218.178,205.656,200.616,191.065,206.645,250.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,529.024,531.974,582.826,641.024,755.453,885.836,1065.4,1235.3,1506.73,1762.23,2096.29,2356.85,2629.26,2918.48,3140.42,3021.53,2899.92,2696.12,2371.91,2230.06,2928.68,4442.72,5304.73,4357.8,2413.93,993.567,385.47,237.428,203.864,197.918,186.178,176.652,188.551,231.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,494.798,511.864,576.031,605.496,717.053,825.748,995.239,1111.65,1358.65,1592.39,1848.77,2099.84,2380.34,2646.26,2794.44,2665.83,2545.08,2387.78,2071.84,1693.84,1673.73,2699.76,4282.92,5004.75,3802.6,2002.87,760.439,328.083,213.54,187.249,179.624,168.018,160.968,172.462,223.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,466.034,458.859,538.673,583.261,667.254,768.151,896.778,1049.14,1251.84,1449.26,1644.23,1877.45,2114.4,2328.26,2520.28,2402.32,2304.32,2179.14,1885.37,1453.24,1167.45,1435.42,2683.77,4268.24,4567.5,3266.19,1566.92,629.635,267.287,181.211,175.063,165.3,158.603,153.634,165.317,215.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,463.548,444.23,492.948,553.81,616.671,715.07,820.478,1001,1156.74,1305.01,1515.19,1670.66,1849.84,2080.51,2218.18,2169.38,2085.52,1958.37,1692.24,1306.06,979.842,864.072,1390.99,2780.39,4169.79,4154.18,2717.46,1323.6,451.161,218.963,174.648,157.795,156.703,147.168,146.377,157.997,196.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,468.584,450.136,469.553,528.059,600.218,652.226,779.583,897.324,1044.63,1167.92,1392.18,1499.38,1648.68,1858.68,1949.56,1902.72,1848.53,1739.07,1518.32,1182.74,871.229,698.418,783.445,1468.46,2915.4,4024.65,3650.4,2338.83,951.096,357.597,188.971,152.328,154.152,144.395,139.399,130.263,145.299,185.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,431.791,449.515,478.866,516.649,574.406,620.238,725.182,857.47,953.57,1035.63,1279.86,1368.8,1510.78,1644.79,1729.37,1692.73,1646.35,1555.81,1345.29,1078.92,781.335,630.721,568.836,756.538,1601.23,2978.29,3760.58,3253.77,1807.17,738.552,287.447,159.646,148.722,139.862,136.832,130.396,130.592,146.572,190.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,412.556,471.023,468.412,490.908,531.131,581.628,672.604,796.679,828.242,954.632,1108.67,1243.65,1353.26,1456.09,1563.24,1535.6,1482.89,1412.15,1215.3,988.259,733.425,573.289,501.68,513.186,789.918,1677.12,2944.88,3475.98,2760.19,1493.97,596.056,240.985,149.975,135.228,130.644,135.64,126.794,130.866,145.569,169.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,420.956,432.963,478.708,471.854,507.276,550.884,613.927,744.588,770.687,888.939,1006.59,1107.28,1234.55,1304.11,1387.04,1398.82,1321.47,1292.78,1126.33,916.507,702.148,559.312,479.079,438.228,499.927,845.688,1803.75,2855.51,3235.62,2349.35,1182.42,473.775,198.929,139.676,134.786,128.258,126.634,122.037,121.324,128.799,157.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,430.216,402.409,443.892,427.53,462.294,515.87,591.448,713.336,731.957,826.238,900.946,992.9,1128.17,1186.23,1256.11,1243.07,1173.95,1165.09,1036.88,857.107,675.97,552.328,468.942,408.041,415.132,480.761,898.846,1780.91,2926.19,2946.32,1989.78,977.083,364.051,173.613,134.777,124.252,122.491,121.561,116.832,110.114,119.175,155.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,434.73,395.99,411.562,435.907,454.351,505.769,568.19,653.292,696.693,737.938,836.434,898.039,1005.77,1098.53,1145.99,1112.58,1076.69,1084.12,957.917,808.567,643.176,540.35,457.113,401.612,385.259,372.728,491.061,940.361,2012.51,2812.79,2630.31,1673.33,753.058,288.782,151.483,127.149,120.908,123.33,115.981,106.274,103.676,118.017,150.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,416.514,387.921,416.171,413.817,466.814,483.102,529.862,612.74,632.447,683.207,749.501,829.217,900.305,1007.96,1036.02,1024.6,983.984,985.374,877.639,774.044,612.18,534.08,464.711,395.803,373.605,341.99,357.793,503.198,1109.13,2076.11,2723.19,2335.11,1354.63,584.867,234.582,136.349,124.939,122.175,111.476,108.014,103.948,101.392,113.486,149.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,415.412,399.12,432.225,415.933,463.521,485.745,504.063,550.882,578.417,639.522,699.775,764.775,826.468,949.272,937.304,922.393,908.46,910.431,802.889,724.004,592.909,516.631,463.284,405.27,371.413,340.364,326.423,351.288,570.571,1206.24,2183.39,2555.22,2009.24,1117.9,465.853,178.893,129.521,120.102,111.812,107.461,100.57,98.272,96.6624,109.691,147.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,418.429,402.457,427.949,405.627,429.794,472.435,491.149,512.203,550.482,606.729,667.618,724.05,757.955,855.286,870.505,855.396,849.132,814.876,762.168,676.255,578.399,505.76,449.758,415.887,372.014,336.88,312.633,302.61,354.447,593.414,1330.46,2115.92,2357.57,1772.21,916.857,362.55,166.07,124.164,112.597,108.502,99.2684,105.599,97.6091,95.3992,112.743,132.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
